PeakID (cmd=annotatePeaks.pl kidney_14_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_14_5_REP2.mLb.clN_peak_835	chr18	42511026	42512168	+	1795	NA	intron (Tcerg1, intron 1 of 22)	-intron (Tcerg1, intron 1 of 21)	110	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
kidney_14_5_REP2.mLb.clN_peak_443	chr18	25168234	25169548	+	1762	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	-14	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
kidney_14_5_REP2.mLb.clN_peak_1934	chr19	3575374	3576518	+	1671	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-197	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
kidney_14_5_REP2.mLb.clN_peak_1408	chr18	67723818	67725153	+	1658	NA	exon (Ptpn2, exon 1 of 9)	-exon (Ptpn2, exon 1 of 9)	136	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
kidney_14_5_REP2.mLb.clN_peak_1533	chr18	73814976	73816021	+	1652	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-60	Me2	Me2	NR_157387			Me2			NA
kidney_14_5_REP2.mLb.clN_peak_1118	chr18	56924988	56926137	+	1652	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-47	Marchf3	Marchf3	NM_001374227			Marchf3			NA
kidney_14_5_REP2.mLb.clN_peak_431	chr18	24603111	24604295	+	1646	NA	promoter-TSS (Elp2)	-promoter-TSS (Elp2)	114	Slc39a6	Slc39a6	NM_139143			Slc39a6			NA
kidney_14_5_REP2.mLb.clN_peak_390	chr18	22985076	22985784	+	1632	NA	intron (Nol4, intron 1 of 9)	-intron (Nol4, intron 1 of 10)	56251	Nol4	Nol4	NM_001361223			Nol4			NA
kidney_14_5_REP2.mLb.clN_peak_1882	chr18	84951137	84952388	+	1617	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-238	Timm21	Timm21	NR_160856			Timm21			NA
kidney_14_5_REP2.mLb.clN_peak_1526	chr18	73571896	73573445	+	1605	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	-35	Mex3c	Mex3c	NM_001039214			Mex3c			NA
kidney_14_5_REP2.mLb.clN_peak_830	chr18	42274768	42275889	+	1601	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	-25	Rbm27	Rbm27	NM_172626			Rbm27			NA
kidney_14_5_REP2.mLb.clN_peak_79	chr18	5989520	5990406	+	1601	NA	Intergenic	Intergenic	146135	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_14_5_REP2.mLb.clN_peak_3078	chr19	46760871	46761898	+	1576	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-225	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
kidney_14_5_REP2.mLb.clN_peak_2629	chr19	29100800	29101794	+	1552	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-78	Rcl1	Rcl1	NM_021525			Rcl1			NA
kidney_14_5_REP2.mLb.clN_peak_106	chr18	7626274	7627252	+	1538	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18609	Mpp7	Mpp7	NM_001081287			Mpp7			NA
kidney_14_5_REP2.mLb.clN_peak_407	chr18	23803475	23804524	+	1538	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	29	Mapre2	Mapre2	NM_153058			Mapre2			NA
kidney_14_5_REP2.mLb.clN_peak_521	chr18	31759134	31760974	+	1537	NA	promoter-TSS (Ammecr1l)	-promoter-TSS (Ammecr1l)	230	Ammecr1l	Ammecr1l	NM_153515			Ammecr1l			NA
kidney_14_5_REP2.mLb.clN_peak_2457	chr19	21652501	21653805	+	1533	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-156	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
kidney_14_5_REP2.mLb.clN_peak_2603	chr19	28010666	28012270	+	1494	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-302	Rfx3	Rfx3	NM_001360358			Rfx3			NA
kidney_14_5_REP2.mLb.clN_peak_3190	chr19	53141530	53143230	+	1478	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1617	Add3	Add3	NM_001164100			Add3			NA
kidney_14_5_REP2.mLb.clN_peak_2215	chr19	8966522	8967501	+	1471	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-30	Eef1g	Eef1g	NM_026007			Eef1g			NA
kidney_14_5_REP2.mLb.clN_peak_1926	chr18	90579149	90580184	+	1468	NA	promoter-TSS (Gm45871)	-promoter-TSS (Gm45871)	-159	Gm45871	Gm45871	NM_001362365			Gm45871			NA
kidney_14_5_REP2.mLb.clN_peak_1994	chr19	4509966	4510841	+	1468	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11820	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
kidney_14_5_REP2.mLb.clN_peak_60	chr18	5333908	5335199	+	1467	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-114	Zfp438	Zfp438	NM_178722			Zfp438			NA
kidney_14_5_REP2.mLb.clN_peak_1335	chr18	65430266	65431523	+	1458	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-96	Malt1	Malt1	NM_001365019			Malt1			NA
kidney_14_5_REP2.mLb.clN_peak_789	chr18	38992487	38994034	+	1454	NA	exon (Arhgap26, exon 1 of 22)	-exon (Arhgap26, exon 1 of 22)	115	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
kidney_14_5_REP2.mLb.clN_peak_2874	chr19	41980602	41982117	+	1452	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-229	Mms19	Mms19	NR_164197			Mms19			NA
kidney_14_5_REP2.mLb.clN_peak_416	chr18	24020108	24021186	+	1451	NA	promoter-TSS (Zfp24)	-promoter-TSS (Zfp24)	166	Zfp24	Zfp24	NM_001357447			Zfp24			NA
kidney_14_5_REP2.mLb.clN_peak_2924	chr19	43674508	43675807	+	1437	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	-21	BC037704	BC037704	NR_045645			BC037704			NA
kidney_14_5_REP2.mLb.clN_peak_829	chr18	42261827	42262718	+	1425	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-147	Lars	Lars	NM_134137			Lars			NA
kidney_14_5_REP2.mLb.clN_peak_2201	chr19	8819006	8820627	+	1423	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	415	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
kidney_14_5_REP2.mLb.clN_peak_1872	chr18	84685123	84686061	+	1422	NA	intron (Cndp2, intron 1 of 11)	-intron (Cndp2, intron 1 of 11)	110	Cndp2	Cndp2	NM_001289531			Cndp2			NA
kidney_14_5_REP2.mLb.clN_peak_2873	chr19	41932996	41933748	+	1408	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-58	Exosc1	Exosc1	NM_001320231			Exosc1			NA
kidney_14_5_REP2.mLb.clN_peak_1925	chr18	90509587	90510748	+	1390	NA	promoter-TSS (Tmx3)	-promoter-TSS (Tmx3)	13	Tmx3	Tmx3	NM_198295			Tmx3			NA
kidney_14_5_REP2.mLb.clN_peak_263	chr18	14782729	14783936	+	1360	NA	promoter-TSS (Taf4b)	-promoter-TSS (Taf4b)	87	Taf4b	Taf4b	NM_001369357			Taf4b			NA
kidney_14_5_REP2.mLb.clN_peak_537	chr18	32162385	32163767	+	1358	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	-13	Map3k2	Map3k2	NM_011946			Map3k2			NA
kidney_14_5_REP2.mLb.clN_peak_2303	chr19	11911697	11913104	+	1349	NA	promoter-TSS (Patl1)	-promoter-TSS (Patl1)	1	Patl1	Patl1	NM_172635			Patl1			NA
kidney_14_5_REP2.mLb.clN_peak_146	chr18	10181429	10182692	+	1322	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-268	Rock1	Rock1	NM_009071			Rock1			NA
kidney_14_5_REP2.mLb.clN_peak_2808	chr19	38054151	38055269	+	1318	NA	promoter-TSS (Cep55)	-promoter-TSS (Cep55)	-331	Cep55	Cep55	NM_028293			Cep55			NA
kidney_14_5_REP2.mLb.clN_peak_2194	chr19	8740850	8741989	+	1308	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-384	Stx5a	Stx5a	NM_001167799			Stx5a			NA
kidney_14_5_REP2.mLb.clN_peak_1655	chr18	76240928	76242426	+	1305	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-24	Smad2	Smad2	NM_001252481			Smad2			NA
kidney_14_5_REP2.mLb.clN_peak_975	chr18	49978885	49980089	+	1304	NA	promoter-TSS (Tnfaip8)	-promoter-TSS (Tnfaip8)	-73795	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
kidney_14_5_REP2.mLb.clN_peak_1358	chr18	66002213	66003054	+	1298	NA	promoter-TSS (Lman1)	-promoter-TSS (Lman1)	2	Lman1	Lman1	NM_027400			Lman1			NA
kidney_14_5_REP2.mLb.clN_peak_221	chr18	12973040	12974593	+	1285	NA	promoter-TSS (Impact)	-promoter-TSS (Impact)	1893	Impact	Impact	NM_001357396			Impact			NA
kidney_14_5_REP2.mLb.clN_peak_85	chr18	6489852	6491297	+	1281	NA	promoter-TSS (Mir1893)	-promoter-TSS (Mir1893)	72	Mir1893	Mir1893	NR_035446			Mir1893			NA
kidney_14_5_REP2.mLb.clN_peak_2944	chr19	44283968	44284921	+	1274	NA	Intergenic	Intergenic	-9232	Scd2	Scd2	NM_009128			Scd2			NA
kidney_14_5_REP2.mLb.clN_peak_2449	chr19	21271607	21273015	+	1274	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	33	Zfand5	Zfand5	NM_009551			Zfand5			NA
kidney_14_5_REP2.mLb.clN_peak_2674	chr19	31082393	31083283	+	1262	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	-3	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
kidney_14_5_REP2.mLb.clN_peak_1428	chr18	68299691	68300889	+	1241	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	43	Fam210a	Fam210a	NM_153794			Fam210a			NA
kidney_14_5_REP2.mLb.clN_peak_1252	chr18	61653051	61653998	+	1236	NA	intron (Carmn, intron 2 of 4)	-intron (Carmn, intron 2 of 4)	-4266	Mir143	Mir143	NR_029601			Mir143			NA
kidney_14_5_REP2.mLb.clN_peak_2	chr18	3336723	3338086	+	1235	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	988	Gm6225	Gm6225	NR_033457			Gm6225			NA
kidney_14_5_REP2.mLb.clN_peak_1552	chr18	74215797	74216908	+	1233	NA	exon (Cxxc1, exon 1 of 15)	-exon (Cxxc1, exon 1 of 15)	140	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
kidney_14_5_REP2.mLb.clN_peak_752	chr18	38249968	38250912	+	1229	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	125	1700086O06Rik	1700086O06Rik	NR_027904			1700086O06Rik			NA
kidney_14_5_REP2.mLb.clN_peak_1484	chr18	70529829	70530679	+	1226	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	67	Poli	Poli	NM_001289516			Poli			NA
kidney_14_5_REP2.mLb.clN_peak_1351	chr18	65799940	65801034	+	1224	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-91	Sec11c	Sec11c	NM_025468			Sec11c			NA
kidney_14_5_REP2.mLb.clN_peak_731	chr18	37934790	37935750	+	1223	NA	exon (Diaph1, exon 1 of 28)	-exon (Diaph1, exon 1 of 28)	206	Diaph1	Diaph1	NM_007858			Diaph1			NA
kidney_14_5_REP2.mLb.clN_peak_1256	chr18	61706963	61708046	+	1213	NA	exon (Pcyox1l, exon 1 of 6)	-exon (Pcyox1l, exon 1 of 6)	131	Pcyox1l	Pcyox1l	NM_172832			Pcyox1l			NA
kidney_14_5_REP2.mLb.clN_peak_1244	chr18	61554847	61555754	+	1206	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	27	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
kidney_14_5_REP2.mLb.clN_peak_2174	chr19	7493934	7494935	+	1205	NA	promoter-TSS (Atl3)	-promoter-TSS (Atl3)	-4	Atl3	Atl3	NM_001163505			Atl3			NA
kidney_14_5_REP2.mLb.clN_peak_1411	chr18	67774504	67775567	+	1194	NA	TTS (4930549G23Rik)	-TTS (4930549G23Rik)	159	Seh1l	Seh1l	NM_001039088			Seh1l			NA
kidney_14_5_REP2.mLb.clN_peak_2239	chr19	10100717	10102316	+	1178	NA	promoter-TSS (Fads2)	-promoter-TSS (Fads2)	-13	Fads2	Fads2	NM_019699			Fads2			NA
kidney_14_5_REP2.mLb.clN_peak_2200	chr19	8802089	8802949	+	1172	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	6	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
kidney_14_5_REP2.mLb.clN_peak_82	chr18	6135298	6136813	+	1155	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	43	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_14_5_REP2.mLb.clN_peak_615	chr18	34859814	34861536	+	1155	NA	promoter-TSS (Egr1)	-promoter-TSS (Egr1)	-532	Egr1	Egr1	NM_007913			Egr1			NA
kidney_14_5_REP2.mLb.clN_peak_2942	chr19	44247933	44248998	+	1153	NA	Intergenic	Intergenic	45177	Scd3	Scd3	NM_024450			Scd3			NA
kidney_14_5_REP2.mLb.clN_peak_3123	chr19	47730732	47731973	+	1152	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-404	Sfr1	Sfr1	NM_026377			Sfr1			NA
kidney_14_5_REP2.mLb.clN_peak_419	chr18	24121113	24122307	+	1149	NA	exon (Ino80c, exon 1 of 5)	-exon (Ino80c, exon 1 of 5)	109	Ino80c	Ino80c	NM_172625			Ino80c			NA
kidney_14_5_REP2.mLb.clN_peak_1952	chr19	3912473	3913354	+	1127	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-139	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
kidney_14_5_REP2.mLb.clN_peak_2925	chr19	43689260	43690193	+	1126	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	37	Entpd7	Entpd7	NM_053103			Entpd7			NA
kidney_14_5_REP2.mLb.clN_peak_114	chr18	7868464	7870035	+	1125	NA	promoter-TSS (Wac)	-promoter-TSS (Wac)	52	Wac	Wac	NM_001360956			Wac			NA
kidney_14_5_REP2.mLb.clN_peak_525	chr18	31910423	31911453	+	1124	NA	exon (Sft2d3, exon 1 of 1)	-exon (Sft2d3, exon 1 of 1)	965	Sft2d3	Sft2d3	NM_026006			Sft2d3			NA
kidney_14_5_REP2.mLb.clN_peak_3127	chr19	47865353	47866105	+	1121	NA	promoter-TSS (Gsto2)	-promoter-TSS (Gsto2)	184	Gsto2	Gsto2	NM_026619			Gsto2			NA
kidney_14_5_REP2.mLb.clN_peak_3200	chr19	53389893	53391132	+	1113	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	122	Smndc1	Smndc1	NM_172429			Smndc1			NA
kidney_14_5_REP2.mLb.clN_peak_2198	chr19	8785848	8786766	+	1109	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	9	Taf6l	Taf6l	NM_146092			Taf6l			NA
kidney_14_5_REP2.mLb.clN_peak_1447	chr18	69344029	69344624	+	1099	NA	promoter-TSS (Tcf4)	-promoter-TSS (Tcf4)	-166	Tcf4	Tcf4	NM_001361126			Tcf4			NA
kidney_14_5_REP2.mLb.clN_peak_646	chr18	35771089	35772394	+	1092	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	182	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
kidney_14_5_REP2.mLb.clN_peak_1111	chr18	56707384	56709074	+	1089	NA	exon (Lmnb1, exon 1 of 11)	-exon (Lmnb1, exon 1 of 11)	416	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
kidney_14_5_REP2.mLb.clN_peak_1553	chr18	74267658	74268606	+	1088	NA	promoter-TSS (Mbd1)	-promoter-TSS (Mbd1)	-43	Mbd1	Mbd1	NM_001357423			Mbd1			NA
kidney_14_5_REP2.mLb.clN_peak_2836	chr19	40513069	40514110	+	1088	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	147	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
kidney_14_5_REP2.mLb.clN_peak_2130	chr19	6921392	6922441	+	1087	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-108	Esrra	Esrra	NM_007953			Esrra			NA
kidney_14_5_REP2.mLb.clN_peak_1487	chr18	70567852	70569296	+	1073	NA	exon (Mbd2, exon 1 of 3)	-exon (Mbd2, exon 1 of 3)	282	Mbd2	Mbd2	NM_001311071			Mbd2			NA
kidney_14_5_REP2.mLb.clN_peak_2323	chr19	12794692	12796764	+	1073	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	395	Zfp91	Zfp91	NM_053009			Zfp91			NA
kidney_14_5_REP2.mLb.clN_peak_3232	chr19	53902758	53904162	+	1073	NA	exon (Pdcd4, exon 1 of 12)	-exon (Pdcd4, exon 1 of 12)	11229	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
kidney_14_5_REP2.mLb.clN_peak_1574	chr18	74778233	74779581	+	1072	NA	promoter-TSS (Acaa2)	-promoter-TSS (Acaa2)	-305	Acaa2	Acaa2	NM_177470			Acaa2			NA
kidney_14_5_REP2.mLb.clN_peak_1734	chr18	80150758	80152204	+	1071	NA	promoter-TSS (Adnp2)	-promoter-TSS (Adnp2)	1	Adnp2	Adnp2	NM_175028			Adnp2			NA
kidney_14_5_REP2.mLb.clN_peak_2733	chr19	34526866	34527695	+	1070	NA	intron (Lipa, intron 1 of 9)	-intron (Lipa, intron 1 of 9)	194	Lipa	Lipa	NM_021460			Lipa			NA
kidney_14_5_REP2.mLb.clN_peak_2420	chr19	18631284	18632156	+	1062	NA	promoter-TSS (Ostf1)	-promoter-TSS (Ostf1)	93	Ostf1	Ostf1	NM_017375			Ostf1			NA
kidney_14_5_REP2.mLb.clN_peak_2715	chr19	33391560	33392358	+	1051	NA	exon (Rnls, exon 1 of 7)	-exon (Rnls, exon 1 of 7)	336	Rnls	Rnls	NR_160911			Rnls			NA
kidney_14_5_REP2.mLb.clN_peak_3071	chr19	46572645	46573771	+	1050	NA	promoter-TSS (Arl3)	-promoter-TSS (Arl3)	-26	Arl3	Arl3	NM_001355233			Arl3			NA
kidney_14_5_REP2.mLb.clN_peak_2365	chr19	16132082	16133949	+	1043	NA	exon (Gnaq, exon 1 of 7)	-exon (Gnaq, exon 1 of 7)	331	Gnaq	Gnaq	NM_008139			Gnaq			NA
kidney_14_5_REP2.mLb.clN_peak_157	chr18	10609471	10610703	+	1031	NA	exon (Esco1, exon 1 of 11)	-exon (Esco1, exon 1 of 11)	265	Esco1	Esco1	NM_001081222			Esco1			NA
kidney_14_5_REP2.mLb.clN_peak_3030	chr19	45782688	45784115	+	1022	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	152	Oga	Oga	NR_151594			Oga			NA
kidney_14_5_REP2.mLb.clN_peak_3011	chr19	45363391	45364358	+	1020	NA	exon (Btrc, exon 1 of 15)	-exon (Btrc, exon 1 of 15)	140	Btrc	Btrc	NM_001360120			Btrc			NA
kidney_14_5_REP2.mLb.clN_peak_3073	chr19	46598591	46599467	+	1016	NA	promoter-TSS (Wbp1l)	-promoter-TSS (Wbp1l)	-77	Wbp1l	Wbp1l	NM_001177812			Wbp1l			NA
kidney_14_5_REP2.mLb.clN_peak_2173	chr19	7482623	7483825	+	1015	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	67	Rtn3	Rtn3	NM_001003933			Rtn3			NA
kidney_14_5_REP2.mLb.clN_peak_2211	chr19	8919842	8920960	+	1014	NA	promoter-TSS (B3gat3)	-promoter-TSS (B3gat3)	8	B3gat3	B3gat3	NM_024256			B3gat3			NA
kidney_14_5_REP2.mLb.clN_peak_2422	chr19	18670374	18671395	+	1010	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	104	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
kidney_14_5_REP2.mLb.clN_peak_2024	chr19	5087888	5088894	+	1006	NA	promoter-TSS (Yif1a)	-promoter-TSS (Yif1a)	-147	Yif1a	Yif1a	NM_026553			Yif1a			NA
kidney_14_5_REP2.mLb.clN_peak_1288	chr18	62921794	62922763	+	997	NA	promoter-TSS (Apcdd1)	-promoter-TSS (Apcdd1)	-49	Apcdd1	Apcdd1	NM_133237			Apcdd1			NA
kidney_14_5_REP2.mLb.clN_peak_2778	chr19	36925639	36926491	+	993	NA	promoter-TSS (Btaf1)	-promoter-TSS (Btaf1)	-14	Btaf1	Btaf1	NM_001080706			Btaf1			NA
kidney_14_5_REP2.mLb.clN_peak_532	chr18	32067370	32068438	+	992	NA	exon (Iws1, exon 1 of 14)	-exon (Iws1, exon 1 of 14)	170	Iws1	Iws1	NM_173441			Iws1			NA
kidney_14_5_REP2.mLb.clN_peak_428	chr18	24529506	24530775	+	989	NA	promoter-TSS (Rprd1a)	-promoter-TSS (Rprd1a)	64	Rprd1a	Rprd1a	NM_001360807			Rprd1a			NA
kidney_14_5_REP2.mLb.clN_peak_413	chr18	23954111	23955249	+	988	NA	promoter-TSS (Zfp397)	-promoter-TSS (Zfp397)	-8	Zfp397	Zfp397	NM_027007			Zfp397			NA
kidney_14_5_REP2.mLb.clN_peak_2945	chr19	44293261	44294376	+	986	NA	exon (Scd2, exon 1 of 6)	-exon (Scd2, exon 1 of 6)	142	Scd2	Scd2	NM_009128			Scd2			NA
kidney_14_5_REP2.mLb.clN_peak_3408	chr19	60889184	60890688	+	982	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	187	Grk5	Grk5	NM_018869			Grk5			NA
kidney_14_5_REP2.mLb.clN_peak_2136	chr19	6979384	6980862	+	978	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	317	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
kidney_14_5_REP2.mLb.clN_peak_2645	chr19	29805105	29806718	+	971	NA	promoter-TSS (9930021J03Rik)	-promoter-TSS (9930021J03Rik)	98	9930021J03Rik	9930021J03Rik	NM_172836			9930021J03Rik			NA
