PeakID (cmd=annotatePeaks.pl kidney_14_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_14_5_REP1.mLb.clN_peak_1809	chr19	53038170	53039116	+	511	NA	promoter-TSS (Xpnpep1)	-promoter-TSS (Xpnpep1)	11	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
kidney_14_5_REP1.mLb.clN_peak_679	chr18	62921902	62922811	+	507	NA	promoter-TSS (Apcdd1)	-promoter-TSS (Apcdd1)	29	Apcdd1	Apcdd1	NM_133237			Apcdd1			NA
kidney_14_5_REP1.mLb.clN_peak_315	chr18	34954132	34955143	+	503	NA	promoter-TSS (Hspa9)	-promoter-TSS (Hspa9)	-286	Hspa9	Hspa9	NM_010481			Hspa9			NA
kidney_14_5_REP1.mLb.clN_peak_1950	chr19	60580139	60581487	+	500	NA	exon (Cacul1, exon 1 of 8)	-exon (Cacul1, exon 1 of 8)	210	Cacul1	Cacul1	NM_001172096			Cacul1			NA
kidney_14_5_REP1.mLb.clN_peak_268	chr18	32162471	32163637	+	496	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	-35	Map3k2	Map3k2	NM_011946			Map3k2			NA
kidney_14_5_REP1.mLb.clN_peak_336	chr18	35771258	35772384	+	496	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	262	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
kidney_14_5_REP1.mLb.clN_peak_1755	chr19	46572645	46573634	+	496	NA	promoter-TSS (Arl3)	-promoter-TSS (Arl3)	43	Arl3	Arl3	NM_001355233			Arl3			NA
kidney_14_5_REP1.mLb.clN_peak_1088	chr19	5510378	5510952	+	492	NA	promoter-TSS (Snx32)	-promoter-TSS (Snx32)	-148	Snx32	Snx32	NM_001024560			Snx32			NA
kidney_14_5_REP1.mLb.clN_peak_1138	chr19	6276317	6277237	+	491	NA	promoter-TSS (Ehd1)	-promoter-TSS (Ehd1)	-119	Ehd1	Ehd1	NM_010119			Ehd1			NA
kidney_14_5_REP1.mLb.clN_peak_906	chr18	80150824	80152164	+	491	NA	promoter-TSS (Adnp2)	-promoter-TSS (Adnp2)	-12	Adnp2	Adnp2	NM_175028			Adnp2			NA
kidney_14_5_REP1.mLb.clN_peak_1050	chr19	4810949	4812085	+	488	NA	promoter-TSS (Gm21992)	-promoter-TSS (Gm21992)	82	Gm21992	Gm21992	NM_001290128			Gm21992			NA
kidney_14_5_REP1.mLb.clN_peak_1943	chr19	59943071	59943938	+	485	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	150	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
kidney_14_5_REP1.mLb.clN_peak_762	chr18	69344077	69344583	+	484	NA	promoter-TSS (Tcf4)	-promoter-TSS (Tcf4)	-162	Tcf4	Tcf4	NM_001361126			Tcf4			NA
kidney_14_5_REP1.mLb.clN_peak_202	chr18	24121295	24122194	+	482	NA	promoter-TSS (Ino80c)	-promoter-TSS (Ino80c)	75	Ino80c	Ino80c	NM_172625			Ino80c			NA
kidney_14_5_REP1.mLb.clN_peak_108	chr18	12235890	12237086	+	481	NA	promoter-TSS (Npc1)	-promoter-TSS (Npc1)	-102	Npc1	Npc1	NM_008720			Npc1			NA
kidney_14_5_REP1.mLb.clN_peak_1544	chr19	36409323	36410126	+	480	NA	promoter-TSS (Pcgf5)	-promoter-TSS (Pcgf5)	30657	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
kidney_14_5_REP1.mLb.clN_peak_312	chr18	34859837	34861365	+	479	NA	promoter-TSS (Egr1)	-promoter-TSS (Egr1)	-606	Egr1	Egr1	NM_007913			Egr1			NA
kidney_14_5_REP1.mLb.clN_peak_676	chr18	62548379	62549105	+	479	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	121	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
kidney_14_5_REP1.mLb.clN_peak_992	chr18	90579450	90580078	+	476	NA	promoter-TSS (Gm45871)	-promoter-TSS (Gm45871)	-61	Gm45871	Gm45871	NM_001362365			Gm45871			NA
kidney_14_5_REP1.mLb.clN_peak_1022	chr19	4125592	4126392	+	473	NA	promoter-TSS (Tmem134)	-promoter-TSS (Tmem134)	32	Tmem134	Tmem134	NM_025889			Tmem134			NA
kidney_14_5_REP1.mLb.clN_peak_1730	chr19	46075443	46076181	+	471	NA	promoter-TSS (Nolc1)	-promoter-TSS (Nolc1)	-35	Nolc1	Nolc1	NM_001039351			Nolc1			NA
kidney_14_5_REP1.mLb.clN_peak_1500	chr19	31082498	31083395	+	464	NA	exon (Cstf2t, exon 1 of 1)	-exon (Cstf2t, exon 1 of 1)	105	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
kidney_14_5_REP1.mLb.clN_peak_1885	chr19	56821873	56822614	+	461	NA	promoter-TSS (Ccdc186)	-promoter-TSS (Ccdc186)	-44	Ccdc186	Ccdc186	NM_170757			Ccdc186			NA
kidney_14_5_REP1.mLb.clN_peak_1490	chr19	30029954	30031329	+	456	NA	exon (Uhrf2, exon 1 of 16)	-exon (Uhrf2, exon 1 of 16)	128	Uhrf2	Uhrf2	NM_144873			Uhrf2			NA
kidney_14_5_REP1.mLb.clN_peak_327	chr18	35561797	35562970	+	455	NA	intron (Matr3, intron 1 of 14)	-intron (Matr3, intron 1 of 14)	225	Matr3	Matr3	NM_010771			Matr3			NA
kidney_14_5_REP1.mLb.clN_peak_1009	chr19	3851209	3852221	+	454	NA	promoter-TSS (Chka)	-promoter-TSS (Chka)	-58	Chka	Chka	NR_073190			Chka			NA
kidney_14_5_REP1.mLb.clN_peak_1588	chr19	40513094	40514018	+	454	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	180	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
kidney_14_5_REP1.mLb.clN_peak_543	chr18	53175873	53176770	+	453	NA	promoter-TSS (Snx2)	-promoter-TSS (Snx2)	29	Snx2	Snx2	NM_026386			Snx2			NA
kidney_14_5_REP1.mLb.clN_peak_1357	chr19	18712847	18713836	+	453	NA	exon (D030056L22Rik, exon 1 of 2)	-exon (D030056L22Rik, exon 1 of 2)	105	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
kidney_14_5_REP1.mLb.clN_peak_201	chr18	24020166	24021151	+	453	NA	promoter-TSS (Zfp24)	-promoter-TSS (Zfp24)	155	Zfp24	Zfp24	NM_001357447			Zfp24			NA
kidney_14_5_REP1.mLb.clN_peak_1025	chr19	4169205	4170088	+	450	NA	exon (Carns1, exon 9 of 10)	-exon (Carns1, exon 9 of 10)	5833	Carns1	Carns1	NM_134148			Carns1			NA
kidney_14_5_REP1.mLb.clN_peak_1530	chr19	34527019	34527700	+	447	NA	intron (Lipa, intron 1 of 9)	-intron (Lipa, intron 1 of 9)	115	Lipa	Lipa	NM_021460			Lipa			NA
kidney_14_5_REP1.mLb.clN_peak_1328	chr19	16132113	16133433	+	446	NA	promoter-TSS (Gnaq)	-promoter-TSS (Gnaq)	89	Gnaq	Gnaq	NM_008139			Gnaq			NA
kidney_14_5_REP1.mLb.clN_peak_1524	chr19	33391589	33392293	+	445	NA	intron (Rnls, intron 1 of 6)	-intron (Rnls, intron 1 of 6)	354	Rnls	Rnls	NR_160911			Rnls			NA
kidney_14_5_REP1.mLb.clN_peak_1241	chr19	9982294	9983346	+	441	NA	exon (Fth1, exon 1 of 4)	-exon (Fth1, exon 1 of 4)	2220	Fth1	Fth1	NR_073181			Fth1			NA
kidney_14_5_REP1.mLb.clN_peak_649	chr18	61211375	61211850	+	441	NA	promoter-TSS (Slc26a2)	-promoter-TSS (Slc26a2)	-16	Slc26a2	Slc26a2	NM_007885			Slc26a2			NA
kidney_14_5_REP1.mLb.clN_peak_1336	chr19	16780487	16781408	+	440	NA	promoter-TSS (Vps13a)	-promoter-TSS (Vps13a)	-14	Vps13a	Vps13a	NM_173028			Vps13a			NA
kidney_14_5_REP1.mLb.clN_peak_579	chr18	56561994	56562828	+	438	NA	promoter-TSS (Phax)	-promoter-TSS (Phax)	-113	Aldh7a1	Aldh7a1	NM_138600			Aldh7a1			NA
kidney_14_5_REP1.mLb.clN_peak_819	chr18	74778277	74779410	+	438	NA	promoter-TSS (Acaa2)	-promoter-TSS (Acaa2)	-369	Acaa2	Acaa2	NM_177470			Acaa2			NA
kidney_14_5_REP1.mLb.clN_peak_739	chr18	67448719	67449713	+	437	NA	promoter-TSS (Afg3l2)	-promoter-TSS (Afg3l2)	-24	Afg3l2	Afg3l2	NM_027130			Afg3l2			NA
kidney_14_5_REP1.mLb.clN_peak_1695	chr19	44930753	44931677	+	437	NA	promoter-TSS (Slf2)	-promoter-TSS (Slf2)	96	Slf2	Slf2	NM_001081225			Slf2			NA
