PeakID (cmd=annotatePeaks.pl liver_15_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_15_5_REP1.mLb.clN_peak_923	chr18	84884504	84885678	+	6812	NA	Intergenic	Intergenic	33753	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_15_5_REP1.mLb.clN_peak_469	chr18	49755235	49756255	+	6731	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-144	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_15_5_REP1.mLb.clN_peak_65	chr18	6764722	6765608	+	6691	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-2	Rab18	Rab18	NM_181070			Rab18			NA
liver_15_5_REP1.mLb.clN_peak_533	chr18	56924902	56926069	+	6486	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	30	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_15_5_REP1.mLb.clN_peak_433	chr18	42511066	42512087	+	6163	NA	promoter-TSS (Tcerg1)	-promoter-TSS (Tcerg1)	89	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
liver_15_5_REP1.mLb.clN_peak_254	chr18	31633944	31635261	+	6070	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	234	Sap130	Sap130	NM_172965			Sap130			NA
liver_15_5_REP1.mLb.clN_peak_747	chr18	73815151	73816034	+	6011	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-154	Me2	Me2	NR_157387			Me2			NA
liver_15_5_REP1.mLb.clN_peak_1673	chr19	42090033	42090857	+	5789	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	10	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
liver_15_5_REP1.mLb.clN_peak_209	chr18	21299608	21300864	+	5779	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-97	Garem1	Garem1	NM_001033445			Garem1			NA
liver_15_5_REP1.mLb.clN_peak_920	chr18	84850835	84851935	+	5766	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	47	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_15_5_REP1.mLb.clN_peak_602	chr18	62166025	62166749	+	5644	NA	Intergenic	Intergenic	13594	Adrb2	Adrb2	NM_007420			Adrb2			NA
liver_15_5_REP1.mLb.clN_peak_1014	chr19	4558213	4559271	+	5374	NA	intron (Pcx, intron 2 of 20)	-intron (Pcx, intron 2 of 20)	-35577	Pcx	Pcx	NM_001162946			Pcx			NA
liver_15_5_REP1.mLb.clN_peak_982	chr19	4096785	4097745	+	5368	NA	promoter-TSS (Cdk2ap2)	-promoter-TSS (Cdk2ap2)	-86	Cdk2ap2	Cdk2ap2	NM_026373			Cdk2ap2			NA
liver_15_5_REP1.mLb.clN_peak_691	chr18	67723926	67724826	+	5296	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	245	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
liver_15_5_REP1.mLb.clN_peak_1795	chr19	46760906	46761901	+	5280	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-206	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_15_5_REP1.mLb.clN_peak_1365	chr19	21652605	21653704	+	5170	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-155	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
liver_15_5_REP1.mLb.clN_peak_1625	chr19	40513276	40514072	+	5166	NA	promoter-TSS (Sorbs1)	-promoter-TSS (Sorbs1)	62	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
liver_15_5_REP1.mLb.clN_peak_432	chr18	42274912	42275814	+	5134	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	10	Rbm27	Rbm27	NM_172626			Rbm27			NA
liver_15_5_REP1.mLb.clN_peak_927	chr18	84951127	84952170	+	5098	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-124	Timm21	Timm21	NR_160856			Timm21			NA
liver_15_5_REP1.mLb.clN_peak_3	chr18	3336755	3338040	+	5053	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	981	Gm6225	Gm6225	NR_033457			Gm6225			NA
liver_15_5_REP1.mLb.clN_peak_386	chr18	38296533	38297398	+	5051	NA	exon (Rnf14, exon 1 of 10)	-exon (Rnf14, exon 1 of 10)	330	Rnf14	Rnf14	NM_001361267			Rnf14			NA
liver_15_5_REP1.mLb.clN_peak_605	chr18	62179603	62180525	+	4969	NA	promoter-TSS (Gm9949)	-promoter-TSS (Gm9949)	-36	Gm9949	Gm9949	NM_001013754			Gm9949			NA
liver_15_5_REP1.mLb.clN_peak_1695	chr19	43524299	43525199	+	4932	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	-144	Got1	Got1	NM_010324			Got1			NA
liver_15_5_REP1.mLb.clN_peak_1206	chr19	8966601	8967409	+	4913	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-36	Eef1g	Eef1g	NM_026007			Eef1g			NA
liver_15_5_REP1.mLb.clN_peak_1861	chr19	53390125	53391019	+	4831	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	62	Smndc1	Smndc1	NM_172429			Smndc1			NA
liver_15_5_REP1.mLb.clN_peak_452	chr18	46525167	46526513	+	4812	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	131	Fem1c	Fem1c	NM_173423			Fem1c			NA
liver_15_5_REP1.mLb.clN_peak_308	chr18	34931448	34932586	+	4724	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-14	Etf1	Etf1	NM_144866			Etf1			NA
liver_15_5_REP1.mLb.clN_peak_664	chr18	65799976	65801036	+	4702	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-72	Sec11c	Sec11c	NM_025468			Sec11c			NA
liver_15_5_REP1.mLb.clN_peak_1148	chr19	6979502	6980715	+	4681	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	332	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
liver_15_5_REP1.mLb.clN_peak_1143	chr19	6921352	6922430	+	4671	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-83	Esrra	Esrra	NM_007953			Esrra			NA
liver_15_5_REP1.mLb.clN_peak_199	chr18	21001320	21002317	+	4647	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-139	Rnf138	Rnf138	NM_207623			Rnf138			NA
liver_15_5_REP1.mLb.clN_peak_653	chr18	65430410	65431497	+	4644	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-37	Malt1	Malt1	NM_001365019			Malt1			NA
liver_15_5_REP1.mLb.clN_peak_1446	chr19	29251220	29252144	+	4600	NA	promoter-TSS (Jak2)	-promoter-TSS (Jak2)	-121	Jak2	Jak2	NM_001048177			Jak2			NA
liver_15_5_REP1.mLb.clN_peak_1716	chr19	44266631	44267586	+	4597	NA	Intergenic	Intergenic	-26568	Scd2	Scd2	NM_009128			Scd2			NA
liver_15_5_REP1.mLb.clN_peak_1668	chr19	41980681	41981915	+	4584	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-168	Mms19	Mms19	NR_164197			Mms19			NA
liver_15_5_REP1.mLb.clN_peak_1750	chr19	45782714	45784115	+	4488	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	139	Oga	Oga	NR_151594			Oga			NA
liver_15_5_REP1.mLb.clN_peak_596	chr18	61952696	61953899	+	4440	NA	intron (Sh3tc2, intron 1 of 16)	-intron (Sh3tc2, intron 1 of 16)	222	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
liver_15_5_REP1.mLb.clN_peak_1345	chr19	18712817	18713663	+	4410	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	4	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_15_5_REP1.mLb.clN_peak_384	chr18	38249955	38250893	+	4400	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	141	1700086O06Rik	1700086O06Rik	NR_027904			1700086O06Rik			NA
liver_15_5_REP1.mLb.clN_peak_968	chr19	3912473	3913354	+	4370	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-139	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
liver_15_5_REP1.mLb.clN_peak_74	chr18	7626389	7627218	+	4321	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18649	Mpp7	Mpp7	NM_001081287			Mpp7			NA
liver_15_5_REP1.mLb.clN_peak_1437	chr19	29100879	29101762	+	4307	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-55	Rcl1	Rcl1	NM_021525			Rcl1			NA
liver_15_5_REP1.mLb.clN_peak_535	chr18	56977521	56978466	+	4282	NA	Intergenic	Intergenic	-2614	C330018D20Rik	C330018D20Rik	NM_029909			C330018D20Rik			NA
liver_15_5_REP1.mLb.clN_peak_92	chr18	10029194	10030329	+	4253	NA	promoter-TSS (Usp14)	-promoter-TSS (Usp14)	388	Usp14	Usp14	NM_001038589			Usp14			NA
liver_15_5_REP1.mLb.clN_peak_1058	chr19	5510213	5511142	+	4247	NA	promoter-TSS (Snx32)	-promoter-TSS (Snx32)	-160	Snx32	Snx32	NM_001024560			Snx32			NA
liver_15_5_REP1.mLb.clN_peak_1193	chr19	8819086	8820884	+	4234	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	584	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
liver_15_5_REP1.mLb.clN_peak_583	chr18	61554823	61555731	+	4215	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	4	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
liver_15_5_REP1.mLb.clN_peak_1357	chr19	21271568	21273037	+	4211	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	24	Zfand5	Zfand5	NM_009551			Zfand5			NA
liver_15_5_REP1.mLb.clN_peak_950	chr19	3575330	3576388	+	4129	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-110	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
liver_15_5_REP1.mLb.clN_peak_431	chr18	42261834	42262634	+	4128	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-109	Lars	Lars	NM_134137			Lars			NA
liver_15_5_REP1.mLb.clN_peak_98	chr18	10181444	10182482	+	4095	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-171	Rock1	Rock1	NM_009071			Rock1			NA
liver_15_5_REP1.mLb.clN_peak_1021	chr19	4793431	4794432	+	4065	NA	promoter-TSS (Rbm4)	-promoter-TSS (Rbm4)	-30	Rbm4	Rbm4	NM_009032			Rbm4			NA
liver_15_5_REP1.mLb.clN_peak_802	chr18	76241042	76242368	+	4036	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	4	Smad2	Smad2	NM_001252481			Smad2			NA
liver_15_5_REP1.mLb.clN_peak_1192	chr19	8802089	8802787	+	4033	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	-75	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
liver_15_5_REP1.mLb.clN_peak_1324	chr19	17323134	17324246	+	4019	NA	Intergenic	Intergenic	32977	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
liver_15_5_REP1.mLb.clN_peak_1717	chr19	44283915	44284923	+	3937	NA	Intergenic	Intergenic	-9257	Scd2	Scd2	NM_009128			Scd2			NA
liver_15_5_REP1.mLb.clN_peak_1986	chr19	59942984	59943950	+	3920	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	187	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
liver_15_5_REP1.mLb.clN_peak_330	chr18	35771236	35772195	+	3901	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	156	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
liver_15_5_REP1.mLb.clN_peak_824	chr18	77938014	77938860	+	3894	NA	promoter-TSS (Epg5)	-promoter-TSS (Epg5)	-29	Epg5	Epg5	NM_001195633			Epg5			NA
liver_15_5_REP1.mLb.clN_peak_846	chr18	80206554	80207423	+	3885	NA	exon (Txnl4a, exon 1 of 4)	-exon (Txnl4a, exon 1 of 4)	142	Txnl4a	Txnl4a	NM_178604			Txnl4a			NA
liver_15_5_REP1.mLb.clN_peak_358	chr18	36734704	36735684	+	3830	NA	exon (Tmco6, exon 1 of 12)	-exon (Tmco6, exon 1 of 12)	124	Tmco6	Tmco6	NM_028036			Tmco6			NA
liver_15_5_REP1.mLb.clN_peak_1399	chr19	24961375	24961943	+	3808	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-43	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
liver_15_5_REP1.mLb.clN_peak_1738	chr19	45363419	45364304	+	3779	NA	exon (Btrc, exon 1 of 15)	-exon (Btrc, exon 1 of 15)	127	Btrc	Btrc	NM_001360120			Btrc			NA
liver_15_5_REP1.mLb.clN_peak_1847	chr19	53142082	53143230	+	3769	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1341	Add3	Add3	NM_001164100			Add3			NA
liver_15_5_REP1.mLb.clN_peak_1822	chr19	47402612	47403678	+	3742	NA	intron (Sh3pxd2a, intron 2 of 14)	-intron (Sh3pxd2a, intron 2 of 13)	61266	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
liver_15_5_REP1.mLb.clN_peak_814	chr18	77732252	77733202	+	3714	NA	intron (A330094K24Rik, intron 1 of 1)	-intron (A330094K24Rik, intron 1 of 1)	743	A330094K24Rik	A330094K24Rik	NR_155289			A330094K24Rik			NA
liver_15_5_REP1.mLb.clN_peak_1297	chr19	12794698	12796795	+	3699	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	377	Zfp91	Zfp91	NM_053009			Zfp91			NA
liver_15_5_REP1.mLb.clN_peak_1186	chr19	8741130	8742081	+	3699	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-198	Stx5a	Stx5a	NM_001167799			Stx5a			NA
liver_15_5_REP1.mLb.clN_peak_56	chr18	5989648	5990228	+	3697	NA	Intergenic	Intergenic	146160	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_15_5_REP1.mLb.clN_peak_529	chr18	56870635	56871726	+	3691	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	54335	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_15_5_REP1.mLb.clN_peak_1547	chr19	36409272	36410271	+	3656	NA	promoter-TSS (Pcgf5)	-promoter-TSS (Pcgf5)	30704	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
liver_15_5_REP1.mLb.clN_peak_1573	chr19	37237407	37238790	+	3655	NA	Intergenic	Intergenic	25997	4931408D14Rik	4931408D14Rik	NR_040299			4931408D14Rik			NA
liver_15_5_REP1.mLb.clN_peak_1699	chr19	43689480	43690094	+	3624	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	98	Entpd7	Entpd7	NM_053103			Entpd7			NA
liver_15_5_REP1.mLb.clN_peak_1190	chr19	8785873	8786591	+	3622	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	84	Taf6l	Taf6l	NM_146092			Taf6l			NA
liver_15_5_REP1.mLb.clN_peak_62	chr18	6515927	6516608	+	3621	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25410	Epc1	Epc1	NM_027497			Epc1			NA
liver_15_5_REP1.mLb.clN_peak_1927	chr19	55941326	55941973	+	3536	NA	Intergenic	Intergenic	199839	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_15_5_REP1.mLb.clN_peak_1531	chr19	34656335	34657197	+	3532	NA	Intergenic	Intergenic	15877	Ifit1	Ifit1	NM_008331			Ifit1			NA
liver_15_5_REP1.mLb.clN_peak_1428	chr19	28010695	28012294	+	3497	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-328	Rfx3	Rfx3	NM_001360358			Rfx3			NA
liver_15_5_REP1.mLb.clN_peak_426	chr18	40218972	40219833	+	3463	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	-3	Yipf5	Yipf5	NM_023311			Yipf5			NA
liver_15_5_REP1.mLb.clN_peak_85	chr18	9449334	9450615	+	3458	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	180	Ccny	Ccny	NM_026484			Ccny			NA
liver_15_5_REP1.mLb.clN_peak_148	chr18	12973149	12974547	+	3444	NA	promoter-TSS (Impact)	-promoter-TSS (Impact)	1925	Impact	Impact	NM_001357396			Impact			NA
liver_15_5_REP1.mLb.clN_peak_497	chr18	53744234	53745212	+	3439	NA	promoter-TSS (Cep120)	-promoter-TSS (Cep120)	-115	Cep120	Cep120	NM_178686			Cep120			NA
liver_15_5_REP1.mLb.clN_peak_975	chr19	4012469	4013334	+	3435	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-146	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
liver_15_5_REP1.mLb.clN_peak_707	chr18	68274488	68275390	+	3432	NA	intron (Fam210a, intron 2 of 3)	-intron (Fam210a, intron 2 of 3)	-13966	Mir7219	Mir7219	NR_106078			Mir7219			NA
liver_15_5_REP1.mLb.clN_peak_617	chr18	63691757	63692930	+	3399	NA	promoter-TSS (Txnl1)	-promoter-TSS (Txnl1)	16	Txnl1	Txnl1	NM_016792			Txnl1			NA
liver_15_5_REP1.mLb.clN_peak_1715	chr19	44247744	44248724	+	3387	NA	Intergenic	Intergenic	44946	Scd3	Scd3	NM_024450			Scd3			NA
liver_15_5_REP1.mLb.clN_peak_1832	chr19	47730759	47732179	+	3366	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-287	Sfr1	Sfr1	NM_026377			Sfr1			NA
liver_15_5_REP1.mLb.clN_peak_1341	chr19	18670586	18671634	+	3329	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	330	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
liver_15_5_REP1.mLb.clN_peak_1799	chr19	46849052	46849930	+	3326	NA	intron (Cnnm2, intron 1 of 7)	-intron (Cnnm2, intron 1 of 6)	87882	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_15_5_REP1.mLb.clN_peak_38	chr18	5333943	5335054	+	3324	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-59	Zfp438	Zfp438	NM_178722			Zfp438			NA
liver_15_5_REP1.mLb.clN_peak_1475	chr19	31082440	31083215	+	3317	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	-14	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
liver_15_5_REP1.mLb.clN_peak_1022	chr19	4810920	4812085	+	3291	NA	promoter-TSS (Gm21992)	-promoter-TSS (Gm21992)	97	Gm21992	Gm21992	NM_001290128			Gm21992			NA
liver_15_5_REP1.mLb.clN_peak_478	chr18	50028054	50028950	+	3278	NA	intron (Tnfaip8, intron 1 of 2)	-intron (Tnfaip8, intron 1 of 1)	-24780	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
liver_15_5_REP1.mLb.clN_peak_202	chr18	21152098	21152752	+	3260	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	80081	Mep1b	Mep1b	NM_008586			Mep1b			NA
liver_15_5_REP1.mLb.clN_peak_2006	chr19	60889280	60890505	+	3234	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	143	Grk5	Grk5	NM_018869			Grk5			NA
liver_15_5_REP1.mLb.clN_peak_693	chr18	67774561	67775574	+	3196	NA	TTS (4930549G23Rik)	-TTS (4930549G23Rik)	191	Seh1l	Seh1l	NM_001039088			Seh1l			NA
liver_15_5_REP1.mLb.clN_peak_1317	chr19	16780325	16781582	+	3183	NA	promoter-TSS (Vps13a)	-promoter-TSS (Vps13a)	-20	Vps13a	Vps13a	NM_173028			Vps13a			NA
liver_15_5_REP1.mLb.clN_peak_1184	chr19	8722729	8723680	+	3179	NA	promoter-TSS (Snhg1)	-promoter-TSS (Snhg1)	-283	Snhg1	Snhg1	NR_002896			Snhg1			NA
liver_15_5_REP1.mLb.clN_peak_364	chr18	36801427	36802346	+	3161	NA	exon (Vaultrc5, exon 1 of 1)	-exon (Vaultrc5, exon 1 of 1)	123	Vaultrc5	Vaultrc5	NR_027885			Vaultrc5			NA
liver_15_5_REP1.mLb.clN_peak_1883	chr19	53943904	53945439	+	3118	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-44	Bbip1	Bbip1	NM_001195338			Bbip1			NA
liver_15_5_REP1.mLb.clN_peak_1722	chr19	44387989	44389188	+	3116	NA	Intergenic	Intergenic	19121	Scd1	Scd1	NM_009127			Scd1			NA
liver_15_5_REP1.mLb.clN_peak_1330	chr19	17393558	17394674	+	3112	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	73	Rfk	Rfk	NM_019437			Rfk			NA
liver_15_5_REP1.mLb.clN_peak_708	chr18	68299720	68300784	+	3089	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	81	Fam210a	Fam210a	NM_153794			Fam210a			NA
liver_15_5_REP1.mLb.clN_peak_735	chr18	70568032	70568980	+	3062	NA	exon (Mbd2, exon 1 of 3)	-exon (Mbd2, exon 1 of 3)	214	Mbd2	Mbd2	NM_001311071			Mbd2			NA
liver_15_5_REP1.mLb.clN_peak_609	chr18	62548293	62549164	+	3051	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	135	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
liver_15_5_REP1.mLb.clN_peak_1658	chr19	41801604	41802505	+	3047	NA	promoter-TSS (Arhgap19)	-promoter-TSS (Arhgap19)	30	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
liver_15_5_REP1.mLb.clN_peak_1216	chr19	9899041	9899990	+	3030	NA	promoter-TSS (Incenp)	-promoter-TSS (Incenp)	-26	Incenp	Incenp	NM_001369356			Incenp			NA
liver_15_5_REP1.mLb.clN_peak_1764	chr19	46152040	46152823	+	3026	NA	promoter-TSS (Gbf1)	-promoter-TSS (Gbf1)	-127	Gbf1	Gbf1	NM_178930			Gbf1			NA
liver_15_5_REP1.mLb.clN_peak_730	chr18	70529800	70530716	+	3018	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	63	Poli	Poli	NM_001289516			Poli			NA
liver_15_5_REP1.mLb.clN_peak_1170	chr19	7482699	7483768	+	2993	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	58	Rtn3	Rtn3	NM_001003933			Rtn3			NA
liver_15_5_REP1.mLb.clN_peak_1653	chr19	41482235	41483402	+	2990	NA	intron (Lcor, intron 1 of 7)	-intron (Lcor, intron 1 of 7)	-42434	Morf4l1b	Morf4l1b	NM_001326287			Morf4l1b			NA
liver_15_5_REP1.mLb.clN_peak_298	chr18	34751008	34752222	+	2971	NA	promoter-TSS (Cdc25c)	-promoter-TSS (Cdc25c)	-82	Cdc25c	Cdc25c	NM_009860			Cdc25c			NA
liver_15_5_REP1.mLb.clN_peak_985	chr19	4125532	4126337	+	2970	NA	promoter-TSS (Tmem134)	-promoter-TSS (Tmem134)	-26	Tmem134	Tmem134	NM_025889			Tmem134			NA
liver_15_5_REP1.mLb.clN_peak_470	chr18	49777814	49779291	+	2947	NA	Intergenic	Intergenic	-22951	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_15_5_REP1.mLb.clN_peak_247	chr18	25168435	25169429	+	2936	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	-55	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
liver_15_5_REP1.mLb.clN_peak_229	chr18	24120784	24122194	+	2920	NA	intron (Ino80c, intron 1 of 4)	-intron (Ino80c, intron 1 of 4)	330	Ino80c	Ino80c	NM_172625			Ino80c			NA
liver_15_5_REP1.mLb.clN_peak_756	chr18	74215805	74216768	+	2918	NA	promoter-TSS (Cxxc1)	-promoter-TSS (Cxxc1)	74	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
liver_15_5_REP1.mLb.clN_peak_1981	chr19	59360530	59361103	+	2912	NA	Intergenic	Intergenic	-15036	Pdzd8	Pdzd8	NM_001033222			Pdzd8			NA
liver_15_5_REP1.mLb.clN_peak_1667	chr19	41932805	41933764	+	2910	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	30	Exosc1	Exosc1	NM_001320231			Exosc1			NA
