PeakID (cmd=annotatePeaks.pl liver_15_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_15_5_REP2.mLb.clN_peak_167	chr18	21299516	21300864	+	3132	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-51	Garem1	Garem1	NM_001033445			Garem1			NA
liver_15_5_REP2.mLb.clN_peak_371	chr18	42511067	42512263	+	3107	NA	intron (Tcerg1, intron 1 of 22)	-intron (Tcerg1, intron 1 of 21)	178	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
liver_15_5_REP2.mLb.clN_peak_813	chr19	4096834	4097727	+	3092	NA	promoter-TSS (Cdk2ap2)	-promoter-TSS (Cdk2ap2)	-71	Cdk2ap2	Cdk2ap2	NM_026373			Cdk2ap2			NA
liver_15_5_REP2.mLb.clN_peak_836	chr19	4558210	4559271	+	3075	NA	intron (Pcx, intron 2 of 20)	-intron (Pcx, intron 2 of 20)	-35579	Pcx	Pcx	NM_001162946			Pcx			NA
liver_15_5_REP2.mLb.clN_peak_450	chr18	56924902	56926143	+	3001	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-7	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_15_5_REP2.mLb.clN_peak_589	chr18	67723955	67724811	+	3000	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	238	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
liver_15_5_REP2.mLb.clN_peak_3	chr18	3336753	3338040	+	2954	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	980	Gm6225	Gm6225	NR_033457			Gm6225			NA
liver_15_5_REP2.mLb.clN_peak_1355	chr19	40513094	40514047	+	2927	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	166	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
liver_15_5_REP2.mLb.clN_peak_1394	chr19	42089952	42090881	+	2921	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	-19	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
liver_15_5_REP2.mLb.clN_peak_514	chr18	62179621	62180487	+	2915	NA	promoter-TSS (Gm9949)	-promoter-TSS (Gm9949)	-46	Gm9949	Gm9949	NM_001013754			Gm9949			NA
liver_15_5_REP2.mLb.clN_peak_69	chr18	10029191	10030349	+	2902	NA	promoter-TSS (Usp14)	-promoter-TSS (Usp14)	379	Usp14	Usp14	NM_001038589			Usp14			NA
liver_15_5_REP2.mLb.clN_peak_764	chr18	84951099	84952163	+	2892	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-107	Timm21	Timm21	NR_160856			Timm21			NA
liver_15_5_REP2.mLb.clN_peak_335	chr18	38249972	38250893	+	2838	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	133	1700086O06Rik	1700086O06Rik	NR_027904			1700086O06Rik			NA
liver_15_5_REP2.mLb.clN_peak_370	chr18	42274909	42275838	+	2805	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	20	Rbm27	Rbm27	NM_172626			Rbm27			NA
liver_15_5_REP2.mLb.clN_peak_1557	chr19	53390130	53391019	+	2803	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	60	Smndc1	Smndc1	NM_172429			Smndc1			NA
liver_15_5_REP2.mLb.clN_peak_1145	chr19	21652600	21653704	+	2759	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-157	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
liver_15_5_REP2.mLb.clN_peak_1495	chr19	46760904	46761931	+	2700	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-192	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_15_5_REP2.mLb.clN_peak_1415	chr19	43689463	43690101	+	2676	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	93	Entpd7	Entpd7	NM_053103			Entpd7			NA
liver_15_5_REP2.mLb.clN_peak_42	chr18	5989694	5990218	+	2661	NA	Intergenic	Intergenic	146142	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_15_5_REP2.mLb.clN_peak_1211	chr19	29251220	29252242	+	2656	NA	promoter-TSS (Jak2)	-promoter-TSS (Jak2)	-72	Jak2	Jak2	NM_001048177			Jak2			NA
liver_15_5_REP2.mLb.clN_peak_800	chr19	3912469	3913294	+	2641	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-107	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
liver_15_5_REP2.mLb.clN_peak_451	chr18	56977528	56978465	+	2639	NA	Intergenic	Intergenic	-2617	C330018D20Rik	C330018D20Rik	NM_029909			C330018D20Rik			NA
liver_15_5_REP2.mLb.clN_peak_390	chr18	46525160	46526536	+	2633	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	123	Fem1c	Fem1c	NM_173423			Fem1c			NA
liver_15_5_REP2.mLb.clN_peak_1004	chr19	8819036	8820879	+	2632	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	556	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
liver_15_5_REP2.mLb.clN_peak_56	chr18	7626279	7627216	+	2568	NA	exon (Mpp7, exon 1 of 17)	-exon (Mpp7, exon 1 of 17)	-18593	Mpp7	Mpp7	NM_001081287			Mpp7			NA
liver_15_5_REP2.mLb.clN_peak_1411	chr19	43524171	43525188	+	2531	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	-74	Got1	Got1	NM_010324			Got1			NA
liver_15_5_REP2.mLb.clN_peak_953	chr19	6921445	6922423	+	2506	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-126	Esrra	Esrra	NM_007953			Esrra			NA
liver_15_5_REP2.mLb.clN_peak_504	chr18	61952587	61953504	+	2500	NA	promoter-TSS (Sh3tc2)	-promoter-TSS (Sh3tc2)	-30	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
liver_15_5_REP2.mLb.clN_peak_263	chr18	34931433	34932479	+	2499	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	47	Etf1	Etf1	NM_144866			Etf1			NA
liver_15_5_REP2.mLb.clN_peak_562	chr18	65799976	65800853	+	2490	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-164	Sec11c	Sec11c	NM_025468			Sec11c			NA
liver_15_5_REP2.mLb.clN_peak_284	chr18	35771184	35772207	+	2460	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	136	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
liver_15_5_REP2.mLb.clN_peak_1390	chr19	41980660	41981862	+	2449	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-131	Mms19	Mms19	NR_164197			Mms19			NA
liver_15_5_REP2.mLb.clN_peak_957	chr19	6979569	6980769	+	2438	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	271	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
liver_15_5_REP2.mLb.clN_peak_1660	chr19	59942951	59943906	+	2429	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	226	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
liver_15_5_REP2.mLb.clN_peak_527	chr18	63691723	63692810	+	2383	NA	promoter-TSS (Txnl1)	-promoter-TSS (Txnl1)	93	Txnl1	Txnl1	NM_016792			Txnl1			NA
liver_15_5_REP2.mLb.clN_peak_369	chr18	42261859	42262617	+	2380	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-113	Lars	Lars	NM_134137			Lars			NA
liver_15_5_REP2.mLb.clN_peak_159	chr18	21001283	21002402	+	2367	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-115	Rnf138	Rnf138	NM_207623			Rnf138			NA
liver_15_5_REP2.mLb.clN_peak_556	chr18	65430282	65431501	+	2364	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-99	Malt1	Malt1	NM_001365019			Malt1			NA
liver_15_5_REP2.mLb.clN_peak_784	chr19	3575317	3576385	+	2352	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-102	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
liver_15_5_REP2.mLb.clN_peak_1544	chr19	53142087	53143139	+	2342	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1384	Add3	Add3	NM_001164100			Add3			NA
liver_15_5_REP2.mLb.clN_peak_1679	chr19	60889332	60890653	+	2341	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	243	Grk5	Grk5	NM_018869			Grk5			NA
liver_15_5_REP2.mLb.clN_peak_1203	chr19	29100904	29101618	+	2324	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-114	Rcl1	Rcl1	NM_021525			Rcl1			NA
liver_15_5_REP2.mLb.clN_peak_1018	chr19	8966459	8967390	+	2289	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-117	Eef1g	Eef1g	NM_026007			Eef1g			NA
liver_15_5_REP2.mLb.clN_peak_703	chr18	80206559	80207622	+	2279	NA	intron (Txnl4a, intron 1 of 3)	-intron (Txnl4a, intron 1 of 3)	244	Txnl4a	Txnl4a	NM_178604			Txnl4a			NA
liver_15_5_REP2.mLb.clN_peak_1430	chr19	44266639	44267568	+	2253	NA	Intergenic	Intergenic	-26573	Scd2	Scd2	NM_009128			Scd2			NA
liver_15_5_REP2.mLb.clN_peak_1132	chr19	18712691	18713750	+	2248	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	-16	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_15_5_REP2.mLb.clN_peak_666	chr18	76240935	76242353	+	2247	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-57	Smad2	Smad2	NM_001252481			Smad2			NA
liver_15_5_REP2.mLb.clN_peak_1140	chr19	21271656	21273006	+	2236	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	53	Zfand5	Zfand5	NM_009551			Zfand5			NA
liver_15_5_REP2.mLb.clN_peak_603	chr18	68299720	68301000	+	2233	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	5	Rnmt	Rnmt	NM_001361003			Rnmt			NA
liver_15_5_REP2.mLb.clN_peak_66	chr18	9449395	9450612	+	2227	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	151	Ccny	Ccny	NM_026484			Ccny			NA
liver_15_5_REP2.mLb.clN_peak_684	chr18	77938127	77938863	+	2225	NA	promoter-TSS (Epg5)	-promoter-TSS (Epg5)	29	Epg5	Epg5	NM_001195633			Epg5			NA
liver_15_5_REP2.mLb.clN_peak_1003	chr19	8802080	8802789	+	2212	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	-79	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
liver_15_5_REP2.mLb.clN_peak_47	chr18	6515912	6516608	+	2208	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25403	Epc1	Epc1	NM_027497			Epc1			NA
liver_15_5_REP2.mLb.clN_peak_1518	chr19	47402604	47403711	+	2190	NA	intron (Sh3pxd2a, intron 2 of 14)	-intron (Sh3pxd2a, intron 2 of 13)	61254	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
liver_15_5_REP2.mLb.clN_peak_492	chr18	61554828	61555752	+	2152	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	17	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
liver_15_5_REP2.mLb.clN_peak_807	chr19	4012467	4013324	+	2134	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-140	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
liver_15_5_REP2.mLb.clN_peak_365	chr18	40219036	40219731	+	2114	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	16	Yipf5	Yipf5	NM_023311			Yipf5			NA
liver_15_5_REP2.mLb.clN_peak_880	chr19	5510213	5511263	+	2107	NA	promoter-TSS (Snx32)	-promoter-TSS (Snx32)	-221	Snx32	Snx32	NM_001024560			Snx32			NA
liver_15_5_REP2.mLb.clN_peak_843	chr19	4793420	4794442	+	2096	NA	promoter-TSS (Rbm4)	-promoter-TSS (Rbm4)	-30	Rbm4	Rbm4	NM_009032			Rbm4			NA
liver_15_5_REP2.mLb.clN_peak_1458	chr19	45782703	45784106	+	2082	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	149	Oga	Oga	NR_151594			Oga			NA
liver_15_5_REP2.mLb.clN_peak_204	chr18	25168369	25169440	+	2068	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	-27	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
liver_15_5_REP2.mLb.clN_peak_676	chr18	77732233	77733214	+	2067	NA	intron (A330094K24Rik, intron 1 of 1)	-intron (A330094K24Rik, intron 1 of 1)	747	A330094K24Rik	A330094K24Rik	NR_155289			A330094K24Rik			NA
liver_15_5_REP2.mLb.clN_peak_1234	chr19	31082413	31083315	+	2063	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	23	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
liver_15_5_REP2.mLb.clN_peak_410	chr18	50028054	50028920	+	2057	NA	intron (Tnfaip8, intron 1 of 2)	-intron (Tnfaip8, intron 1 of 1)	-24795	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
liver_15_5_REP2.mLb.clN_peak_1431	chr19	44283925	44284926	+	2045	NA	Intergenic	Intergenic	-9251	Scd2	Scd2	NM_009128			Scd2			NA
liver_15_5_REP2.mLb.clN_peak_1450	chr19	45363408	45364268	+	2042	NA	exon (Btrc, exon 1 of 15)	-exon (Btrc, exon 1 of 15)	104	Btrc	Btrc	NM_001360120			Btrc			NA
liver_15_5_REP2.mLb.clN_peak_1193	chr19	28010743	28012189	+	2036	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-300	Rfx3	Rfx3	NM_001360358			Rfx3			NA
liver_15_5_REP2.mLb.clN_peak_1085	chr19	12794723	12796795	+	2035	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	364	Zfp91	Zfp91	NM_053009			Zfp91			NA
liver_15_5_REP2.mLb.clN_peak_1577	chr19	53943914	53945470	+	2033	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-65	Bbip1	Bbip1	NM_001195338			Bbip1			NA
liver_15_5_REP2.mLb.clN_peak_1001	chr19	8785841	8786508	+	2031	NA	intron (Taf6l, intron 1 of 11)	-intron (Taf6l, intron 1 of 11)	142	Taf6l	Taf6l	NM_146092			Taf6l			NA
liver_15_5_REP2.mLb.clN_peak_312	chr18	36734708	36735677	+	2030	NA	exon (Tmco6, exon 1 of 12)	-exon (Tmco6, exon 1 of 12)	122	Tmco6	Tmco6	NM_028036			Tmco6			NA
liver_15_5_REP2.mLb.clN_peak_76	chr18	10181609	10182574	+	2010	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-299	Rock1	Rock1	NM_009071			Rock1			NA
liver_15_5_REP2.mLb.clN_peak_424	chr18	53744123	53745166	+	2006	NA	promoter-TSS (Cep120)	-promoter-TSS (Cep120)	-36	Cep120	Cep120	NM_178686			Cep120			NA
liver_15_5_REP2.mLb.clN_peak_1116	chr19	17323134	17324303	+	1997	NA	Intergenic	Intergenic	32949	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
liver_15_5_REP2.mLb.clN_peak_1429	chr19	44247696	44248688	+	1970	NA	Intergenic	Intergenic	44904	Scd3	Scd3	NM_024450			Scd3			NA
liver_15_5_REP2.mLb.clN_peak_187	chr18	24121081	24122228	+	1969	NA	exon (Ino80c, exon 1 of 5)	-exon (Ino80c, exon 1 of 5)	165	Ino80c	Ino80c	NM_172625			Ino80c			NA
liver_15_5_REP2.mLb.clN_peak_1129	chr19	18670594	18671634	+	1943	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	334	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
liver_15_5_REP2.mLb.clN_peak_405	chr18	49777857	49779312	+	1910	NA	Intergenic	Intergenic	-22983	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_15_5_REP2.mLb.clN_peak_1389	chr19	41932892	41933754	+	1908	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-9	Exosc1	Exosc1	NM_001320231			Exosc1			NA
liver_15_5_REP2.mLb.clN_peak_1498	chr19	46849054	46849932	+	1906	NA	intron (Cnnm2, intron 1 of 7)	-intron (Cnnm2, intron 1 of 6)	87884	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_15_5_REP2.mLb.clN_peak_446	chr18	56870650	56871728	+	1906	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	54326	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_15_5_REP2.mLb.clN_peak_161	chr18	21152090	21152771	+	1903	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	80086	Mep1b	Mep1b	NM_008586			Mep1b			NA
liver_15_5_REP2.mLb.clN_peak_997	chr19	8741065	8742326	+	1898	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-108	Stx5a	Stx5a	NM_001167799			Stx5a			NA
liver_15_5_REP2.mLb.clN_peak_980	chr19	7482659	7483765	+	1882	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	79	Rtn3	Rtn3	NM_001003933			Rtn3			NA
liver_15_5_REP2.mLb.clN_peak_518	chr18	62548297	62549015	+	1881	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	207	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
liver_15_5_REP2.mLb.clN_peak_1380	chr19	41801611	41802459	+	1869	NA	promoter-TSS (Arhgap19)	-promoter-TSS (Arhgap19)	49	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
liver_15_5_REP2.mLb.clN_peak_1472	chr19	46152189	46152793	+	1869	NA	promoter-TSS (Gbf1)	-promoter-TSS (Gbf1)	-67	Gbf1	Gbf1	NM_178930			Gbf1			NA
liver_15_5_REP2.mLb.clN_peak_1082	chr19	12573055	12573948	+	1838	NA	promoter-TSS (Fam111a)	-promoter-TSS (Fam111a)	-24	Fam111a	Fam111a	NM_001346545			Fam111a			NA
liver_15_5_REP2.mLb.clN_peak_1121	chr19	17393660	17394573	+	1833	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	73	Rfk	Rfk	NM_019437			Rfk			NA
liver_15_5_REP2.mLb.clN_peak_644	chr18	75005498	75006197	+	1814	NA	promoter-TSS (BC031181)	-promoter-TSS (BC031181)	8	BC031181	BC031181	NM_001001181			BC031181			NA
liver_15_5_REP2.mLb.clN_peak_1126	chr19	18631299	18632163	+	1810	NA	promoter-TSS (Ostf1)	-promoter-TSS (Ostf1)	82	Ostf1	Ostf1	NM_017375			Ostf1			NA
liver_15_5_REP2.mLb.clN_peak_637	chr18	74267871	74268728	+	1802	NA	exon (Mbd1, exon 1 of 16)	-exon (Mbd1, exon 1 of 16)	124	Mbd1	Mbd1	NM_001357423			Mbd1			NA
liver_15_5_REP2.mLb.clN_peak_969	chr19	7217327	7218089	+	1796	NA	promoter-TSS (Cox8a)	-promoter-TSS (Cox8a)	-92	Cox8a	Cox8a	NM_007750			Cox8a			NA
liver_15_5_REP2.mLb.clN_peak_635	chr18	74215805	74216753	+	1769	NA	promoter-TSS (Cxxc1)	-promoter-TSS (Cxxc1)	67	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
liver_15_5_REP2.mLb.clN_peak_591	chr18	67774561	67775561	+	1756	NA	TTS (4930549G23Rik)	-TTS (4930549G23Rik)	185	Seh1l	Seh1l	NM_001039088			Seh1l			NA
liver_15_5_REP2.mLb.clN_peak_848	chr19	4878257	4879019	+	1755	NA	promoter-TSS (Zdhhc24)	-promoter-TSS (Zdhhc24)	-30	Zdhhc24	Zdhhc24	NM_027476			Zdhhc24			NA
liver_15_5_REP2.mLb.clN_peak_183	chr18	24019966	24021030	+	1749	NA	promoter-TSS (Zfp24)	-promoter-TSS (Zfp24)	315	Zfp24	Zfp24	NM_001357447			Zfp24			NA
liver_15_5_REP2.mLb.clN_peak_995	chr19	8722737	8723522	+	1748	NA	promoter-TSS (Snhg1)	-promoter-TSS (Snhg1)	-358	Snhg1	Snhg1	NR_002896			Snhg1			NA
liver_15_5_REP2.mLb.clN_peak_216	chr18	31759298	31760980	+	1744	NA	promoter-TSS (Ammecr1l)	-promoter-TSS (Ammecr1l)	315	Ammecr1l	Ammecr1l	NM_153515			Ammecr1l			NA
liver_15_5_REP2.mLb.clN_peak_1313	chr19	37237437	37238737	+	1733	NA	Intergenic	Intergenic	26008	4931408D14Rik	4931408D14Rik	NR_040299			4931408D14Rik			NA
liver_15_5_REP2.mLb.clN_peak_175	chr18	23803557	23804422	+	1732	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	19	Mapre2	Mapre2	NM_153058			Mapre2			NA
liver_15_5_REP2.mLb.clN_peak_975	chr19	7341101	7342310	+	1729	NA	exon (Mark2, exon 1 of 17)	-exon (Mark2, exon 1 of 17)	155	Mark2	Mark2	NM_001080388			Mark2			NA
liver_15_5_REP2.mLb.clN_peak_860	chr19	5087958	5088894	+	1720	NA	promoter-TSS (Yif1a)	-promoter-TSS (Yif1a)	-112	Yif1a	Yif1a	NM_026553			Yif1a			NA
liver_15_5_REP2.mLb.clN_peak_1173	chr19	24961329	24961944	+	1719	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-20	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
liver_15_5_REP2.mLb.clN_peak_1375	chr19	41482235	41483582	+	1700	NA	intron (Lcor, intron 1 of 7)	-intron (Lcor, intron 1 of 7)	-42344	Morf4l1b	Morf4l1b	NM_001326287			Morf4l1b			NA
liver_15_5_REP2.mLb.clN_peak_602	chr18	68274377	68275397	+	1677	NA	intron (Fam210a, intron 2 of 3)	-intron (Fam210a, intron 2 of 3)	-13914	Mir7219	Mir7219	NR_106078			Mir7219			NA
liver_15_5_REP2.mLb.clN_peak_1613	chr19	55941144	55941952	+	1673	NA	Intergenic	Intergenic	199738	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
liver_15_5_REP2.mLb.clN_peak_220	chr18	31910433	31911385	+	1672	NA	exon (Sft2d3, exon 1 of 1)	-exon (Sft2d3, exon 1 of 1)	994	Sft2d3	Sft2d3	NM_026006			Sft2d3			NA
liver_15_5_REP2.mLb.clN_peak_25	chr18	5333973	5335024	+	1658	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-59	Zfp438	Zfp438	NM_178722			Zfp438			NA
liver_15_5_REP2.mLb.clN_peak_254	chr18	34751117	34752220	+	1657	NA	promoter-TSS (Cdc25c)	-promoter-TSS (Cdc25c)	-135	Cdc25c	Cdc25c	NM_009860			Cdc25c			NA
