PeakID (cmd=annotatePeaks.pl liver_14_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP1.mLb.clN_peak_851	chr19	7217332	7218102	+	1553	NA	promoter-TSS (Cox8a)	-promoter-TSS (Cox8a)	-101	Cox8a	Cox8a	NM_007750			Cox8a			NA
liver_14_5_REP1.mLb.clN_peak_188	chr18	32162632	32163520	+	1536	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	-13	Map3k2	Map3k2	NM_011946			Map3k2			NA
liver_14_5_REP1.mLb.clN_peak_983	chr19	18670570	18671386	+	1534	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	198	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
liver_14_5_REP1.mLb.clN_peak_1236	chr19	44247881	44248635	+	1524	NA	Intergenic	Intergenic	44970	Scd3	Scd3	NM_024450			Scd3			NA
liver_14_5_REP1.mLb.clN_peak_1330	chr19	53038191	53038923	+	1523	NA	promoter-TSS (Xpnpep1)	-promoter-TSS (Xpnpep1)	97	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
liver_14_5_REP1.mLb.clN_peak_1362	chr19	53943914	53945163	+	1496	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	89	Bbip1	Bbip1	NM_001195338			Bbip1			NA
liver_14_5_REP1.mLb.clN_peak_651	chr18	84685132	84686007	+	1493	NA	intron (Cndp2, intron 1 of 11)	-intron (Cndp2, intron 1 of 11)	133	Cndp2	Cndp2	NM_001289531			Cndp2			NA
liver_14_5_REP1.mLb.clN_peak_549	chr18	74267823	74268629	+	1492	NA	promoter-TSS (Mbd1)	-promoter-TSS (Mbd1)	51	Mbd1	Mbd1	NM_001357423			Mbd1			NA
liver_14_5_REP1.mLb.clN_peak_573	chr18	76241027	76242341	+	1482	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-17	Smad2	Smad2	NM_001252481			Smad2			NA
liver_14_5_REP1.mLb.clN_peak_173	chr18	25168350	25169354	+	1461	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	25	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
liver_14_5_REP1.mLb.clN_peak_921	chr19	10605153	10606241	+	1459	NA	promoter-TSS (Ddb1)	-promoter-TSS (Ddb1)	100	Ddb1	Ddb1	NM_015735			Ddb1			NA
liver_14_5_REP1.mLb.clN_peak_1288	chr19	46598742	46599205	+	1452	NA	promoter-TSS (Wbp1l)	-promoter-TSS (Wbp1l)	-133	Wbp1l	Wbp1l	NM_001177812			Wbp1l			NA
liver_14_5_REP1.mLb.clN_peak_1197	chr19	41801627	41802299	+	1452	NA	intron (Arhgap19, intron 1 of 11)	-intron (Arhgap19, intron 1 of 10)	121	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
liver_14_5_REP1.mLb.clN_peak_670	chr18	90579450	90580080	+	1443	NA	promoter-TSS (Gm45871)	-promoter-TSS (Gm45871)	-60	Gm45871	Gm45871	NM_001362365			Gm45871			NA
liver_14_5_REP1.mLb.clN_peak_1039	chr19	29063928	29064929	+	1438	NA	Intergenic	Intergenic	-2873	Gm9895	Gm9895	NR_045687			Gm9895			NA
liver_14_5_REP1.mLb.clN_peak_1400	chr19	56391440	56392145	+	1424	NA	Intergenic	Intergenic	-1754	Nrap	Nrap	NM_198059			Nrap			NA
