PeakID (cmd=annotatePeaks.pl kidney_15_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_15_5_REP1.mLb.clN_peak_385	chr18	24603309	24604264	+	1369	NA	promoter-TSS (Elp2)	-promoter-TSS (Elp2)	31	Slc39a6	Slc39a6	NM_139143			Slc39a6			NA
kidney_15_5_REP1.mLb.clN_peak_661	chr18	38250051	38250908	+	1367	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	86	1700086O06Rik	1700086O06Rik	NR_027904			1700086O06Rik			NA
kidney_15_5_REP1.mLb.clN_peak_2297	chr19	29100751	29101869	+	1357	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-65	Rcl1	Rcl1	NM_021525			Rcl1			NA
kidney_15_5_REP1.mLb.clN_peak_1937	chr19	8966435	8967464	+	1356	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-92	Eef1g	Eef1g	NM_026007			Eef1g			NA
kidney_15_5_REP1.mLb.clN_peak_2685	chr19	46760923	46762094	+	1333	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-101	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
kidney_15_5_REP1.mLb.clN_peak_1671	chr19	3575410	3576388	+	1326	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-150	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
kidney_15_5_REP1.mLb.clN_peak_983	chr18	56925018	56926068	+	1319	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-28	Marchf3	Marchf3	NM_001374227			Marchf3			NA
kidney_15_5_REP1.mLb.clN_peak_133	chr18	10181444	10182704	+	1296	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-282	Rock1	Rock1	NM_009071			Rock1			NA
kidney_15_5_REP1.mLb.clN_peak_2719	chr19	47730809	47731942	+	1292	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-381	Sfr1	Sfr1	NM_026377			Sfr1			NA
kidney_15_5_REP1.mLb.clN_peak_60	chr18	5333733	5335097	+	1292	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	24	Zfp438	Zfp438	NM_178722			Zfp438			NA
kidney_15_5_REP1.mLb.clN_peak_197	chr18	12973068	12974539	+	1282	NA	promoter-TSS (Impact)	-promoter-TSS (Impact)	1880	Impact	Impact	NM_001357396			Impact			NA
kidney_15_5_REP1.mLb.clN_peak_1608	chr18	84685015	84686090	+	1272	NA	intron (Cndp2, intron 1 of 11)	-intron (Cndp2, intron 1 of 11)	150	Cndp2	Cndp2	NM_001289531			Cndp2			NA
kidney_15_5_REP1.mLb.clN_peak_2568	chr19	43674445	43675734	+	1262	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	-89	BC037704	BC037704	NR_045645			BC037704			NA
kidney_15_5_REP1.mLb.clN_peak_1176	chr18	65800028	65800877	+	1243	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-126	Sec11c	Sec11c	NM_025468			Sec11c			NA
kidney_15_5_REP1.mLb.clN_peak_78	chr18	6135335	6136839	+	1234	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	11	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_15_5_REP1.mLb.clN_peak_729	chr18	42261807	42262768	+	1232	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-162	Lars	Lars	NM_134137			Lars			NA
kidney_15_5_REP1.mLb.clN_peak_471	chr18	31759240	31760780	+	1213	NA	promoter-TSS (Ammecr1l)	-promoter-TSS (Ammecr1l)	186	Ammecr1l	Ammecr1l	NM_153515			Ammecr1l			NA
kidney_15_5_REP1.mLb.clN_peak_3	chr18	3336696	3338116	+	1184	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	990	Gm6225	Gm6225	NR_033457			Gm6225			NA
kidney_15_5_REP1.mLb.clN_peak_484	chr18	32162385	32163767	+	1169	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	-13	Map3k2	Map3k2	NM_011946			Map3k2			NA
kidney_15_5_REP1.mLb.clN_peak_369	chr18	24020047	24021346	+	1167	NA	promoter-TSS (Zfp24)	-promoter-TSS (Zfp24)	117	Zfp24	Zfp24	NM_001357447			Zfp24			NA
kidney_15_5_REP1.mLb.clN_peak_1923	chr19	8819019	8820575	+	1140	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	396	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
kidney_15_5_REP1.mLb.clN_peak_1663	chr18	90579132	90580056	+	1138	NA	promoter-TSS (Gm45871)	-promoter-TSS (Gm45871)	-231	Gm45871	Gm45871	NM_001362365			Gm45871			NA
kidney_15_5_REP1.mLb.clN_peak_2500	chr19	40513110	40514137	+	1130	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	113	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
kidney_15_5_REP1.mLb.clN_peak_1223	chr18	67774407	67775561	+	1094	NA	exon (Seh1l, exon 1 of 9)	-exon (Seh1l, exon 1 of 9)	108	Seh1l	Seh1l	NM_001039088			Seh1l			NA
kidney_15_5_REP1.mLb.clN_peak_1107	chr18	62548379	62549156	+	1089	NA	promoter-TSS (Fbxo38)	-promoter-TSS (Fbxo38)	96	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
kidney_15_5_REP1.mLb.clN_peak_226	chr18	14782766	14783870	+	1087	NA	promoter-TSS (Taf4b)	-promoter-TSS (Taf4b)	73	Taf4b	Taf4b	NM_001369357			Taf4b			NA
kidney_15_5_REP1.mLb.clN_peak_349	chr18	22985061	22985811	+	1073	NA	intron (Nol4, intron 1 of 9)	-intron (Nol4, intron 1 of 10)	56245	Nol4	Nol4	NM_001361223			Nol4			NA
kidney_15_5_REP1.mLb.clN_peak_1661	chr18	90509668	90510834	+	1064	NA	promoter-TSS (Tmx3)	-promoter-TSS (Tmx3)	97	Tmx3	Tmx3	NM_198295			Tmx3			NA
kidney_15_5_REP1.mLb.clN_peak_1896	chr19	7493884	7494967	+	1056	NA	promoter-TSS (Atl3)	-promoter-TSS (Atl3)	-13	Atl3	Atl3	NM_001163505			Atl3			NA
kidney_15_5_REP1.mLb.clN_peak_1180	chr18	66002059	66003064	+	1055	NA	promoter-TSS (Lman1)	-promoter-TSS (Lman1)	74	Lman1	Lman1	NM_027400			Lman1			NA
kidney_15_5_REP1.mLb.clN_peak_2586	chr19	44283963	44284943	+	1051	NA	Intergenic	Intergenic	-9223	Scd2	Scd2	NM_009128			Scd2			NA
kidney_15_5_REP1.mLb.clN_peak_2117	chr19	18712826	18713739	+	1049	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	46	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
kidney_15_5_REP1.mLb.clN_peak_1948	chr19	9982169	9983416	+	1049	NA	exon (Fth1, exon 1 of 4)	-exon (Fth1, exon 1 of 4)	2192	Fth1	Fth1	NR_073181			Fth1			NA
kidney_15_5_REP1.mLb.clN_peak_1363	chr18	74778300	74779530	+	1042	NA	promoter-TSS (Acaa2)	-promoter-TSS (Acaa2)	-297	Acaa2	Acaa2	NM_177470			Acaa2			NA
kidney_15_5_REP1.mLb.clN_peak_480	chr18	32067193	32068287	+	1037	NA	promoter-TSS (Iws1)	-promoter-TSS (Iws1)	6	Iws1	Iws1	NM_173441			Iws1			NA
kidney_15_5_REP1.mLb.clN_peak_2569	chr19	43689426	43690227	+	1034	NA	exon (Entpd7, exon 1 of 13)	-exon (Entpd7, exon 1 of 13)	137	Entpd7	Entpd7	NM_053103			Entpd7			NA
kidney_15_5_REP1.mLb.clN_peak_2803	chr19	53599879	53601044	+	1034	NA	promoter-TSS (Smc3)	-promoter-TSS (Smc3)	65	Smc3	Smc3	NM_007790			Smc3			NA
kidney_15_5_REP1.mLb.clN_peak_2019	chr19	11911740	11913161	+	1032	NA	promoter-TSS (Patl1)	-promoter-TSS (Patl1)	51	Patl1	Patl1	NM_172635			Patl1			NA
kidney_15_5_REP1.mLb.clN_peak_1426	chr18	76240933	76242421	+	1032	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-24	Smad2	Smad2	NM_001252481			Smad2			NA
kidney_15_5_REP1.mLb.clN_peak_103	chr18	7868461	7870030	+	1031	NA	promoter-TSS (Wac)	-promoter-TSS (Wac)	48	Wac	Wac	NM_001360956			Wac			NA
kidney_15_5_REP1.mLb.clN_peak_2035	chr19	12794656	12796812	+	1031	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	389	Zfp91	Zfp91	NM_053009			Zfp91			NA
kidney_15_5_REP1.mLb.clN_peak_384	chr18	24529506	24530693	+	1029	NA	exon (Rprd1a, exon 1 of 8)	-exon (Rprd1a, exon 1 of 8)	105	Rprd1a	Rprd1a	NM_001360807			Rprd1a			NA
kidney_15_5_REP1.mLb.clN_peak_1164	chr18	65430253	65431597	+	1027	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-65	Malt1	Malt1	NM_001365019			Malt1			NA
kidney_15_5_REP1.mLb.clN_peak_1252	chr18	69343891	69344558	+	1026	NA	promoter-TSS (Tcf4)	-promoter-TSS (Tcf4)	-268	Tcf4	Tcf4	NM_001361126			Tcf4			NA
kidney_15_5_REP1.mLb.clN_peak_2397	chr19	34526893	34527690	+	1004	NA	intron (Lipa, intron 1 of 9)	-intron (Lipa, intron 1 of 9)	183	Lipa	Lipa	NM_021460			Lipa			NA
kidney_15_5_REP1.mLb.clN_peak_646	chr18	37934790	37935755	+	997	NA	exon (Diaph1, exon 1 of 28)	-exon (Diaph1, exon 1 of 28)	204	Diaph1	Diaph1	NM_007858			Diaph1			NA
kidney_15_5_REP1.mLb.clN_peak_1086	chr18	61554881	61555752	+	997	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	43	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
kidney_15_5_REP1.mLb.clN_peak_1862	chr19	6979471	6980888	+	992	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	261	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
kidney_15_5_REP1.mLb.clN_peak_861	chr18	49978780	49979953	+	986	NA	promoter-TSS (Tnfaip8)	-promoter-TSS (Tnfaip8)	-73916	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
kidney_15_5_REP1.mLb.clN_peak_1129	chr18	63691757	63692931	+	985	NA	promoter-TSS (Txnl1)	-promoter-TSS (Txnl1)	15	Txnl1	Txnl1	NM_016792			Txnl1			NA
kidney_15_5_REP1.mLb.clN_peak_2723	chr19	47865422	47866100	+	984	NA	promoter-TSS (Gsto2)	-promoter-TSS (Gsto2)	216	Gsto2	Gsto2	NM_026619			Gsto2			NA
kidney_15_5_REP1.mLb.clN_peak_1920	chr19	8785785	8786772	+	968	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	38	Taf6l	Taf6l	NM_146092			Taf6l			NA
kidney_15_5_REP1.mLb.clN_peak_83	chr18	6489843	6491308	+	965	NA	promoter-TSS (Mir1893)	-promoter-TSS (Mir1893)	71	Mir1893	Mir1893	NR_035446			Mir1893			NA
kidney_15_5_REP1.mLb.clN_peak_2114	chr19	18631300	18632178	+	962	NA	promoter-TSS (Ostf1)	-promoter-TSS (Ostf1)	74	Ostf1	Ostf1	NM_017375			Ostf1			NA
kidney_15_5_REP1.mLb.clN_peak_2532	chr19	41932953	41933816	+	961	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-61	Zdhhc16	Zdhhc16	NM_001360679			Zdhhc16			NA
kidney_15_5_REP1.mLb.clN_peak_2774	chr19	53037858	53039306	+	955	NA	promoter-TSS (Xpnpep1)	-promoter-TSS (Xpnpep1)	72	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
kidney_15_5_REP1.mLb.clN_peak_975	chr18	56707410	56709047	+	954	NA	exon (Lmnb1, exon 1 of 11)	-exon (Lmnb1, exon 1 of 11)	415	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
kidney_15_5_REP1.mLb.clN_peak_2823	chr19	53943871	53945482	+	947	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-49	Bbip1	Bbip1	NM_001195338			Bbip1			NA
kidney_15_5_REP1.mLb.clN_peak_1238	chr18	68299682	68300886	+	946	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	49	Fam210a	Fam210a	NM_153794			Fam210a			NA
kidney_15_5_REP1.mLb.clN_peak_2793	chr19	53389983	53391025	+	945	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	130	Smndc1	Smndc1	NM_172429			Smndc1			NA
kidney_15_5_REP1.mLb.clN_peak_1345	chr18	74267631	74268649	+	939	NA	promoter-TSS (Mbd1)	-promoter-TSS (Mbd1)	-35	Mbd1	Mbd1	NM_001357423			Mbd1			NA
kidney_15_5_REP1.mLb.clN_peak_2154	chr19	21777493	21778893	+	937	NA	promoter-TSS (Cemip2)	-promoter-TSS (Cemip2)	-147	Cemip2	Cemip2	NM_031997			Cemip2			NA
kidney_15_5_REP1.mLb.clN_peak_2339	chr19	31082401	31083288	+	933	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	3	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
kidney_15_5_REP1.mLb.clN_peak_814	chr18	46958463	46959324	+	931	NA	promoter-TSS (Commd10)	-promoter-TSS (Commd10)	17	Commd10	Commd10	NM_178377			Commd10			NA
kidney_15_5_REP1.mLb.clN_peak_2094	chr19	17393489	17394592	+	919	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	-3	Rfk	Rfk	NM_019437			Rfk			NA
kidney_15_5_REP1.mLb.clN_peak_2227	chr19	24961352	24962252	+	914	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-186	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
kidney_15_5_REP1.mLb.clN_peak_374	chr18	24121081	24122225	+	913	NA	exon (Ino80c, exon 1 of 5)	-exon (Ino80c, exon 1 of 5)	166	Ino80c	Ino80c	NM_172625			Ino80c			NA
kidney_15_5_REP1.mLb.clN_peak_1090	chr18	61653009	61654011	+	912	NA	intron (Carmn, intron 2 of 4)	-intron (Carmn, intron 2 of 4)	-4252	Mir143	Mir143	NR_029601			Mir143			NA
kidney_15_5_REP1.mLb.clN_peak_2646	chr19	45782666	45784091	+	907	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	175	Oga	Oga	NR_151594			Oga			NA
kidney_15_5_REP1.mLb.clN_peak_475	chr18	31910433	31911475	+	906	NA	exon (Sft2d3, exon 1 of 1)	-exon (Sft2d3, exon 1 of 1)	949	Sft2d3	Sft2d3	NM_026006			Sft2d3			NA
kidney_15_5_REP1.mLb.clN_peak_2411	chr19	34877854	34879466	+	900	NA	promoter-TSS (Pank1)	-promoter-TSS (Pank1)	-743	Pank1	Pank1	NM_001114339			Pank1			NA
kidney_15_5_REP1.mLb.clN_peak_1286	chr18	70529805	70530726	+	895	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	56	Poli	Poli	NM_001289516			Poli			NA
kidney_15_5_REP1.mLb.clN_peak_2975	chr19	60873703	60874904	+	884	NA	intron (Prdx3, intron 1 of 6)	-intron (Prdx3, intron 1 of 6)	235	Prdx3	Prdx3	NM_007452			Prdx3			NA
kidney_15_5_REP1.mLb.clN_peak_2565	chr19	43524047	43525044	+	883	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	60	Got1	Got1	NM_010324			Got1			NA
kidney_15_5_REP1.mLb.clN_peak_2469	chr19	38054190	38055390	+	864	NA	promoter-TSS (Cep55)	-promoter-TSS (Cep55)	-251	Cep55	Cep55	NM_028293			Cep55			NA
kidney_15_5_REP1.mLb.clN_peak_1954	chr19	10100431	10102280	+	862	NA	exon (Fads2, exon 1 of 12)	-exon (Fads2, exon 1 of 12)	148	Fads2	Fads2	NM_019699			Fads2			NA
kidney_15_5_REP1.mLb.clN_peak_2435	chr19	36736401	36737469	+	859	NA	promoter-TSS (Ppp1r3c)	-promoter-TSS (Ppp1r3c)	-331	Ppp1r3c	Ppp1r3c	NM_016854			Ppp1r3c			NA
kidney_15_5_REP1.mLb.clN_peak_2062	chr19	15924368	15925743	+	857	NA	promoter-TSS (Psat1)	-promoter-TSS (Psat1)	4	Psat1	Psat1	NM_177420			Psat1			NA
kidney_15_5_REP1.mLb.clN_peak_574	chr18	35771063	35772302	+	857	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	123	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
kidney_15_5_REP1.mLb.clN_peak_787	chr18	46198247	46199504	+	857	NA	promoter-TSS (Trim36)	-promoter-TSS (Trim36)	13732	Trim36	Trim36	NM_178872			Trim36			NA
kidney_15_5_REP1.mLb.clN_peak_2976	chr19	60889135	60890653	+	853	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	145	Grk5	Grk5	NM_018869			Grk5			NA
kidney_15_5_REP1.mLb.clN_peak_1344	chr18	74215794	74217013	+	849	NA	exon (Cxxc1, exon 1 of 15)	-exon (Cxxc1, exon 1 of 15)	191	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
kidney_15_5_REP1.mLb.clN_peak_2504	chr19	40611829	40612594	+	846	NA	promoter-TSS (Entpd1)	-promoter-TSS (Entpd1)	20	Tctn3	Tctn3	NM_026260			Tctn3			NA
kidney_15_5_REP1.mLb.clN_peak_129	chr18	9957712	9958614	+	840	NA	promoter-TSS (Thoc1)	-promoter-TSS (Thoc1)	-17	Thoc1	Thoc1	NM_153552			Thoc1			NA
kidney_15_5_REP1.mLb.clN_peak_1650	chr18	88971425	88972390	+	840	NA	promoter-TSS (Mir6359)	-promoter-TSS (Mir6359)	117	Rttn	Rttn	NM_175542			Rttn			NA
kidney_15_5_REP1.mLb.clN_peak_1916	chr19	8740901	8742064	+	839	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-321	Stx5a	Stx5a	NM_001167799			Stx5a			NA
kidney_15_5_REP1.mLb.clN_peak_799	chr18	46597074	46598511	+	837	NA	promoter-TSS (Eif1a)	-promoter-TSS (Eif1a)	88	Eif1a	Eif1a	NM_001374654			Eif1a			NA
kidney_15_5_REP1.mLb.clN_peak_2526	chr19	41801597	41802505	+	834	NA	promoter-TSS (Arhgap19)	-promoter-TSS (Arhgap19)	33	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
kidney_15_5_REP1.mLb.clN_peak_2070	chr19	16132182	16134014	+	833	NA	exon (Gnaq, exon 1 of 7)	-exon (Gnaq, exon 1 of 7)	414	Gnaq	Gnaq	NM_008139			Gnaq			NA
kidney_15_5_REP1.mLb.clN_peak_2960	chr19	59942974	59943950	+	827	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	192	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
kidney_15_5_REP1.mLb.clN_peak_1933	chr19	8920085	8920945	+	826	NA	exon (B3gat3, exon 1 of 5)	-exon (B3gat3, exon 1 of 5)	122	B3gat3	B3gat3	NM_024256			B3gat3			NA
