PeakID (cmd=annotatePeaks.pl liver_14_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP2.mLb.clN_peak_1188	chr19	4793420	4794432	+	5836	NA	promoter-TSS (Rbm4)	-promoter-TSS (Rbm4)	-25	Rbm4	Rbm4	NM_009032			Rbm4			NA
liver_14_5_REP2.mLb.clN_peak_806	chr18	67774556	67775596	+	5823	NA	TTS (4930549G23Rik)	-TTS (4930549G23Rik)	200	Seh1l	Seh1l	NM_001039088			Seh1l			NA
liver_14_5_REP2.mLb.clN_peak_1613	chr19	24961339	24961950	+	5814	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-28	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
liver_14_5_REP2.mLb.clN_peak_2136	chr19	53599861	53601160	+	5798	NA	exon (Smc3, exon 1 of 29)	-exon (Smc3, exon 1 of 29)	114	Smc3	Smc3	NM_007790			Smc3			NA
liver_14_5_REP2.mLb.clN_peak_1343	chr19	7341052	7342320	+	5782	NA	exon (Mark2, exon 1 of 17)	-exon (Mark2, exon 1 of 17)	174	Mark2	Mark2	NM_001080388			Mark2			NA
liver_14_5_REP2.mLb.clN_peak_543	chr18	50028041	50028997	+	5761	NA	intron (Tnfaip8, intron 1 of 2)	-intron (Tnfaip8, intron 1 of 1)	-24763	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
liver_14_5_REP2.mLb.clN_peak_564	chr18	53744118	53745260	+	5728	NA	promoter-TSS (Cep120)	-promoter-TSS (Cep120)	-81	Cep120	Cep120	NM_178686			Cep120			NA
liver_14_5_REP2.mLb.clN_peak_1372	chr19	8785840	8786661	+	5715	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	66	Taf6l	Taf6l	NM_146092			Taf6l			NA
liver_14_5_REP2.mLb.clN_peak_2092	chr19	47730752	47732186	+	5669	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-287	Sfr1	Sfr1	NM_026377			Sfr1			NA
liver_14_5_REP2.mLb.clN_peak_1071	chr18	84685023	84686047	+	5660	NA	intron (Cndp2, intron 1 of 11)	-intron (Cndp2, intron 1 of 11)	167	Cndp2	Cndp2	NM_001289531			Cndp2			NA
liver_14_5_REP2.mLb.clN_peak_1772	chr19	36409287	36410295	+	5628	NA	promoter-TSS (Pcgf5)	-promoter-TSS (Pcgf5)	30724	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
liver_14_5_REP2.mLb.clN_peak_58	chr18	6135483	6136792	+	5620	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	-39	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_14_5_REP2.mLb.clN_peak_678	chr18	61952560	61953976	+	5618	NA	intron (Sh3tc2, intron 1 of 16)	-intron (Sh3tc2, intron 1 of 16)	193	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
liver_14_5_REP2.mLb.clN_peak_402	chr18	36734697	36735693	+	5605	NA	exon (Tmco6, exon 1 of 12)	-exon (Tmco6, exon 1 of 12)	125	Tmco6	Tmco6	NM_028036			Tmco6			NA
liver_14_5_REP2.mLb.clN_peak_2038	chr19	46572675	46573825	+	5587	NA	promoter-TSS (Arl3)	-promoter-TSS (Arl3)	-68	Arl3	Arl3	NM_001355233			Arl3			NA
liver_14_5_REP2.mLb.clN_peak_34	chr18	5333944	5335058	+	5582	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-62	Zfp438	Zfp438	NM_178722			Zfp438			NA
liver_14_5_REP2.mLb.clN_peak_279	chr18	25168371	25169433	+	5515	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	-25	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
liver_14_5_REP2.mLb.clN_peak_1550	chr19	18670436	18671713	+	5505	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	294	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
liver_14_5_REP2.mLb.clN_peak_2108	chr19	53038024	53039237	+	5500	NA	promoter-TSS (Xpnpep1)	-promoter-TSS (Xpnpep1)	24	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
liver_14_5_REP2.mLb.clN_peak_1540	chr19	17393514	17394769	+	5499	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	98	Rfk	Rfk	NM_019437			Rfk			NA
liver_14_5_REP2.mLb.clN_peak_258	chr18	24120789	24122352	+	5474	NA	intron (Ino80c, intron 1 of 4)	-intron (Ino80c, intron 1 of 4)	249	Ino80c	Ino80c	NM_172625			Ino80c			NA
liver_14_5_REP2.mLb.clN_peak_939	chr18	77732223	77733237	+	5456	NA	intron (A330094K24Rik, intron 1 of 1)	-intron (A330094K24Rik, intron 1 of 1)	740	A330094K24Rik	A330094K24Rik	NR_155289			A330094K24Rik			NA
liver_14_5_REP2.mLb.clN_peak_881	chr18	74215764	74216786	+	5455	NA	promoter-TSS (Cxxc1)	-promoter-TSS (Cxxc1)	63	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
liver_14_5_REP2.mLb.clN_peak_2298	chr19	60889123	60890652	+	5423	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	138	Grk5	Grk5	NM_018869			Grk5			NA
liver_14_5_REP2.mLb.clN_peak_1949	chr19	44283895	44284937	+	5402	NA	Intergenic	Intergenic	-9260	Scd2	Scd2	NM_009128			Scd2			NA
liver_14_5_REP2.mLb.clN_peak_408	chr18	36801444	36802387	+	5391	NA	exon (Vaultrc5, exon 1 of 1)	-exon (Vaultrc5, exon 1 of 1)	152	Vaultrc5	Vaultrc5	NR_027885			Vaultrc5			NA
liver_14_5_REP2.mLb.clN_peak_96	chr18	9449317	9450703	+	5377	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	144	Ccny	Ccny	NM_026484			Ccny			NA
liver_14_5_REP2.mLb.clN_peak_1801	chr19	37237403	37238800	+	5358	NA	Intergenic	Intergenic	25994	4931408D14Rik	4931408D14Rik	NR_040299			4931408D14Rik			NA
liver_14_5_REP2.mLb.clN_peak_822	chr18	68273989	68275415	+	5322	NA	intron (Fam210a, intron 2 of 3)	-intron (Fam210a, intron 2 of 3)	-13729	Mir7219	Mir7219	NR_106078			Mir7219			NA
liver_14_5_REP2.mLb.clN_peak_1879	chr19	41482232	41483454	+	5294	NA	intron (Lcor, intron 1 of 7)	-intron (Lcor, intron 1 of 7)	-42409	Morf4l1b	Morf4l1b	NM_001326287			Morf4l1b			NA
liver_14_5_REP2.mLb.clN_peak_1190	chr19	4810921	4812090	+	5290	NA	promoter-TSS (Gm21992)	-promoter-TSS (Gm21992)	94	Gm21992	Gm21992	NM_001290128			Gm21992			NA
liver_14_5_REP2.mLb.clN_peak_475	chr18	40218956	40219791	+	5279	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	26	Yipf5	Yipf5	NM_023311			Yipf5			NA
liver_14_5_REP2.mLb.clN_peak_2297	chr19	60873501	60874898	+	5261	NA	intron (Prdx3, intron 1 of 6)	-intron (Prdx3, intron 1 of 6)	339	Prdx3	Prdx3	NM_007452			Prdx3			NA
liver_14_5_REP2.mLb.clN_peak_165	chr18	12972944	12974547	+	5231	NA	promoter-TSS (Impact)	-promoter-TSS (Impact)	1822	Impact	Impact	NM_001357396			Impact			NA
liver_14_5_REP2.mLb.clN_peak_1440	chr19	10524824	10526063	+	5177	NA	promoter-TSS (Sdhaf2)	-promoter-TSS (Sdhaf2)	199	Cpsf7	Cpsf7	NM_172302			Cpsf7			NA
liver_14_5_REP2.mLb.clN_peak_1140	chr19	4012446	4013334	+	5090	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-135	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
liver_14_5_REP2.mLb.clN_peak_1350	chr19	7482687	7483843	+	5089	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	26	Rtn3	Rtn3	NM_001003933			Rtn3			NA
liver_14_5_REP2.mLb.clN_peak_421	chr18	37934707	37935753	+	5087	NA	exon (Diaph1, exon 1 of 28)	-exon (Diaph1, exon 1 of 28)	246	Diaph1	Diaph1	NM_007858			Diaph1			NA
liver_14_5_REP2.mLb.clN_peak_799	chr18	67640862	67641952	+	5063	NA	promoter-TSS (Cep76)	-promoter-TSS (Cep76)	-52	Cep76	Cep76	NM_001081073			Cep76			NA
liver_14_5_REP2.mLb.clN_peak_1948	chr19	44266609	44267600	+	5055	NA	Intergenic	Intergenic	-26572	Scd2	Scd2	NM_009128			Scd2			NA
liver_14_5_REP2.mLb.clN_peak_1526	chr19	16780291	16781610	+	5054	NA	promoter-TSS (Vps13a)	-promoter-TSS (Vps13a)	-17	Vps13a	Vps13a	NM_173028			Vps13a			NA
liver_14_5_REP2.mLb.clN_peak_697	chr18	62548288	62549161	+	5046	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	139	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
liver_14_5_REP2.mLb.clN_peak_945	chr18	77806137	77807245	+	5007	NA	intron (Pstpip2, intron 1 of 14)	-intron (Pstpip2, intron 1 of 14)	-10301	F830208F22Rik	F830208F22Rik	NR_152167			F830208F22Rik			NA
liver_14_5_REP2.mLb.clN_peak_1534	chr19	17323136	17324291	+	4921	NA	Intergenic	Intergenic	32954	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
liver_14_5_REP2.mLb.clN_peak_1445	chr19	10605088	10606248	+	4898	NA	promoter-TSS (Ddb1)	-promoter-TSS (Ddb1)	71	Ddb1	Ddb1	NM_015735			Ddb1			NA
liver_14_5_REP2.mLb.clN_peak_1293	chr19	6276206	6277326	+	4893	NA	promoter-TSS (Ehd1)	-promoter-TSS (Ehd1)	-130	Ehd1	Ehd1	NM_010119			Ehd1			NA
liver_14_5_REP2.mLb.clN_peak_938	chr18	77713384	77715059	+	4873	NA	promoter-TSS (8030462N17Rik)	-promoter-TSS (8030462N17Rik)	37	4930465K10Rik	4930465K10Rik	NR_027978			4930465K10Rik			NA
liver_14_5_REP2.mLb.clN_peak_595	chr18	56707374	56709114	+	4858	NA	exon (Lmnb1, exon 1 of 11)	-exon (Lmnb1, exon 1 of 11)	431	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
liver_14_5_REP2.mLb.clN_peak_222	chr18	21151909	21152897	+	4851	NA	intron (Garem1, intron 3 of 5)	-intron (Garem1, intron 3 of 5)	80059	Mep1b	Mep1b	NM_008586			Mep1b			NA
liver_14_5_REP2.mLb.clN_peak_852	chr18	70567923	70568945	+	4845	NA	exon (Mbd2, exon 1 of 3)	-exon (Mbd2, exon 1 of 3)	142	Mbd2	Mbd2	NM_001311071			Mbd2			NA
