PeakID (cmd=annotatePeaks.pl kidney_15_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_15_5_REP2.mLb.clN_peak_1311	chr18	67723880	67724955	+	2081	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	204	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
kidney_15_5_REP2.mLb.clN_peak_2020	chr19	7039528	7040556	+	2044	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-16	Stip1	Stip1	NM_016737			Stip1			NA
kidney_15_5_REP2.mLb.clN_peak_575	chr18	34931603	34932522	+	1952	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-59	Etf1	Etf1	NM_144866			Etf1			NA
kidney_15_5_REP2.mLb.clN_peak_1988	chr19	6363220	6364565	+	1931	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	202	Sf1	Sf1	NR_122118			Sf1			NA
kidney_15_5_REP2.mLb.clN_peak_779	chr18	42511012	42512134	+	1928	NA	promoter-TSS (Tcerg1)	-promoter-TSS (Tcerg1)	86	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
kidney_15_5_REP2.mLb.clN_peak_1760	chr18	84850884	84851862	+	1899	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	35	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
kidney_15_5_REP2.mLb.clN_peak_411	chr18	25168155	25169447	+	1896	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	76	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
kidney_15_5_REP2.mLb.clN_peak_844	chr18	46525124	46526545	+	1893	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	137	Fem1c	Fem1c	NM_173423			Fem1c			NA
kidney_15_5_REP2.mLb.clN_peak_131	chr18	9449320	9450735	+	1864	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	127	Ccny	Ccny	NM_026484			Ccny			NA
kidney_15_5_REP2.mLb.clN_peak_2093	chr19	8966511	8967416	+	1845	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-78	Eef1g	Eef1g	NM_026007			Eef1g			NA
kidney_15_5_REP2.mLb.clN_peak_2507	chr19	29100820	29101797	+	1806	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-67	Rcl1	Rcl1	NM_021525			Rcl1			NA
kidney_15_5_REP2.mLb.clN_peak_1420	chr18	73571918	73573449	+	1768	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	-22	Mex3c	Mex3c	NM_001039214			Mex3c			NA
kidney_15_5_REP2.mLb.clN_peak_2484	chr19	28010668	28012327	+	1747	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-331	Rfx3	Rfx3	NM_001360358			Rfx3			NA
kidney_15_5_REP2.mLb.clN_peak_2766	chr19	41980608	41982183	+	1728	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-265	Mms19	Mms19	NR_164197			Mms19			NA
kidney_15_5_REP2.mLb.clN_peak_1031	chr18	56924938	56926201	+	1721	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-54	Marchf3	Marchf3	NM_001374227			Marchf3			NA
kidney_15_5_REP2.mLb.clN_peak_83	chr18	5989567	5990349	+	1717	NA	Intergenic	Intergenic	146140	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_15_5_REP2.mLb.clN_peak_2808	chr19	43674591	43675939	+	1665	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	87	BC037704	BC037704	NR_045645			BC037704			NA
kidney_15_5_REP2.mLb.clN_peak_208	chr18	12973127	12974560	+	1664	NA	promoter-TSS (Impact)	-promoter-TSS (Impact)	1920	Impact	Impact	NM_001357396			Impact			NA
kidney_15_5_REP2.mLb.clN_peak_3054	chr19	53141544	53143230	+	1655	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1610	Add3	Add3	NM_001164100			Add3			NA
kidney_15_5_REP2.mLb.clN_peak_6	chr18	3507195	3508387	+	1632	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-166	Bambi	Bambi	NM_026505			Bambi			NA
kidney_15_5_REP2.mLb.clN_peak_2341	chr19	21652479	21653792	+	1607	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-174	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
kidney_15_5_REP2.mLb.clN_peak_2333	chr19	21271554	21273054	+	1595	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	26	Zfand5	Zfand5	NM_009551			Zfand5			NA
kidney_15_5_REP2.mLb.clN_peak_1790	chr18	88893511	88894729	+	1591	NA	promoter-TSS (Socs6)	-promoter-TSS (Socs6)	87	Socs6	Socs6	NM_018821			Socs6			NA
kidney_15_5_REP2.mLb.clN_peak_391	chr18	24603129	24604276	+	1588	NA	promoter-TSS (Elp2)	-promoter-TSS (Elp2)	115	Slc39a6	Slc39a6	NM_139143			Slc39a6			NA
kidney_15_5_REP2.mLb.clN_peak_764	chr18	40218961	40219831	+	1583	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	3	Yipf5	Yipf5	NM_023311			Yipf5			NA
kidney_15_5_REP2.mLb.clN_peak_105	chr18	7626284	7627385	+	1583	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18680	Mpp7	Mpp7	NM_001081287			Mpp7			NA
kidney_15_5_REP2.mLb.clN_peak_366	chr18	23803420	23804549	+	1557	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	14	Mapre2	Mapre2	NM_153058			Mapre2			NA
kidney_15_5_REP2.mLb.clN_peak_1764	chr18	84951072	84952317	+	1553	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-170	Timm21	Timm21	NR_160856			Timm21			NA
kidney_15_5_REP2.mLb.clN_peak_703	chr18	38250067	38250892	+	1543	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	86	1700086O06Rik	1700086O06Rik	NR_027904			1700086O06Rik			NA
kidney_15_5_REP2.mLb.clN_peak_2990	chr19	47730759	47731958	+	1530	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-398	Sfr1	Sfr1	NM_026377			Sfr1			NA
kidney_15_5_REP2.mLb.clN_peak_480	chr18	31759296	31761003	+	1526	NA	promoter-TSS (Ammecr1l)	-promoter-TSS (Ammecr1l)	325	Ammecr1l	Ammecr1l	NM_153515			Ammecr1l			NA
kidney_15_5_REP2.mLb.clN_peak_1429	chr18	73815095	73816157	+	1505	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-188	Me2	Me2	NR_157387			Me2			NA
kidney_15_5_REP2.mLb.clN_peak_374	chr18	24020095	24021309	+	1495	NA	promoter-TSS (Zfp24)	-promoter-TSS (Zfp24)	111	Zfp24	Zfp24	NM_001357447			Zfp24			NA
kidney_15_5_REP2.mLb.clN_peak_1241	chr18	65430264	65431534	+	1487	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-91	Malt1	Malt1	NM_001365019			Malt1			NA
kidney_15_5_REP2.mLb.clN_peak_2954	chr19	46760872	46762134	+	1484	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-106	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
kidney_15_5_REP2.mLb.clN_peak_1797	chr18	90579132	90580180	+	1452	NA	promoter-TSS (Gm45871)	-promoter-TSS (Gm45871)	-169	Gm45871	Gm45871	NM_001362365			Gm45871			NA
kidney_15_5_REP2.mLb.clN_peak_1260	chr18	65799939	65800997	+	1451	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-110	Sec11c	Sec11c	NM_025468			Sec11c			NA
kidney_15_5_REP2.mLb.clN_peak_3043	chr19	53038102	53039242	+	1438	NA	promoter-TSS (Xpnpep1)	-promoter-TSS (Xpnpep1)	-18	Xpnpep1	Xpnpep1	NM_001374834			Xpnpep1			NA
kidney_15_5_REP2.mLb.clN_peak_1810	chr19	3575331	3576414	+	1416	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-123	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
kidney_15_5_REP2.mLb.clN_peak_2	chr18	3336691	3338059	+	1409	NA	intron (Gm6225, intron 1 of 1)	-intron (Crem, intron 1 of 4)	959	Gm6225	Gm6225	NR_033457			Gm6225			NA
kidney_15_5_REP2.mLb.clN_peak_146	chr18	10181220	10182675	+	1386	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-155	Rock1	Rock1	NM_009071			Rock1			NA
kidney_15_5_REP2.mLb.clN_peak_774	chr18	42261853	42262649	+	1383	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-126	Lars	Lars	NM_134137			Lars			NA
kidney_15_5_REP2.mLb.clN_peak_740	chr18	38992416	38993877	+	1371	NA	promoter-TSS (Arhgap26)	-promoter-TSS (Arhgap26)	1	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
kidney_15_5_REP2.mLb.clN_peak_1315	chr18	67774522	67775490	+	1351	NA	exon (Seh1l, exon 1 of 9)	-exon (Seh1l, exon 1 of 9)	130	Seh1l	Seh1l	NM_001039088			Seh1l			NA
kidney_15_5_REP2.mLb.clN_peak_348	chr18	22985033	22985808	+	1348	NA	intron (Nol4, intron 1 of 9)	-intron (Nol4, intron 1 of 10)	56261	Nol4	Nol4	NM_001361223			Nol4			NA
kidney_15_5_REP2.mLb.clN_peak_2555	chr19	31082401	31083324	+	1324	NA	promoter-TSS (Cstf2t)	-promoter-TSS (Cstf2t)	21	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
kidney_15_5_REP2.mLb.clN_peak_1539	chr18	76240770	76242421	+	1316	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-106	Smad2	Smad2	NM_001252481			Smad2			NA
kidney_15_5_REP2.mLb.clN_peak_1447	chr18	74267653	74268638	+	1311	NA	promoter-TSS (Mbd1)	-promoter-TSS (Mbd1)	-30	Mbd1	Mbd1	NM_001357423			Mbd1			NA
kidney_15_5_REP2.mLb.clN_peak_2765	chr19	41932898	41933759	+	1290	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-14	Exosc1	Exosc1	NM_001320231			Exosc1			NA
kidney_15_5_REP2.mLb.clN_peak_66	chr18	5333815	5335065	+	1283	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-1	Zfp438	Zfp438	NM_178722			Zfp438			NA
kidney_15_5_REP2.mLb.clN_peak_1148	chr18	61554778	61555697	+	1256	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	-36	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
kidney_15_5_REP2.mLb.clN_peak_390	chr18	24529517	24530731	+	1250	NA	promoter-TSS (Rprd1a)	-promoter-TSS (Rprd1a)	80	Rprd1a	Rprd1a	NM_001360807			Rprd1a			NA
kidney_15_5_REP2.mLb.clN_peak_2303	chr19	18670370	18671844	+	1245	NA	exon (Carnmt1, exon 1 of 8)	-exon (Carnmt1, exon 1 of 8)	327	Carnmt1	Carnmt1	NM_026120			Carnmt1			NA
kidney_15_5_REP2.mLb.clN_peak_2891	chr19	45363319	45364321	+	1242	NA	promoter-TSS (Btrc)	-promoter-TSS (Btrc)	86	Btrc	Btrc	NM_001360120			Btrc			NA
kidney_15_5_REP2.mLb.clN_peak_89	chr18	6489852	6491347	+	1240	NA	promoter-TSS (Mir1893)	-promoter-TSS (Mir1893)	47	Mir1893	Mir1893	NR_035446			Mir1893			NA
kidney_15_5_REP2.mLb.clN_peak_2009	chr19	6921255	6922624	+	1236	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-131	Esrra	Esrra	NM_007953			Esrra			NA
kidney_15_5_REP2.mLb.clN_peak_2052	chr19	7493868	7494960	+	1232	NA	promoter-TSS (Atl3)	-promoter-TSS (Atl3)	-24	Atl3	Atl3	NM_001163505			Atl3			NA
kidney_15_5_REP2.mLb.clN_peak_2830	chr19	44283903	44284975	+	1213	NA	Intergenic	Intergenic	-9237	Scd2	Scd2	NM_009128			Scd2			NA
kidney_15_5_REP2.mLb.clN_peak_495	chr18	32162549	32163738	+	1211	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	54	Map3k2	Map3k2	NM_011946			Map3k2			NA
kidney_15_5_REP2.mLb.clN_peak_2623	chr19	34526910	34527695	+	1209	NA	intron (Lipa, intron 1 of 9)	-intron (Lipa, intron 1 of 9)	172	Lipa	Lipa	NM_021460			Lipa			NA
kidney_15_5_REP2.mLb.clN_peak_2425	chr19	24961334	24962149	+	1207	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-125	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
kidney_15_5_REP2.mLb.clN_peak_2203	chr19	12794654	12796814	+	1203	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	389	Zfp91	Zfp91	NM_053009			Zfp91			NA
kidney_15_5_REP2.mLb.clN_peak_2305	chr19	18712826	18713653	+	1190	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	3	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
kidney_15_5_REP2.mLb.clN_peak_1263	chr18	66002030	66003079	+	1187	NA	promoter-TSS (Lman1)	-promoter-TSS (Lman1)	81	Lman1	Lman1	NM_027400			Lman1			NA
kidney_15_5_REP2.mLb.clN_peak_85	chr18	6135407	6136824	+	1177	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	-17	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_15_5_REP2.mLb.clN_peak_2276	chr19	17393584	17394674	+	1176	NA	promoter-TSS (Rfk)	-promoter-TSS (Rfk)	86	Rfk	Rfk	NM_019437			Rfk			NA
kidney_15_5_REP2.mLb.clN_peak_707	chr18	38296418	38297384	+	1174	NA	promoter-TSS (Rnf14)	-promoter-TSS (Rnf14)	266	Rnf14	Rnf14	NM_001361267			Rnf14			NA
kidney_15_5_REP2.mLb.clN_peak_2015	chr19	6979318	6980868	+	1173	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	347	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
kidney_15_5_REP2.mLb.clN_peak_2728	chr19	40513031	40514137	+	1171	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	152	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
kidney_15_5_REP2.mLb.clN_peak_906	chr18	49978767	49979656	+	1162	NA	promoter-TSS (Tnfaip8)	-promoter-TSS (Tnfaip8)	-74071	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
kidney_15_5_REP2.mLb.clN_peak_2993	chr19	47865378	47865949	+	1155	NA	promoter-TSS (Gsto2)	-promoter-TSS (Gsto2)	118	Gsto2	Gsto2	NM_026619			Gsto2			NA
kidney_15_5_REP2.mLb.clN_peak_1753	chr18	84685002	84686034	+	1154	NA	intron (Cndp2, intron 1 of 11)	-intron (Cndp2, intron 1 of 11)	184	Cndp2	Cndp2	NM_001289531			Cndp2			NA
kidney_15_5_REP2.mLb.clN_peak_237	chr18	14782736	14784002	+	1154	NA	exon (Taf4b, exon 1 of 15)	-exon (Taf4b, exon 1 of 15)	124	Taf4b	Taf4b	NM_001369357			Taf4b			NA
kidney_15_5_REP2.mLb.clN_peak_2776	chr19	42090104	42090935	+	1153	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	84	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
kidney_15_5_REP2.mLb.clN_peak_1175	chr18	62548346	62549156	+	1151	NA	promoter-TSS (Spink10)	-promoter-TSS (Spink10)	112	Fbxo38	Fbxo38	NM_001361090			Fbxo38			NA
kidney_15_5_REP2.mLb.clN_peak_2632	chr19	34877827	34879350	+	1134	NA	promoter-TSS (Pank1)	-promoter-TSS (Pank1)	-671	Pank1	Pank1	NM_001114339			Pank1			NA
kidney_15_5_REP2.mLb.clN_peak_3096	chr19	53943882	53945468	+	1127	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-48	Bbip1	Bbip1	NM_001195338			Bbip1			NA
kidney_15_5_REP2.mLb.clN_peak_2809	chr19	43689343	43690106	+	1125	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	35	Entpd7	Entpd7	NM_053103			Entpd7			NA
kidney_15_5_REP2.mLb.clN_peak_2758	chr19	41801641	41802616	+	1119	NA	promoter-TSS (Arhgap19)	-promoter-TSS (Arhgap19)	-44	Arhgap19	Arhgap19	NM_027667			Arhgap19			NA
kidney_15_5_REP2.mLb.clN_peak_1336	chr18	68299682	68300815	+	1116	NA	promoter-TSS (Rnmt)	-promoter-TSS (Rnmt)	85	Fam210a	Fam210a	NM_153794			Fam210a			NA
kidney_15_5_REP2.mLb.clN_peak_568	chr18	34751407	34752171	+	1106	NA	promoter-TSS (Cdc25c)	-promoter-TSS (Cdc25c)	-256	Cdc25c	Cdc25c	NM_009860			Cdc25c			NA
kidney_15_5_REP2.mLb.clN_peak_2946	chr19	46598740	46599707	+	1100	NA	exon (Wbp1l, exon 1 of 5)	-exon (Wbp1l, exon 1 of 5)	117	Wbp1l	Wbp1l	NM_001177812			Wbp1l			NA
kidney_15_5_REP2.mLb.clN_peak_860	chr18	46958580	46959417	+	1097	NA	intron (Commd10, intron 1 of 6)	-intron (Commd10, intron 1 of 6)	122	Commd10	Commd10	NM_178377			Commd10			NA
kidney_15_5_REP2.mLb.clN_peak_2182	chr19	11911726	11913161	+	1095	NA	promoter-TSS (Patl1)	-promoter-TSS (Patl1)	44	Patl1	Patl1	NM_172635			Patl1			NA
kidney_15_5_REP2.mLb.clN_peak_2698	chr19	38053903	38055381	+	1092	NA	promoter-TSS (Cep55)	-promoter-TSS (Cep55)	-399	Cep55	Cep55	NM_028293			Cep55			NA
kidney_15_5_REP2.mLb.clN_peak_109	chr18	7868494	7870046	+	1078	NA	promoter-TSS (Wac)	-promoter-TSS (Wac)	73	Wac	Wac	NM_001360956			Wac			NA
kidney_15_5_REP2.mLb.clN_peak_2656	chr19	36736447	36737263	+	1076	NA	promoter-TSS (Ppp1r3c)	-promoter-TSS (Ppp1r3c)	-251	Ppp1r3c	Ppp1r3c	NM_016854			Ppp1r3c			NA
kidney_15_5_REP2.mLb.clN_peak_2732	chr19	40611846	40612655	+	1072	NA	promoter-TSS (Entpd1)	-promoter-TSS (Entpd1)	-19	Tctn3	Tctn3	NM_026260			Tctn3			NA
kidney_15_5_REP2.mLb.clN_peak_1446	chr18	74215805	74217045	+	1072	NA	exon (Cxxc1, exon 1 of 15)	-exon (Cxxc1, exon 1 of 15)	213	Cxxc1	Cxxc1	NM_028868			Cxxc1			NA
kidney_15_5_REP2.mLb.clN_peak_2344	chr19	21777885	21779125	+	1065	NA	exon (Cemip2, exon 1 of 24)	-exon (Cemip2, exon 1 of 24)	165	Cemip2	Cemip2	NM_031997			Cemip2			NA
kidney_15_5_REP2.mLb.clN_peak_3252	chr19	60889192	60890713	+	1065	NA	exon (Grk5, exon 1 of 16)	-exon (Grk5, exon 1 of 16)	203	Grk5	Grk5	NM_018869			Grk5			NA
kidney_15_5_REP2.mLb.clN_peak_3077	chr19	53599874	53601233	+	1064	NA	exon (Smc3, exon 1 of 29)	-exon (Smc3, exon 1 of 29)	157	Smc3	Smc3	NM_007790			Smc3			NA
kidney_15_5_REP2.mLb.clN_peak_2073	chr19	8740915	8742072	+	1063	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-310	Stx5a	Stx5a	NM_001167799			Stx5a			NA
kidney_15_5_REP2.mLb.clN_peak_2105	chr19	9982260	9983530	+	1052	NA	exon (Fth1, exon 1 of 4)	-exon (Fth1, exon 1 of 4)	2295	Fth1	Fth1	NR_073181			Fth1			NA
kidney_15_5_REP2.mLb.clN_peak_1824	chr19	3912449	3913265	+	1049	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-83	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
kidney_15_5_REP2.mLb.clN_peak_683	chr18	37934707	37935757	+	1047	NA	exon (Diaph1, exon 1 of 28)	-exon (Diaph1, exon 1 of 28)	244	Diaph1	Diaph1	NM_007858			Diaph1			NA
kidney_15_5_REP2.mLb.clN_peak_2051	chr19	7482640	7483877	+	1042	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	33	Rtn3	Rtn3	NM_001003933			Rtn3			NA
kidney_15_5_REP2.mLb.clN_peak_1025	chr18	56707391	56709062	+	1040	NA	exon (Lmnb1, exon 1 of 11)	-exon (Lmnb1, exon 1 of 11)	413	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
kidney_15_5_REP2.mLb.clN_peak_2301	chr19	18631262	18632230	+	1037	NA	promoter-TSS (Ostf1)	-promoter-TSS (Ostf1)	67	Ostf1	Ostf1	NM_017375			Ostf1			NA
kidney_15_5_REP2.mLb.clN_peak_1182	chr18	62921787	62922749	+	1032	NA	promoter-TSS (Apcdd1)	-promoter-TSS (Apcdd1)	-59	Apcdd1	Apcdd1	NM_133237			Apcdd1			NA
kidney_15_5_REP2.mLb.clN_peak_1155	chr18	61653113	61654018	+	1030	NA	intron (Carmn, intron 2 of 4)	-intron (Carmn, intron 2 of 4)	-4307	Mir143	Mir143	NR_029601			Mir143			NA
kidney_15_5_REP2.mLb.clN_peak_1796	chr18	90509587	90510712	+	1030	NA	promoter-TSS (Tmx3)	-promoter-TSS (Tmx3)	-5	Tmx3	Tmx3	NM_198295			Tmx3			NA
kidney_15_5_REP2.mLb.clN_peak_2828	chr19	44247856	44248856	+	1026	NA	Intergenic	Intergenic	45068	Scd3	Scd3	NM_024450			Scd3			NA
kidney_15_5_REP2.mLb.clN_peak_1383	chr18	70529818	70530670	+	1017	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	77	Poli	Poli	NM_001289516			Poli			NA
kidney_15_5_REP2.mLb.clN_peak_1466	chr18	74778300	74779519	+	1015	NA	promoter-TSS (Acaa2)	-promoter-TSS (Acaa2)	-303	Acaa2	Acaa2	NM_177470			Acaa2			NA
kidney_15_5_REP2.mLb.clN_peak_1620	chr18	80150758	80152181	+	1015	NA	promoter-TSS (Adnp2)	-promoter-TSS (Adnp2)	13	Adnp2	Adnp2	NM_175028			Adnp2			NA
kidney_15_5_REP2.mLb.clN_peak_2263	chr19	16780273	16781524	+	1013	NA	promoter-TSS (Vps13a)	-promoter-TSS (Vps13a)	35	Vps13a	Vps13a	NM_173028			Vps13a			NA
kidney_15_5_REP2.mLb.clN_peak_484	chr18	31910472	31911605	+	1012	NA	exon (Sft2d3, exon 1 of 1)	-exon (Sft2d3, exon 1 of 1)	865	Sft2d3	Sft2d3	NM_026006			Sft2d3			NA
kidney_15_5_REP2.mLb.clN_peak_1373	chr18	70052949	70053662	+	1009	NA	exon (Rab27b, exon 1 of 7)	-exon (Rab27b, exon 1 of 7)	283	Rab27b	Rab27b	NM_001082553			Rab27b			NA
kidney_15_5_REP2.mLb.clN_peak_2080	chr19	8819006	8820592	+	1007	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	398	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
kidney_15_5_REP2.mLb.clN_peak_1385	chr18	70567845	70569063	+	1002	NA	exon (Mbd2, exon 1 of 3)	-exon (Mbd2, exon 1 of 3)	162	Mbd2	Mbd2	NM_001311071			Mbd2			NA
kidney_15_5_REP2.mLb.clN_peak_1791	chr18	88971425	88972275	+	995	NA	promoter-TSS (Rttn)	-promoter-TSS (Rttn)	60	Rttn	Rttn	NM_175542			Rttn			NA
kidney_15_5_REP2.mLb.clN_peak_155	chr18	10609474	10610611	+	993	NA	exon (Esco1, exon 1 of 11)	-exon (Esco1, exon 1 of 11)	310	Esco1	Esco1	NM_001081222			Esco1			NA
kidney_15_5_REP2.mLb.clN_peak_2079	chr19	8802092	8803052	+	989	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	59	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
