chrom	start	end	nearest_gene	distance_to_tss	kidney_accessibility	liver_accessibility	accessibility_log2FC	accessibility_padj	accessibility_category	kidney_methylation	liver_methylation	methylation_difference	methylation_fdr	num_CpG_sites
chr19	24990151	24990753	Dock8	8775	1.36116220180309	2.16568066717231	-2.83419878357976	1.52065251545417e-14	not differential	0.723326966024564	0.108941038879358	0.614385927145207	0.000976806876991484	7
chr19	32138403	32139048	Asah2	76933	1.3554557775993	2.0530260925526	-2.39212654230393	5.64932498265653e-10	not differential	0.751104085172344	0.138548733660479	0.612555351511865	0.000991782830398782	13
chr19	40442417	40442904	Sorbs1	70874	1.32097691990994	2.4531814452852	-3.7086158945508	6.20264481544439e-28	more accessible in liver	0.817191972968512	0.227534285862139	0.589657687106373	0.000273587577327172	4
chr18	77781723	77782074	Atp5a1	7993	1.58811927376856	2.64746599852791	-3.67401664892257	6.48769523584544e-26	more accessible in liver	0.910422263786016	0.200138636035018	0.710283627750998	0.000374753148786997	2
chr19	41837685	41838326	Frat1	7714	1.52339437919259	2.83801045801142	-4.4465872174931	2.74829774304652e-59	more accessible in liver	0.733632284063178	0.0819734161732256	0.651658867889952	0.0010113434124616	10
chr19	46242514	46242790	Nfkb2	61946	0.968162823619432	2.00785144423454	-3.5865644633281	1.08651463404124e-08	more accessible in liver	0.783473318467931	0.173097645818234	0.610375672649696	0.00044311099454698	2
chr18	75578443	75578807	Ctif	118888	1.84422780751551	2.08359130718408	-0.776166352497224	0.0321040052807657	not differential	0.715885440088085	0.166659000159762	0.549226439928322	0.000819888193434587	7
chr18	73541752	73542310	Mex3c	30733	1.52859141523479	2.01207085130474	-1.63972777703179	1.16934670389596e-06	not differential	0.671259937987658	0.135835333934004	0.535424604053653	0.000938899689371017	17
chr18	75312627	75313147	Smad7	54381	1.33795855641913	2.31269569033711	-3.18115476162436	9.5486614758955e-19	more accessible in liver	0.868321124515803	0.213836874478956	0.654484250036847	0.000459740073557777	7
chr19	41807310	41808152	Arhgap19	5225	1.52762013498154	2.50972728242331	-3.3105257650995	6.04099065687522e-40	more accessible in liver	0.863027381435023	0.189995230195078	0.673032151239946	0.000696758778321512	11
chr18	39458783	39459082	Nr3c1	32218	1.12448777431339	1.94742241113587	-2.83258073551514	9.1321130285814e-07	not differential	0.738803088803089	0.0843575808249721	0.654445507978117	0.00103852954580755	1
chr19	7017802	7019708	Fermt3	0	1.71222541776091	2.8433648422984	-3.77303728919341	9.23798116698463e-70	more accessible in liver	0.808061550559121	0.145806491236692	0.66225505932243	0.00105221918361854	23
chr18	62110507	62111483	Adrb2	68475	1.19670835221208	2.45295196384528	-4.00520042364773	6.95156668297618e-40	more accessible in liver	0.778020982767977	0.239250742763216	0.538770240004761	0.000783366441293589	9
chr19	32337648	32338219	Sgms1	51494	2.17051638272367	1.55062874758281	2.0686899289256	4.86055789637957e-10	not differential	0.0964982845408051	0.62390846152318	-0.527410176982375	0.000986276141665325	6
chr19	32510289	32511344	Minpp1	24519	1.62562558512077	3.05586292038613	-4.7297257688342	8.76554860080959e-92	more accessible in liver	0.875225334178394	0.228586984184602	0.646638349993792	0.000665586503029114	11
chr18	56368814	56369593	Gramd3	62538	2.01696825746751	1.16831956076997	2.89990364598391	3.42144648037616e-12	not differential	0.186809524265119	0.75609081235766	-0.569281288092541	0.00047690005518553	17
chr19	17323134	17324303	Gcnt1	32363	1.70702237704949	3.48635219127931	-5.79926124466019	2.36638118717446e-119	more accessible in liver	0.84550139536824	0.198290712024802	0.647210683343438	0.000659452738944081	14
chr18	24101408	24102228	Ino80c	19724	1.72716529282839	2.57977820895341	-2.80573959510305	1.09420231507501e-25	not differential	0.779359383431264	0.13330421355822	0.646055169873044	0.00107053395081593	6
chr19	31337070	31337971	Cstf2t	254228	1.22497427902276	2.1449293363079	-3.0703486302817	3.10914171368944e-19	more accessible in liver	0.815631267397585	0.153869681781891	0.661761585615694	0.00108293613460351	8
chr19	36610134	36610681	Hectd2	55494	1.25061492418685	2.84520962034895	-5.41217719039085	5.82624284441344e-54	more accessible in liver	0.708819276421563	0.155888419755343	0.55293085666622	0.000569223748505518	4
chr19	58125020	58125563	Gfra1	330345	1.91399685542804	0.756943723531492	3.23923031492608	2.21082879237508e-08	more accessible in kidney	0.184897031796896	0.75706254146634	-0.572165509669444	0.000934672097569812	16
chr18	70562913	70563784	Mbd2	4404	1.78067170485617	3.36105172206832	-5.26044243620582	1.05630084029776e-112	more accessible in liver	0.830374933221938	0.19896546036013	0.631409472861808	0.00065389162070474	11
chr19	8672825	8674111	Chrm1	9035	1.32328114014964	2.3493374297138	-3.51917476872774	1.28543831979315e-37	more accessible in liver	0.787075053374723	0.193619760047023	0.5934552933277	0.00108421760874521	13
chr19	60129617	60129979	Fam204a	96717	1.07220499685064	2.31545597920915	-4.23077545349889	2.6017908497615e-19	more accessible in liver	0.888587082851789	0.21017566229818	0.678411420553608	0.000374753148786997	2
chr19	24793724	24794964	Pgm5	66890	1.42391932201139	2.98423936061299	-5.1921952093681	2.56739748412564e-102	more accessible in liver	0.695581330973192	0.184257259432323	0.51132407154087	0.000995716769340017	14
chr19	57657528	57657927	Atrnl1	46493	2.07531318979462	1.67921540329856	1.30518559375333	0.000686133672814252	not differential	0.166974040162295	0.688084480733144	-0.521110440570849	0.000459740073557777	9
chr19	4566926	4567211	Lrfn4	48455	1.18884281900014	3.12029395865325	-6.13417691131788	3.88608369191859e-58	more accessible in liver	0.675761639382329	0.143118401206636	0.532643238175692	0.00111622558910189	1
chr19	46900617	46901333	Ina	113364	1.40219253438718	2.74884571492517	-4.42490369553702	9.21624345897012e-57	more accessible in liver	0.939972629643038	0.225281138814036	0.714691490829002	0.000374753148786997	7
chr19	33101004	33102111	Rnls	290183	1.44812012371676	2.08891926459354	-2.18681774630586	7.86283079507494e-15	not differential	0.748464339106859	0.0996108484737704	0.648853490633089	0.00112660666389159	16
chr18	54602813	54603082	Zfp608	387097	1.57554389698054	2.3898315023125	-2.6720943608398	2.04490419825465e-12	not differential	0.914700821714413	0.173005411612156	0.741695410102257	0.00113672527952901	5
chr18	80259989	80260337	Pqlc1	6696	1.77422656960218	3.51825800116567	-5.7008103105353	1.12651261883505e-106	more accessible in liver	0.900746406245499	0.166088458679992	0.734657947565507	0.00113672527952901	3
chr19	46998703	46999223	Ina	15474	1.42316250725793	2.01178197680162	-2.04111288687079	1.03213054539954e-05	not differential	0.800629219495225	0.192015552566056	0.60861366692917	0.000459740073557777	3
chr19	29135189	29135758	Rcl1	33813	1.44702500165222	2.6272335921961	-4.01088411667874	7.73927589412725e-40	more accessible in liver	0.913246395551321	0.25144631179113	0.661800083760191	0.000547887812177723	10
chr19	54087299	54088042	Adra2a	42116	1.4989738902121	2.49355184705257	-3.37349896930979	4.6119293836835e-25	more accessible in liver	0.614510152918412	0.105490691638962	0.50901946127945	0.00109244447730181	14
chr18	55569526	55570414	Zfp608	579345	1.24461948119011	1.98436245173224	-2.64849584049185	9.94214302669516e-13	not differential	0.748188409537988	0.175025788115105	0.573162621422883	0.000579291570247594	4
chr19	47448561	47448958	Sh3pxd2a	15452	1.71125382247146	2.21504416025636	-1.67524343443893	5.35371117977504e-07	not differential	0.764355579492451	0.16665326209249	0.597702317399961	0.00119021275081526	7
chr18	89608226	89608927	Dok6	160600	1.24486890527623	1.8545007448262	-2.17054927635843	6.57798204345636e-08	not differential	0.695437404736185	0.184197928535881	0.511239476200304	0.000384273713991361	2
chr19	25336834	25337145	Kank1	99858	1.25861558349313	2.09975693906452	-2.92253004123448	1.2540590532255e-09	not differential	0.874917652428495	0.204426857548543	0.670490794879952	0.000505196650258104	5
chr18	66467990	66468365	Pmaip1	9385	1.55823283207509	2.1496803076265	-2.02778346725741	1.41166337727389e-07	not differential	0.786490816615195	0.212408982732293	0.574081833882902	0.000912396434912297	12
chr19	45510721	45511059	Poll	49471	1.08403642535993	2.12891537362444	-3.38779694091429	1.58253785497815e-11	more accessible in liver	0.798330890263191	0.18195102839323	0.616379861869961	0.000495092438219305	3
chr19	55085110	55086342	Gpam	13108	1.39908107488075	2.44189469387579	-3.52156858539045	1.82953760059346e-42	more accessible in liver	0.872950386143387	0.168842957784694	0.704107428358693	0.00120350190624425	11
chr19	36511367	36511776	Hectd2	42862	1.22947412965115	2.10055865692607	-2.95304927353235	3.44779797926864e-12	not differential	0.849121666364302	0.220382760944296	0.628738905420006	0.000374753148786997	4
chr18	43394717	43394945	Dpysl3	43340	1.87877854327278	0.802245303015043	3.09086727960922	0.000345724266728932	more accessible in kidney	0.0489332305121779	0.55113088485536	-0.502197654343182	0.000787753289837876	1
chr18	61305353	61305616	Pde6a	84870	1.21345201184511	2.19574167147051	-3.32182741470764	1.38687998134276e-10	more accessible in liver	0.708202183041818	0.162590632755106	0.545611550286711	0.000459740073557777	4
chr19	6660021	6660906	Slc22a12	117001	1.37951192502963	2.79382955781712	-4.75852120194855	4.57600867810771e-77	more accessible in liver	0.847922063949584	0.229450036641794	0.61847202730779	0.000482342168386913	12
chr18	80178323	80178953	Rbfa	21704	1.35734122405257	2.27626577138626	-3.12052962173914	8.20790907364306e-23	more accessible in liver	0.878089754788319	0.240729279226297	0.637360475562022	0.000843269878068729	12
chr19	10172742	10174064	Fads1	8823	1.43710162662994	2.74185453494464	-4.38061781363858	1.76066851828549e-81	more accessible in liver	0.840609825792748	0.257183010749084	0.583426815043664	0.000934672097569812	12
chr19	10661163	10662273	Pga5	15797	1.63851551582602	3.19638425888576	-5.15588959001701	3.56168988817994e-93	more accessible in liver	0.829032352616708	0.20339985794031	0.625632494676398	0.0012331319474109	10
chr18	15291296	15292386	Aqp4	111297	1.12288162125656	2.11818497385185	-3.29919506865077	3.42977351389995e-22	more accessible in liver	0.861676756891282	0.21198943483468	0.649687322056603	0.00044311099454698	5
chr19	29835404	29835932	Ranbp6	22429	2.06089852820181	0.846796674097154	3.28631195237159	1.66097837792195e-10	more accessible in kidney	0.0957427182666581	0.592389081759419	-0.496646363492761	0.000529405056061488	3
chr19	53964863	53965688	Bbip1	20235	1.46644294246328	2.63784659480279	-3.94642128601	3.58024589890051e-44	more accessible in liver	0.906081760797974	0.232798312692007	0.673283448105967	0.000427239922750905	10
chr19	57112613	57113044	Afap1l2	104384	1.40009523983424	1.9770404072951	-2.03893114380002	7.54698362123338e-07	not differential	0.767177731379485	0.103158229007881	0.664019502371604	0.00125446252849285	7
chr18	84884435	84885688	Cyb5a	33096	1.84565619384935	3.63711942969453	-5.80520928729275	8.58633819915036e-99	more accessible in liver	0.816508221167302	0.199576011941903	0.616932209225399	0.00125472785996104	13
chr18	54178464	54178781	Csnk1g3	316350	1.81548914329853	1.24232168907812	1.76928264316091	0.00426100095090016	not differential	0.154159378270778	0.64658685251645	-0.492427474245672	0.000723198465812875	4
chr19	22635265	22635931	Trpm3	496145	1.8466343052059	1.0765156434396	2.37844992161502	4.05748118392213e-07	not differential	0.144548093773405	0.636096106505012	-0.491548012731607	0.000550636478994546	12
chr18	69946731	69947029	Ccdc68	21304	1.32505257595918	2.04599783209231	-2.5218895468458	3.43261635544747e-07	not differential	0.680029021653998	0.164217587690622	0.515811433963376	0.000381746205959494	4
chr18	39322623	39322878	Nr3c1	168422	1.00029535441077	1.96654552723193	-2.89840434719837	5.74305910494147e-06	not differential	0.887016567210007	0.209737886382623	0.677278680827384	0.000374753148786997	1
chr18	12258237	12258796	Npc1	21836	1.43413991200015	2.79426040196883	-4.54509558434061	2.53686670092285e-59	more accessible in liver	0.612700118960406	0.0948778559125699	0.517822263047837	0.0012682626141898	7
