chr	start	end	interval_id	num_peaks	num_samples	kidney_14_5_REP1.mLb.clN.bool	kidney_14_5_REP2.mLb.clN.bool	kidney_15_5_REP1.mLb.clN.bool	kidney_15_5_REP2.mLb.clN.bool	liver_14_5_REP1.mLb.clN.bool	liver_14_5_REP2.mLb.clN.bool	liver_15_5_REP1.mLb.clN.bool	liver_15_5_REP2.mLb.clN.bool	kidney_14_5_REP1.mLb.clN.fc	kidney_14_5_REP2.mLb.clN.fc	kidney_15_5_REP1.mLb.clN.fc	kidney_15_5_REP2.mLb.clN.fc	liver_14_5_REP1.mLb.clN.fc	liver_14_5_REP2.mLb.clN.fc	liver_15_5_REP1.mLb.clN.fc	liver_15_5_REP2.mLb.clN.fc	kidney_14_5_REP1.mLb.clN.qval	kidney_14_5_REP2.mLb.clN.qval	kidney_15_5_REP1.mLb.clN.qval	kidney_15_5_REP2.mLb.clN.qval	liver_14_5_REP1.mLb.clN.qval	liver_14_5_REP2.mLb.clN.qval	liver_15_5_REP1.mLb.clN.qval	liver_15_5_REP2.mLb.clN.qval	kidney_14_5_REP1.mLb.clN.pval	kidney_14_5_REP2.mLb.clN.pval	kidney_15_5_REP1.mLb.clN.pval	kidney_15_5_REP2.mLb.clN.pval	liver_14_5_REP1.mLb.clN.pval	liver_14_5_REP2.mLb.clN.pval	liver_15_5_REP1.mLb.clN.pval	liver_15_5_REP2.mLb.clN.pval	kidney_14_5_REP1.mLb.clN.start	kidney_14_5_REP2.mLb.clN.start	kidney_15_5_REP1.mLb.clN.start	kidney_15_5_REP2.mLb.clN.start	liver_14_5_REP1.mLb.clN.start	liver_14_5_REP2.mLb.clN.start	liver_15_5_REP1.mLb.clN.start	liver_15_5_REP2.mLb.clN.start	kidney_14_5_REP1.mLb.clN.end	kidney_14_5_REP2.mLb.clN.end	kidney_15_5_REP1.mLb.clN.end	kidney_15_5_REP2.mLb.clN.end	liver_14_5_REP1.mLb.clN.end	liver_14_5_REP2.mLb.clN.end	liver_15_5_REP1.mLb.clN.end	liver_15_5_REP2.mLb.clN.end	kidney_14_5_REP1.mLb.clN.summit	kidney_14_5_REP2.mLb.clN.summit	kidney_15_5_REP1.mLb.clN.summit	kidney_15_5_REP2.mLb.clN.summit	liver_14_5_REP1.mLb.clN.summit	liver_14_5_REP2.mLb.clN.summit	liver_15_5_REP1.mLb.clN.summit	liver_15_5_REP2.mLb.clN.summit
chr18	3499099	3499483	Interval_11	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.10124	NA	NA	NA	NA	NA	NA	NA	3.19026	NA	NA	NA	NA	NA	NA	NA	5.30093	NA	NA	NA	NA	NA	NA	NA	3499099	NA	NA	NA	NA	NA	NA	NA	3499483	NA	NA	NA	NA	NA	NA	NA	122	NA	NA	NA	NA	NA	NA
chr18	3507153	3508400	Interval_12	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8.78299	12.2097	12.3703	12.2482	19.2157	17.2466	18.871	16.9526	52.669	181.802	174.198	163.3	169.761	417.414	247.202	159.307	56.8774	186.819	179.244	167.86	173.814	421.051	250.851	163.059	3507254	3507153	3507190	3507194	3507463	3507350	3507350	3507350	3508273	3508397	3508400	3508387	3508273	3508315	3508332	3508273	507	691	653	649	381	493	493	494
chr18	3561226	3561549	Interval_13	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.30743	NA	NA	NA	NA	NA	NA	NA	2.79493	NA	NA	NA	NA	NA	NA	NA	4.89656	NA	NA	NA	NA	NA	NA	NA	3561226	NA	NA	NA	NA	NA	NA	NA	3561549	NA	NA	NA	NA	NA	NA	NA	254	NA	NA	NA	NA
chr18	3616054	3617264	Interval_14	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.80117	9.32284	8.15412	12.4899	NA	NA	NA	NA	8.82898	31.3991	29.216	57.149	NA	NA	NA	NA	11.6209	34.3491	32.2068	60.4691	NA	NA	NA	NA	3616174	3616197	3616054	3616169	NA	NA	NA	NA	3616860	3616862	3617264	3617063	NA	NA	NA	NA	404	284	549	355	NA	NA	NA	NA
chr18	3653071	3653877	Interval_15	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	5.78493	6.09205	NA	NA	NA	NA	NA	NA	9.83817	12.0526	NA	NA	NA	NA	NA	NA	12.3643	14.5983	NA	NA	NA	NA	NA	NA	3653071	3653100	NA	NA	NA	NA	NA	NA	3653485	3653877	NA	NA	NA	NA	NA	NA	341	324	NA	NA	NA	NA
chr18	3666185	3667785	Interval_16	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6.4288	5.63893	5.70611	5.28298	5.48268	5.40874	6.16472	5.67398	13.6046	17.5997	16.1802	14.9867	7.40774	14.9137	15.214	8.19996	16.6002	20.2754	18.9005	17.6124	9.92978	17.2438	17.6898	10.6326	3666357	3666256	3666269	3666269	3666270	3666185	3666185	3666249	3666780	3667785	3667321	3667528	3666711	3667552	3666885	3666720	275	353	378	448	293	218	183	289
chr18	3765087	3765600	Interval_17	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.5301	NA	NA	NA	NA	NA	NA	NA	3.55386	NA	NA	NA	NA	NA	NA	NA	5.75399	NA	NA	NA	NA	NA	NA	NA	3765087	NA	NA	NA	NA	NA	NA	NA	3765600	NA	NA	NA	NA	NA	NA	NA	81	NA	NA	NA	NA	NA
chr18	3806312	3807492	Interval_18	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	6.47355	5.587	7.57893	NA	NA	NA	NA	NA	14.111	11.3054	20.2354	NA	NA	NA	NA	NA	16.6995	13.8834	22.9831	NA	NA	NA	NA	NA	3806312	3806378	3806371	NA	NA	NA	NA	NA	3806790	3807492	3806894	NA	NA	NA	NA	NA	225	160	259	NA	NA	NA	NA
chr18	3839467	3840285	Interval_19	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	4.28201	5.30117	4.71614	5.4472	8.99871	10.6364	14.2905	9.94451	5.14589	12.8849	9.29475	13.6247	18.5215	50.752	64.1925	29.0009	7.7264	15.4389	11.8005	16.2144	21.2796	53.3482	67.0751	31.7593	3839586	3839494	3839581	3839625	3839613	3839576	3839467	3839570	3839994	3840007	3840060	3840013	3840088	3840285	3840097	3840261	213	304	229	221	291	288	438	355
chr18	3840731	3841237	Interval_20	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.42931	4.65107	3.071	NA	NA	NA	NA	NA	8.65349	9.13722	3.46493	NA	NA	NA	NA	NA	11.0689	11.6367	5.62646	NA	NA	NA	NA	NA	3840739	3840731	3840736	NA	NA	NA	NA	NA	3841045	3841156	3841237	NA	NA	NA	NA	NA	131	64	41	NA	NA	NA	NA
chr18	3867440	3868055	Interval_21	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.40932	NA	4.29953	NA	NA	NA	NA	NA	5.40706	NA	6.30375	NA	NA	NA	NA	NA	7.67427	NA	8.64008	NA	NA	NA	NA	NA	3867440	NA	3867524	NA	NA	NA	NA	NA	3867829	NA	3868055	NA	NA	NA	NA	NA	103	NA	167	NA	NA	NA	NA
chr18	3893193	3893880	Interval_22	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	4.03285	5.21493	NA	NA	NA	NA	NA	NA	4.43243	9.12157	NA	NA	NA	NA	NA	NA	6.70043	11.573	NA	NA	NA	NA	NA	NA	3893193	3893317	NA	NA	NA	NA	NA	NA	3893727	3893880	NA	NA	NA	NA	NA	NA	262	336	NA	NA	NA	NA
chr18	3933873	3934122	Interval_23	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.49514	NA	NA	NA	NA	NA	NA	NA	3.07299	NA	NA	NA	NA	NA	NA	NA	5.23484	NA	NA	NA	NA	NA	NA	NA	3933873	NA	NA	NA	NA	NA	NA	NA	3934122	NA	NA	NA	NA	NA	NA	NA	153	NA	NA	NA	NA	NA
chr18	3945329	3945837	Interval_24	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	4.66124	NA	NA	NA	NA	NA	NA	NA	5.84994	NA	NA	NA	NA	NA	NA	NA	8.13363	NA	NA	NA	NA	NA	NA	NA	3945329	NA	NA	NA	NA	NA	NA	NA	3945837	NA	NA	NA	NA	NA	NA	NA	300	NA
chr18	3953964	3954374	Interval_25	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	4.36992	NA	NA	NA	NA	NA	NA	NA	5.05428	NA	NA	NA	NA	NA	NA	NA	7.31116	NA	NA	NA	NA	NA	NA	NA	3953964	NA	NA	NA	NA	NA	NA	NA	3954374	NA	NA	NA	NA	NA	NA	NA	214	NA
chr18	3989839	3990212	Interval_26	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	4.42209	NA	NA	NA	NA	NA	NA	NA	5.97549	NA	NA	NA	NA	NA	NA	NA	8.29436	NA	NA	NA	NA	NA	NA	NA	3989839	NA	NA	NA	NA	NA	NA	NA	3990212	NA	NA	NA	NA	NA	NA	NA	235	NA	NA	NA	NA
chr18	4002487	4003684	Interval_27	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	6.2962	4.30171	5.41938	NA	NA	NA	NA	NA	11.6683	5.16141	9.18011	NA	NA	NA	NA	NA	14.1866	7.47509	11.6336	NA	NA	NA	NA	NA	4002487	4002831	4002732	NA	NA	NA	NA	NA	4003158	4003085	4003684	NA	NA	NA	NA	NA	510	158	277	NA	NA	NA	NA
chr18	4020464	4020796	Interval_28	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.04536	NA	NA	NA	NA	NA	NA	NA	2.04498	NA	NA	NA	NA	NA	NA	NA	4.04453	NA	NA	NA	NA	NA	NA	NA	4020464	NA	NA	NA	NA	NA	NA	NA	4020796	NA	NA	NA	NA	NA	NA	NA	49	NA	NA	NA	NA	NA	NA
chr18	4043811	4044083	Interval_29	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.22628	NA	NA	NA	NA	NA	NA	NA	2.44826	NA	NA	NA	NA	NA	NA	NA	4.54769	NA	NA	NA	NA	NA	NA	NA	4043811	NA	NA	NA	NA	NA	NA	NA	4044083	NA	NA	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	NA
chr18	4066437	4066850	Interval_30	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.22628	NA	NA	NA	NA	NA	NA	NA	2.44826	NA	NA	NA	NA	NA	NA	NA	4.54769	NA	NA	NA	NA	NA	NA	NA	4066437	NA	NA	NA	NA	NA	NA	NA	4066850	NA	NA	NA	NA	NA	NA	NA	335	NA	NA	NA	NA	NA
chr18	4075215	4075498	Interval_31	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.49514	NA	NA	NA	NA	NA	NA	NA	3.07299	NA	NA	NA	NA	NA	NA	NA	5.23484	NA	NA	NA	NA	NA	NA	NA	4075215	NA	NA	NA	NA	NA	NA	NA	4075498	NA	NA	NA	NA	NA	NA	NA	74	NA	NA	NA	NA	NA
chr18	4088034	4088349	Interval_32	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.6054	NA	NA	NA	NA	NA	NA	NA	3.46993	NA	NA	NA	NA	NA	NA	NA	5.66329	NA	NA	NA	NA	NA	NA	NA	4088034	NA	NA	NA	NA	NA	NA	NA	4088349	NA	NA	NA	NA	NA	NA	NA	122	NA	NA	NA	NA	NA
chr18	4095910	4096297	Interval_33	2	2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	2.83228	3.2274	NA	NA	NA	NA	NA	NA	2.17001	3.38917	NA	NA	NA	NA	NA	NA	4.18193	5.57615	NA	NA	NA	NA	NA	NA	4095955	4095910	NA	NA	NA	NA	NA	NA	4096297	4096206	NA	NA	NA	NA	NA	NA	116	227	NA	NA	NA	NA	NA
chr18	4100166	4100440	Interval_34	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	2.84851	NA	NA	NA	NA	NA	NA	NA	2.1917	NA	NA	NA	NA	NA	NA	NA	4.21433	NA	NA	NA	NA	NA	NA	NA	4100166	NA	NA	NA	NA	NA	NA	NA	4100440	NA	NA	NA	NA	NA	NA	NA	169	NA	NA	NA	NA
chr18	4128007	4128511	Interval_35	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.46951	NA	3.97219	NA	NA	NA	NA	NA	6.08434	NA	5.37191	NA	NA	NA	NA	NA	8.38748	NA	7.65869	NA	NA	NA	NA	NA	4128007	NA	4128060	NA	NA	NA	NA	NA	4128511	NA	4128469	NA	NA	NA	NA	NA	235	NA	70	NA	NA	NA	NA
chr18	4136907	4138061	Interval_36	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.15948	NA	5.34124	NA	NA	NA	NA	NA	3.4917	NA	11.8884	NA	NA	NA	NA	NA	5.63213	NA	14.4292	NA	NA	NA	NA	NA	4137065	NA	4136907	NA	NA	NA	NA	NA	4137836	NA	4138061	NA	NA	NA	NA	NA	110	NA	794	NA	NA	NA	NA
chr18	4176954	4178118	Interval_37	5	5	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	3.98659	3.60993	4.39541	NA	3.80428	4.36992	NA	NA	4.90854	3.91492	6.21103	NA	5.14777	5.05428	NA	NA	7.14847	6.14553	8.5417	NA	7.29678	7.31116	NA	NA	4176954	4177782	4177355	NA	4177460	4177752	NA	NA	4178008	4178118	4178098	NA	4177920	4178046	NA	NA	564	204	524	NA	370	121	NA
chr18	4186234	4187606	Interval_38	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.50116	6.01657	7.13644	7.31565	NA	NA	NA	NA	9.35724	19.1782	23.314	26.7686	NA	NA	NA	NA	12.1738	21.8902	26.1935	29.6394	NA	NA	NA	NA	4186693	4186234	4186550	4186425	NA	NA	NA	NA	4187321	4187569	4187403	4187606	NA	NA	NA	NA	271	711	396	605	NA	NA	NA	NA
chr18	4193198	4194687	Interval_39	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.5015	6.88688	5.85103	7.5325	NA	NA	NA	NA	7.2511	15.8805	11.4949	16.7691	NA	NA	NA	NA	9.96282	18.5143	14.0797	19.4368	NA	NA	NA	NA	4193923	4193198	4193743	4193662	NA	NA	NA	NA	4194601	4194657	4194687	4194657	NA	NA	NA	NA	182	1278	774	860	NA	NA	NA	NA
chr18	4219743	4220147	Interval_40	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	4.83394	NA	NA	NA	NA	NA	NA	NA	7.04775	NA	NA	NA	NA	NA	NA	NA	9.41758	NA	NA	NA	NA	NA	NA	NA	4219743	NA	NA	NA	NA	NA	NA	NA	4220147	NA	NA	NA	NA	NA	NA	NA	115	NA	NA	NA	NA
chr18	4232799	4233479	Interval_41	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3.45813	5.5941	5.93335	6.41382	NA	NA	NA	NA	2.7871	10.6446	14.0348	15.6616	NA	NA	NA	NA	5.16861	13.1303	16.6973	18.3039	NA	NA	NA	NA	4232954	4232805	4232990	4232799	NA	NA	NA	NA	4233148	4233366	4233479	4233308	NA	NA	NA	NA	90	256	122	199	NA	NA	NA	NA
chr18	4238952	4239396	Interval_42	3	3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	6.80766	4.48897	3.79388	NA	NA	NA	NA	NA	17.3441	5.54779	2.83826	NA	NA	NA	NA	NA	19.7032	7.82052	5.06395	NA	NA	NA	NA	NA	4238952	4239052	4239001	NA	NA	NA	NA	NA	4239314	4239386	4239396	NA	NA	NA	NA	NA	152	175	27
chr18	4249673	4250772	Interval_43	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4.06954	4.14774	2.76453	4.70299	NA	NA	NA	NA	4.25116	5.47469	1.72655	7.41975	NA	NA	NA	NA	6.76776	7.74699	3.7195	9.80507	NA	NA	NA	NA	4249723	4249673	4250424	4250154	NA	NA	NA	NA	4250547	4250406	4250772	4250597	NA	NA	NA	NA	60	106	132	138	NA	NA	NA	NA
chr18	4265996	4266662	Interval_44	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	4.30009	4.60519	5.53523	5.10963	NA	NA	NA	NA	3.48081	8.01301	8.39942	5.60651	NA	NA	NA	NA	5.85641	10.2355	10.7504	7.96139	NA	NA	NA	NA	4266167	4266148	4265996	4266124	NA	NA	NA	NA	4266472	4266537	4266662	4266548	NA	NA	NA	NA	137	84	156	154
chr18	4276760	4277112	Interval_45	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	3.93916	NA	NA	NA	NA	NA	NA	NA	3.05055	NA	NA	NA	NA	NA	NA	NA	5.29216	NA	NA	NA	NA	NA	NA	NA	4276760	NA	NA	NA	NA	NA	NA	NA	4277112	NA	NA	NA	NA	NA	NA	NA	32
chr18	4313736	4314251	Interval_46	3	3	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	3.30743	NA	4.00451	7.03872	NA	NA	NA	NA	2.79493	NA	5.83222	13.6331	NA	NA	NA	NA	4.89656	NA	8.00131	16.0831	NA	NA	NA	NA	4313973	NA	4313736	4313797	NA	NA	NA	NA	4314202	NA	4314251	4314208	NA	NA	NA	NA	88	NA	374	266	NA
chr18	4330783	4331077	Interval_47	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.69885	NA	NA	NA	NA	NA	NA	NA	6.20611	NA	NA	NA	NA	NA	NA	NA	8.51518	NA	NA	NA	NA	NA	NA	NA	4330783	NA	NA	NA	NA	NA	NA	NA	4331077	NA	NA	NA	NA	NA	NA	NA	135	NA	NA	NA	NA	NA	NA
chr18	4336508	4337270	Interval_48	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.9467	4.22848	4.95214	NA	NA	NA	NA	NA	4.83307	5.30214	9.90592	NA	NA	NA	NA	NA	7.06912	7.62292	12.3844	NA	NA	NA	NA	NA	4336655	4336510	4336508	NA	NA	NA	NA	NA	4336904	4336803	4337270	NA	NA	NA	NA	NA	108	202	192	NA	NA	NA	NA
chr18	4352776	4353668	Interval_49	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	8.4519	7.34914	8.96914	8.60731	7.76752	8.18216	9.49785	7.72286	24.3285	30.7289	43.1585	43.5648	14.2935	35.0816	42.0093	19.1857	27.6836	33.6673	46.3911	46.7047	16.98	37.5871	44.7529	21.8224	4352826	4352776	4352780	4352815	4352876	4352823	4352858	4352888	4353532	4353668	4353545	4353571	4353353	4353513	4353556	4353531	184	230	210	189	127	236	191	116
chr18	4363759	4364252	Interval_50	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.71542	4.36332	NA	NA	NA	NA	NA	NA	4.11006	5.86497	NA	NA	NA	NA	NA	NA	6.35433	8.17835	NA	NA	NA	NA	NA	NA	4363759	4363803	NA	NA	NA	NA	NA	NA	4364252	4364102	NA	NA	NA	NA	NA	NA	178	33	NA	NA	NA	NA
chr18	4369170	4369872	Interval_51	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	4.53817	NA	NA	NA	NA	NA	NA	NA	9.4184	NA	NA	NA	NA	NA	NA	NA	11.6673	NA	NA	NA	NA	NA	NA	NA	4369170	NA	NA	NA	NA	NA	NA	NA	4369872	NA	NA	NA	NA	NA	NA	NA	618	NA	NA
