# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "6" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "liver_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP2.mLb.clN.sorted.bam" "kidney_14_5_REP1.mLb.clN.sorted.bam" "liver_15_5_REP1.mLb.clN.sorted.bam" "kidney_15_5_REP1.mLb.clN.sorted.bam" "kidney_14_5_REP2.mLb.clN.sorted.bam" "kidney_15_5_REP2.mLb.clN.sorted.bam" "liver_14_5_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	liver_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP2.mLb.clN.sorted.bam	kidney_14_5_REP1.mLb.clN.sorted.bam	liver_15_5_REP1.mLb.clN.sorted.bam	kidney_15_5_REP1.mLb.clN.sorted.bam	kidney_14_5_REP2.mLb.clN.sorted.bam	kidney_15_5_REP2.mLb.clN.sorted.bam	liver_14_5_REP2.mLb.clN.sorted.bam
Interval_132	chr18	5591185	5593359	+	2175	168	209	172	316	274	325	268	659
Interval_133	chr18	5603477	5604375	+	899	30	39	21	37	16	20	17	78
Interval_134	chr18	5624288	5625589	+	1302	63	52	14	119	23	21	16	235
Interval_135	chr18	5647576	5647924	+	349	3	7	15	8	13	13	10	10
Interval_136	chr18	5648112	5648376	+	265	4	4	4	7	3	3	2	14
Interval_137	chr18	5653783	5654002	+	220	12	2	3	7	2	4	9	4
Interval_138	chr18	5679707	5680734	+	1028	17	28	10	47	20	16	10	77
Interval_139	chr18	5759079	5759563	+	485	13	14	10	19	13	9	13	54
Interval_140	chr18	5804093	5805109	+	1017	27	42	10	32	20	21	17	88
Interval_141	chr18	5808968	5809741	+	774	15	12	48	10	96	107	118	14
Interval_142	chr18	5819366	5820567	+	1202	144	140	225	247	363	392	361	605
Interval_143	chr18	5820859	5821205	+	347	27	22	3	25	13	15	16	80
Interval_144	chr18	5829613	5829996	+	384	3	4	14	7	10	23	10	10
Interval_145	chr18	5832892	5833387	+	496	12	13	7	25	19	14	12	30
Interval_146	chr18	5835599	5836211	+	613	4	5	24	7	40	44	48	10
Interval_147	chr18	5860605	5860997	+	393	2	5	4	3	14	23	12	7
Interval_148	chr18	5886381	5886615	+	235	1	1	3	7	9	17	14	9
Interval_149	chr18	5908026	5909024	+	999	70	84	13	132	28	24	29	258
Interval_150	chr18	5914612	5915423	+	812	83	52	11	90	12	11	21	234
Interval_151	chr18	5920156	5920492	+	337	11	22	9	25	6	4	4	45
Interval_152	chr18	5931961	5932888	+	928	15	18	39	32	41	42	57	35
Interval_153	chr18	5945128	5945793	+	666	10	6	20	26	18	23	39	17
Interval_154	chr18	5971469	5972181	+	713	5	7	37	10	45	46	37	14
Interval_155	chr18	5984951	5985375	+	425	68	77	8	113	12	12	14	236
Interval_156	chr18	5989508	5990453	+	946	443	492	256	748	458	507	493	1302
Interval_157	chr18	6016000	6016424	+	425	6	5	13	6	22	33	21	5
Interval_158	chr18	6055418	6056056	+	639	4	11	35	14	33	49	39	39
Interval_159	chr18	6080329	6080705	+	377	3	1	7	4	13	15	22	3
Interval_160	chr18	6081730	6082476	+	747	16	17	15	29	12	16	18	54
Interval_161	chr18	6135297	6136839	+	1543	508	612	576	1028	763	852	756	2063
Interval_162	chr18	6240675	6241965	+	1291	277	280	194	427	275	340	334	872
Interval_163	chr18	6275257	6276234	+	978	38	60	19	146	25	23	36	147
Interval_164	chr18	6281290	6281653	+	364	7	17	10	23	28	15	16	30
Interval_165	chr18	6327374	6327700	+	327	3	1	13	6	6	9	9	8
Interval_166	chr18	6411132	6411612	+	481	10	11	17	16	13	16	10	34
Interval_167	chr18	6449098	6449409	+	312	10	8	6	20	6	8	13	12
Interval_168	chr18	6450442	6450941	+	500	8	8	20	18	32	22	47	29
Interval_169	chr18	6465037	6465383	+	347	6	10	14	14	18	14	22	17
Interval_170	chr18	6476102	6476511	+	410	14	17	14	15	8	11	19	48
Interval_171	chr18	6489791	6491347	+	1557	559	714	356	1235	540	637	599	2225
Interval_172	chr18	6501106	6501538	+	433	13	13	13	14	24	21	36	38
Interval_173	chr18	6515803	6516696	+	894	401	438	263	667	443	557	501	1226
Interval_174	chr18	6531239	6531851	+	613	11	17	23	23	27	44	29	31
Interval_175	chr18	6563860	6564323	+	464	7	2	7	4	15	4	5	7
Interval_176	chr18	6680041	6680415	+	375	13	2	7	3	11	6	12	10
Interval_177	chr18	6715726	6716072	+	347	6	6	8	12	8	3	13	19
Interval_178	chr18	6739337	6739794	+	458	13	12	2	21	4	7	4	66
Interval_179	chr18	6760584	6761141	+	558	110	162	13	235	19	17	27	470
Interval_180	chr18	6764671	6765787	+	1117	939	947	322	1611	648	764	720	2617
Interval_181	chr18	6778845	6779342	+	498	10	9	9	13	19	10	27	16
Interval_182	chr18	6780040	6780365	+	326	4	2	5	3	9	18	9	6
Interval_183	chr18	6787577	6787946	+	370	6	13	8	8	12	5	7	16
Interval_184	chr18	6794746	6795067	+	322	8	5	3	4	15	16	9	14
Interval_185	chr18	6805653	6805837	+	185	2	0	11	0	8	8	10	4
Interval_186	chr18	6806534	6807019	+	486	4	1	11	4	26	31	41	5
Interval_187	chr18	6807545	6807928	+	384	3	4	12	3	23	28	26	8
Interval_188	chr18	6880274	6880879	+	606	5	4	15	4	26	37	19	3
Interval_189	chr18	6989181	6989996	+	816	16	22	22	39	81	66	69	39
Interval_190	chr18	7001042	7002289	+	1248	33	18	104	34	179	227	198	67
Interval_191	chr18	7003569	7005209	+	1641	25	23	144	45	194	237	209	53
Interval_192	chr18	7045929	7046166	+	238	17	11	2	17	5	4	6	23
Interval_193	chr18	7113410	7114251	+	842	34	20	14	36	30	27	32	63
Interval_194	chr18	7132536	7133386	+	851	366	299	14	482	25	25	38	774
Interval_195	chr18	7146919	7147819	+	901	76	69	9	93	17	11	11	151
Interval_196	chr18	7157666	7157953	+	288	10	4	1	9	5	2	8	28
Interval_197	chr18	7178515	7179387	+	873	26	28	8	43	9	13	14	56
Interval_198	chr18	7203294	7203661	+	368	18	9	10	16	8	8	6	34
Interval_199	chr18	7297543	7298054	+	512	5	6	13	10	24	26	37	14
Interval_200	chr18	7439372	7439626	+	255	1	0	9	5	17	29	17	7
Interval_201	chr18	7458879	7459146	+	268	0	4	15	2	14	15	16	6
Interval_202	chr18	7502125	7503003	+	879	5	6	51	10	73	102	72	14
Interval_203	chr18	7504152	7504555	+	404	26	13	8	39	12	9	7	82
Interval_204	chr18	7510847	7511402	+	556	7	3	30	10	41	58	64	10
Interval_205	chr18	7511964	7512773	+	810	2	2	40	8	73	91	73	9
Interval_206	chr18	7565337	7565667	+	331	6	5	20	9	23	37	19	23
Interval_207	chr18	7572365	7572627	+	263	2	2	15	2	4	5	6	4
Interval_208	chr18	7608438	7608981	+	544	32	24	30	32	31	40	36	59
Interval_209	chr18	7614211	7614627	+	417	3	5	18	4	29	40	29	16
Interval_210	chr18	7626273	7627385	+	1113	639	639	290	1002	644	663	677	1972
Interval_211	chr18	7640255	7640624	+	370	5	3	15	1	22	23	13	11
Interval_212	chr18	7692854	7693609	+	756	35	27	72	56	142	206	170	82
Interval_213	chr18	7702162	7702502	+	341	8	9	24	7	26	28	26	17
Interval_214	chr18	7702740	7703027	+	288	3	5	16	5	5	19	5	3
Interval_215	chr18	7708107	7708387	+	281	4	7	10	7	17	25	25	9
Interval_216	chr18	7756227	7757221	+	995	14	11	39	12	32	50	62	35
Interval_217	chr18	7780129	7780690	+	562	2	3	8	8	18	22	35	7
Interval_218	chr18	7852113	7852541	+	429	9	2	7	6	15	10	10	7
Interval_219	chr18	7868460	7870091	+	1632	373	471	316	753	558	669	592	1497
Interval_220	chr18	7881687	7882292	+	606	9	14	4	17	15	14	16	36
Interval_221	chr18	7890884	7891380	+	497	14	25	5	19	15	20	12	53
Interval_222	chr18	7930080	7930876	+	797	12	8	29	22	47	43	40	45
Interval_223	chr18	7931400	7931714	+	315	5	1	8	3	18	19	17	18
Interval_224	chr18	7973600	7974025	+	426	2	1	14	0	16	17	26	4
Interval_225	chr18	7979691	7979969	+	279	1	1	6	4	16	23	28	5
Interval_226	chr18	7989986	7990945	+	960	2	6	54	8	65	120	89	7
Interval_227	chr18	8027038	8027425	+	388	2	5	9	8	16	31	23	10
Interval_228	chr18	8132984	8133314	+	331	10	9	1	18	5	7	5	45
Interval_229	chr18	8235982	8236451	+	470	5	4	20	8	18	17	18	14
Interval_230	chr18	8328245	8328888	+	644	3	5	10	4	24	36	19	6
Interval_231	chr18	8376764	8377160	+	397	10	10	14	15	25	18	26	19
Interval_232	chr18	8407333	8407588	+	256	1	0	8	4	4	8	16	2
Interval_233	chr18	8415315	8415578	+	264	4	2	6	5	14	11	6	7
Interval_234	chr18	8478262	8478485	+	224	2	2	11	4	15	22	21	9
Interval_235	chr18	8577614	8577909	+	296	1	1	3	1	13	4	6	5
Interval_236	chr18	8585866	8586094	+	229	0	3	5	4	4	12	8	6
Interval_237	chr18	8644555	8645539	+	985	6	4	17	11	25	51	24	12
Interval_238	chr18	8693615	8694607	+	993	60	56	46	90	92	88	112	189
Interval_239	chr18	8711333	8711637	+	305	0	3	6	0	11	9	18	7
Interval_240	chr18	8719686	8720355	+	670	11	11	5	28	10	8	7	26
Interval_241	chr18	8758514	8758742	+	229	10	9	5	21	17	19	21	16
Interval_242	chr18	8871121	8871369	+	249	0	2	5	3	10	23	12	8
Interval_243	chr18	8871404	8871768	+	365	3	4	8	4	17	24	21	17
Interval_244	chr18	8872281	8872751	+	471	0	3	20	3	30	37	33	3
Interval_245	chr18	8896367	8897198	+	832	3	3	20	6	47	37	52	13
Interval_246	chr18	8911411	8912191	+	781	5	17	32	16	61	67	71	27
Interval_247	chr18	8932494	8933138	+	645	2	6	28	10	54	40	61	9
Interval_248	chr18	8933202	8933545	+	344	1	4	14	3	31	38	28	5
Interval_249	chr18	8934885	8936058	+	1174	13	16	82	27	143	118	133	25
Interval_250	chr18	8966493	8967257	+	765	25	28	54	65	111	101	138	55
Interval_251	chr18	9001399	9001707	+	309	4	0	9	4	16	28	20	5
Interval_252	chr18	9027165	9027423	+	259	1	2	5	2	4	11	5	3
Interval_253	chr18	9147641	9147976	+	336	4	4	7	3	14	5	7	2
Interval_254	chr18	9211831	9214411	+	2581	97	125	371	134	670	808	669	226
Interval_255	chr18	9231217	9231521	+	305	2	8	4	2	10	7	8	11
Interval_256	chr18	9291941	9292483	+	543	4	2	3	5	26	27	29	8
Interval_257	chr18	9292895	9293439	+	545	6	8	6	5	11	5	31	5
Interval_258	chr18	9308011	9308382	+	372	9	5	13	16	12	15	12	23
Interval_259	chr18	9370010	9371395	+	1386	51	52	18	63	33	34	34	191
Interval_260	chr18	9375294	9375718	+	425	4	4	12	11	10	10	23	18
Interval_261	chr18	9405919	9406447	+	529	13	9	5	22	10	7	7	40
Interval_262	chr18	9418653	9419468	+	816	24	20	10	25	17	17	9	86
Interval_263	chr18	9437452	9437688	+	237	9	5	16	4	14	28	8	16
Interval_264	chr18	9439665	9440205	+	541	10	9	9	19	9	19	12	29
Interval_265	chr18	9449259	9450755	+	1497	592	629	402	1032	678	870	729	1738
Interval_266	chr18	9472377	9472697	+	321	1	5	10	7	11	18	13	13
Interval_267	chr18	9478629	9478848	+	220	2	3	3	6	11	10	17	9
Interval_268	chr18	9485453	9485832	+	380	10	16	10	50	17	11	15	50
Interval_269	chr18	9486034	9486373	+	340	12	31	7	45	8	11	14	29
Interval_270	chr18	9491010	9491614	+	605	44	49	15	71	25	18	36	69
Interval_271	chr18	9503273	9504770	+	1498	37	69	41	108	90	77	81	114
Interval_272	chr18	9505708	9505978	+	271	15	8	7	15	16	8	11	16
Interval_273	chr18	9554806	9555429	+	624	12	9	37	14	85	122	93	19
Interval_274	chr18	9640505	9640835	+	331	6	4	7	3	5	6	20	8
Interval_275	chr18	9707241	9708862	+	1622	26	30	125	49	214	258	193	57
Interval_276	chr18	9732544	9732808	+	265	0	4	3	5	10	10	16	9
Interval_277	chr18	9743108	9743942	+	835	12	7	55	16	79	119	81	22
Interval_278	chr18	9758107	9758555	+	449	1	6	9	6	17	26	14	8
Interval_279	chr18	9763989	9764548	+	560	4	4	25	4	33	45	35	4
Interval_280	chr18	9827435	9827973	+	539	3	4	4	8	12	26	23	6
Interval_281	chr18	9865545	9866363	+	819	6	11	29	13	32	44	41	24
Interval_282	chr18	9957643	9958746	+	1104	310	282	190	454	289	330	294	830
Interval_283	chr18	10029140	10030521	+	1382	541	704	176	1046	276	341	336	1760
Interval_284	chr18	10037742	10038554	+	813	100	113	12	210	12	11	21	435
Interval_285	chr18	10051843	10053109	+	1267	55	55	57	68	100	113	130	169
Interval_286	chr18	10062726	10062955	+	230	8	3	5	7	3	4	4	9
Interval_287	chr18	10092470	10093322	+	853	81	84	14	147	11	7	18	253
Interval_288	chr18	10102775	10103736	+	962	31	35	8	68	18	13	18	138
Interval_289	chr18	10163583	10164162	+	580	18	26	7	30	9	12	9	54
Interval_290	chr18	10173916	10174618	+	703	18	27	23	18	30	32	42	38
Interval_291	chr18	10181219	10182704	+	1486	532	632	369	1125	547	661	635	2042
Interval_292	chr18	10253743	10253995	+	253	4	1	6	5	19	19	17	7
Interval_293	chr18	10324517	10325914	+	1398	23	39	148	52	203	238	239	62
Interval_294	chr18	10343114	10343994	+	881	11	8	6	23	32	38	32	17
Interval_295	chr18	10348337	10348842	+	506	9	17	6	37	13	9	13	34
Interval_296	chr18	10358968	10359770	+	803	4	5	34	10	46	53	43	7
Interval_297	chr18	10382607	10383050	+	444	4	4	16	9	20	29	28	5
Interval_298	chr18	10393277	10393622	+	346	2	4	8	6	24	17	23	10
Interval_299	chr18	10413224	10414001	+	778	31	52	12	101	35	39	64	106
Interval_300	chr18	10418546	10418944	+	399	18	18	7	36	19	23	26	36
Interval_301	chr18	10427995	10428460	+	466	5	2	15	8	29	36	29	9
Interval_302	chr18	10429437	10429665	+	229	1	2	2	5	4	3	13	8
Interval_303	chr18	10445660	10445900	+	241	5	3	5	2	15	25	9	4
Interval_304	chr18	10452697	10452938	+	242	2	5	10	6	17	17	12	10
Interval_305	chr18	10461514	10462091	+	578	10	26	15	30	18	12	22	30
Interval_306	chr18	10474338	10474590	+	253	5	7	6	12	17	22	22	9
Interval_307	chr18	10503288	10503659	+	372	4	11	17	6	16	21	19	11
Interval_308	chr18	10523027	10523732	+	706	10	16	7	22	12	11	16	53
Interval_309	chr18	10531375	10531886	+	512	22	18	33	28	27	38	24	56
Interval_310	chr18	10532254	10533422	+	1169	40	42	42	73	54	63	74	136
Interval_311	chr18	10609288	10610703	+	1416	323	409	204	586	332	436	394	1168
Interval_312	chr18	10617488	10618513	+	1026	97	120	67	153	98	138	129	330
Interval_313	chr18	10654009	10654733	+	725	6	6	25	11	42	43	29	6
Interval_314	chr18	10666304	10666625	+	322	11	16	9	26	8	14	16	32
Interval_315	chr18	10683791	10684274	+	484	11	27	9	25	10	9	16	24
Interval_316	chr18	10706259	10707222	+	964	69	90	104	148	162	204	179	204
Interval_317	chr18	10725202	10726874	+	1673	310	362	217	547	407	499	446	1108
Interval_318	chr18	10826267	10827161	+	895	11	7	32	17	47	60	43	20
Interval_319	chr18	10839659	10840388	+	730	14	13	14	23	26	38	46	8
Interval_320	chr18	10846647	10847204	+	558	14	9	4	18	7	7	9	49
Interval_321	chr18	10849233	10849527	+	295	1	2	14	4	16	12	19	5
Interval_322	chr18	10885507	10886373	+	867	15	15	32	21	42	45	49	29
Interval_323	chr18	10903652	10904241	+	590	6	0	18	4	40	36	42	11
Interval_324	chr18	10905115	10905582	+	468	18	19	13	32	21	16	18	40
Interval_325	chr18	10914928	10915405	+	478	9	18	6	19	17	10	21	34
Interval_326	chr18	10920670	10921096	+	427	10	9	12	12	35	40	40	22
Interval_327	chr18	10935770	10936170	+	401	7	11	4	22	12	27	13	17
Interval_328	chr18	10976556	10977438	+	883	12	40	19	31	14	21	18	45
Interval_329	chr18	11035435	11035918	+	484	15	22	13	22	25	26	23	24
Interval_330	chr18	11044607	11044935	+	329	3	5	15	5	15	24	23	11
Interval_331	chr18	11049418	11049765	+	348	16	26	8	13	16	7	9	22
Interval_332	chr18	11051845	11053375	+	1531	88	111	148	161	186	253	202	228
Interval_333	chr18	11075855	11076048	+	194	0	1	10	1	7	4	4	2
Interval_334	chr18	11096549	11096910	+	362	3	3	6	2	12	19	14	7
Interval_335	chr18	11119011	11119521	+	511	5	5	21	6	18	23	20	10
Interval_336	chr18	11142553	11142809	+	257	2	1	13	0	16	25	19	2
