PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2619	chr18	70471780	70473392	+	0	NA	promoter-TSS (Stard6)	-promoter-TSS (Stard6)	-106	4930503L19Rik	4930503L19Rik	NM_172967			4930503L19Rik			NA
Interval_771	chr18	24052172	24052578	+	0	NA	Intergenic	Intergenic	-31562	Zfp24	Zfp24	NM_001357447			Zfp24			NA
Interval_5759	chr19	53020137	53020513	+	0	NA	intron (Xpnpep1, intron 3 of 20)	-intron (Xpnpep1, intron 2 of 19)	-9569	Mir6407	Mir6407	NR_105834			Mir6407			NA
Interval_4000	chr19	10524824	10526148	+	0	NA	promoter-TSS (Sdhaf2)	-promoter-TSS (Sdhaf2)	242	Cpsf7	Cpsf7	NM_172302			Cpsf7			NA
Interval_873	chr18	25898599	25898858	+	0	NA	Intergenic	Intergenic	-144571	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_1406	chr18	39885259	39885459	+	0	NA	Intergenic	Intergenic	111862	Pabpc2	Pabpc2	NM_011033			Pabpc2			NA
Interval_2079	chr18	60766931	60767362	+	0	NA	Intergenic	Intergenic	-7450	Rps14	Rps14	NM_020600			Rps14			NA
Interval_6249	chr19	60945930	60947163	+	0	NA	intron (Grk5, intron 1 of 15)	-intron (Grk5, intron 1 of 15)	56797	Grk5	Grk5	NM_018869			Grk5			NA
Interval_5124	chr19	40278081	40278767	+	0	NA	Intergenic	Intergenic	-6808	Pdlim1	Pdlim1	NM_016861			Pdlim1			NA
Interval_4521	chr19	24961310	24962252	+	0	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-165	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
Interval_5148	chr19	40544816	40545266	+	0	NA	Intergenic	Intergenic	-31305	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_681	chr18	21728491	21729354	+	0	NA	Intergenic	Intergenic	-73909	Klhl14	Klhl14	NM_001081403			Klhl14			NA
Interval_6153	chr19	58818863	58819169	+	0	NA	intron (Hspa12a, intron 6 of 11)	-intron (Hspa12a, intron 7 of 12)	-24602	1700019N19Rik	1700019N19Rik	NM_001368688			1700019N19Rik			NA
Interval_4006	chr19	10602686	10603117	+	0	NA	intron (Tkfc, intron 1 of 16)	-intron (Tkfc, intron 1 of 16)	1357	Tkfc	Tkfc	NM_145496			Tkfc			NA
Interval_463	chr18	13788702	13788985	+	0	NA	intron (Zfp521, intron 5 of 7)	-intron (Zfp521, intron 5 of 7)	183890	Zfp521	Zfp521	NM_001360804			Zfp521			NA
Interval_4537	chr19	25222030	25223090	+	0	NA	Intergenic	Intergenic	-14415	Kank1	Kank1	NM_181404			Kank1			NA
Interval_4828	chr19	32277446	32277721	+	0	NA	intron (Sgms1, intron 2 of 9)	-intron (Sgms1, intron 2 of 9)	110929	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_3569	chr19	4614741	4616266	+	0	NA	exon (Lrfn4, exon 1 of 3)	-exon (Lrfn4, exon 1 of 3)	164	Lrfn4	Lrfn4	NM_153388			Lrfn4			NA
Interval_1465	chr18	43151691	43152157	+	0	NA	Intergenic	Intergenic	-55773	Stk32a	Stk32a	NM_178749			Stk32a			NA
Interval_6198	chr19	59685666	59686640	+	0	NA	Intergenic	Intergenic	193017	2700089I24Rik	2700089I24Rik	NR_045308			2700089I24Rik			NA
Interval_1349	chr18	38881818	38882882	+	0	NA	intron (Fgf1, intron 1 of 3)	-intron (Fgf1, intron 1 of 3)	-10106	Gm5820	Gm5820	NM_001033789			Gm5820			NA
Interval_2552	chr18	69196514	69197580	+	0	NA	Intergenic	Intergenic	-147445	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_1352	chr18	38917930	38919380	+	0	NA	promoter-TSS (Fgf1)	-promoter-TSS (Fgf1)	44	Fgf1	Fgf1	NM_010197			Fgf1			NA
Interval_3151	chr18	81838971	81839764	+	0	NA	Intergenic	Intergenic	152713	Mir5127	Mir5127	NR_039589			Mir5127			NA
Interval_1026	chr18	33833500	33833764	+	0	NA	intron (Epb41l4a, intron 13 of 23)	-intron (Epb41l4a, intron 13 of 23)	38740	Epb41l4aos	Epb41l4aos	NR_038151			Epb41l4aos			NA
Interval_3518	chr19	4142266	4142501	+	0	NA	intron (Gpr152, intron 1 of 1)	-intron (Gpr152, intron 1 of 1)	2584	Gpr152	Gpr152	NM_206973			Gpr152			NA
Interval_1149	chr18	35671884	35672336	+	0	NA	exon (Dnajc18, exon 8 of 8)	-exon (Dnajc18, exon 8 of 8)	-9924	Spata24	Spata24	NM_027733			Spata24			NA
Interval_5068	chr19	37969921	37970738	+	0	NA	intron (Myof, intron 16 of 53)	-intron (Myof, intron 16 of 52)	73248	Myof	Myof	NM_001099634			Myof			NA
Interval_4889	chr19	33224333	33224518	+	0	NA	intron (Rnls, intron 4 of 6)	-intron (Rnls, intron 4 of 6)	67313	Mir3970	Mir3970	NR_039552			Mir3970			NA
Interval_5769	chr19	53087028	53087859	+	0	NA	Intergenic	Intergenic	11191	1700054A03Rik	1700054A03Rik	NR_045320			1700054A03Rik			NA
Interval_852	chr18	25558217	25558587	+	0	NA	intron (Celf4, intron 2 of 13)	-intron (Celf4, intron 2 of 12)	195755	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_6257	chr19	61152781	61153204	+	0	NA	Intergenic	Intergenic	-12152	Zfp950	Zfp950	NM_001001737			Zfp950			NA
Interval_340	chr18	11239330	11240426	+	0	NA	Intergenic	Intergenic	-187311	Gata6os	Gata6os	NR_105023			Gata6os			NA
Interval_4190	chr19	16372754	16373604	+	0	NA	intron (Gnaq, intron 5 of 6)	-intron (Gnaq, intron 5 of 6)	-58175	Mir496b	Mir496b	NR_105832			Mir496b			NA
Interval_555	chr18	16650256	16650609	+	0	NA	exon (Cdh2, exon 3 of 16)	-exon (Cdh2, exon 3 of 16)	158814	Cdh2	Cdh2	NM_007664			Cdh2			NA
Interval_5614	chr19	47222321	47222788	+	0	NA	intron (Neurl1a, intron 1 of 5)	-intron (Neurl1a, intron 1 of 5)	43734	Neurl1a	Neurl1a	NM_021360			Neurl1a			NA
Interval_4470	chr19	24159407	24159832	+	0	NA	intron (Tjp2, intron 1 of 22)	-intron (Tjp2, intron 1 of 22)	65509	Tjp2	Tjp2	NM_001376368			Tjp2			NA
Interval_2954	chr18	77732223	77733647	+	0	NA	intron (A330094K24Rik, intron 1 of 1)	-intron (A330094K24Rik, intron 1 of 1)	535	A330094K24Rik	A330094K24Rik	NR_155289			A330094K24Rik			NA
Interval_3674	chr19	5817806	5818699	+	0	NA	Intergenic	Intergenic	-15580	Malat1	Malat1	NR_002847			Malat1			NA
Interval_5363	chr19	44295709	44295995	+	0	NA	intron (Scd2, intron 2 of 5)	-intron (Scd2, intron 2 of 5)	2176	Scd2	Scd2	NM_009128			Scd2			NA
Interval_1209	chr18	36494931	36495403	+	0	NA	Intergenic	Intergenic	20638	Hbegf	Hbegf	NM_010415			Hbegf			NA
Interval_127	chr18	5414186	5415023	+	0	NA	Intergenic	Intergenic	-80165	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_118	chr18	5342541	5342941	+	0	NA	Intergenic	Intergenic	-8302	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_4138	chr19	14616924	14617256	+	0	NA	Intergenic	Intergenic	-18907	Tle4	Tle4	NM_001302947			Tle4			NA
Interval_2238	chr18	62992268	62992772	+	0	NA	intron (Napg, intron 9 of 11)	-intron (Napg, intron 9 of 11)	14604	Napg	Napg	NM_028017			Napg			NA
Interval_6079	chr19	57411443	57412330	+	0	NA	Intergenic	Intergenic	-41020	Trub1	Trub1	NM_028115			Trub1			NA
Interval_1196	chr18	36319897	36320670	+	0	NA	Intergenic	Intergenic	20182	Igip	Igip	NM_001267796			Igip			NA
Interval_4903	chr19	34220742	34221153	+	0	NA	intron (Stambpl1, intron 2 of 10)	-intron (Stambpl1, intron 2 of 10)	28718	Stambpl1	Stambpl1	NM_001360720			Stambpl1			NA
Interval_5511	chr19	46037081	46038023	+	0	NA	promoter-TSS (Ldb1)	-promoter-TSS (Ldb1)	2069	Ldb1	Ldb1	NM_001360336			Ldb1			NA
Interval_4445	chr19	23523768	23524071	+	0	NA	Intergenic	Intergenic	-75597	Mamdc2	Mamdc2	NM_174857			Mamdc2			NA
Interval_1640	chr18	47631260	47631626	+	0	NA	intron (Gm5095, intron 1 of 5)	-intron (Gm5095, intron 1 of 5)	93708	Gm5095	Gm5095	NR_033454			Gm5095			NA
Interval_3560	chr19	4498082	4498298	+	0	NA	intron (2010003K11Rik, intron 1 of 1)	-intron (2010003K11Rik, intron 1 of 1)	393	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
Interval_5679	chr19	48008818	48009732	+	0	NA	intron (Cfap58, intron 15 of 17)	-intron (Cfap58, intron 15 of 17)	71563	Cfap58	Cfap58	NM_001163267			Cfap58			NA
Interval_3559	chr19	4497233	4497985	+	0	NA	exon (2010003K11Rik, exon 2 of 2)	-exon (2010003K11Rik, exon 2 of 2)	974	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
Interval_4547	chr19	25352021	25352289	+	0	NA	intron (Kank1, intron 3 of 13)	-intron (Kank1, intron 3 of 12)	115180	Kank1	Kank1	NM_181404			Kank1			NA
Interval_2711	chr18	73865334	73865879	+	0	NA	intron (Mro, intron 2 of 7)	-intron (Mro, intron 3 of 8)	6221	Mro	Mro	NM_001305882			Mro			NA
Interval_548	chr18	16216814	16217075	+	0	NA	Intergenic	Intergenic	-456787	Chst9	Chst9	NM_199055			Chst9			NA
Interval_4059	chr19	11769486	11769837	+	0	NA	promoter-TSS (Mrpl16)	-promoter-TSS (Mrpl16)	-754	Mrpl16	Mrpl16	NM_025606			Mrpl16			NA
Interval_648	chr18	21205116	21205352	+	0	NA	intron (Garem1, intron 2 of 5)	-intron (Garem1, intron 2 of 5)	94905	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_2758	chr18	74666893	74667142	+	0	NA	intron (Myo5b, intron 14 of 38)	-intron (Myo5b, intron 14 of 38)	111438	Scarna17	Scarna17	NR_028560			Scarna17			NA
Interval_989	chr18	32484903	32485420	+	0	NA	Intergenic	Intergenic	-22662	Gm35060	Gm35060	NM_001370869			Gm35060			NA
Interval_3255	chr18	83495465	83495805	+	0	NA	Intergenic	Intergenic	-169751	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_5826	chr19	53579014	53579258	+	0	NA	Intergenic	Intergenic	-21260	Smc3	Smc3	NM_007790			Smc3			NA
Interval_4816	chr19	32212193	32213014	+	0	NA	intron (Sgms1, intron 5 of 9)	-intron (Sgms1, intron 5 of 9)	-109463	Asah2	Asah2	NM_018830			Asah2			NA
Interval_6152	chr19	58806594	58806939	+	0	NA	intron (Hspa12a, intron 7 of 11)	-intron (Hspa12a, intron 8 of 12)	-12352	1700019N19Rik	1700019N19Rik	NM_001368688			1700019N19Rik			NA
Interval_5243	chr19	41995159	41995415	+	0	NA	intron (Ubtd1, intron 1 of 2)	-intron (Ubtd1, intron 1 of 2)	13524	Ubtd1	Ubtd1	NM_145500			Ubtd1			NA
Interval_6071	chr19	57273389	57273674	+	0	NA	promoter-TSS (4930449E18Rik)	-promoter-TSS (4930449E18Rik)	-429	4930449E18Rik	4930449E18Rik	NR_045319			4930449E18Rik			NA
Interval_3742	chr19	6399363	6400557	+	0	NA	promoter-TSS (Rasgrp2)	-promoter-TSS (Rasgrp2)	-581	Rasgrp2	Rasgrp2	NM_001365063			Rasgrp2			NA
Interval_5437	chr19	45002447	45002726	+	0	NA	exon (Sema4g, exon 15 of 15)	-exon (Sema4g, exon 15 of 15)	3856	Mrpl43	Mrpl43	NM_053164			Mrpl43			NA
Interval_636	chr18	21132673	21133161	+	0	NA	intron (Garem1, intron 4 of 5)	-intron (Garem1, intron 4 of 5)	60573	Mep1b	Mep1b	NM_008586			Mep1b			NA
Interval_3086	chr18	80454764	80455292	+	0	NA	intron (Ctdp1, intron 5 of 12)	-intron (Ctdp1, intron 5 of 12)	14664	Ctdp1	Ctdp1	NM_026295			Ctdp1			NA
Interval_5357	chr19	44135328	44136429	+	0	NA	promoter-TSS (Cwf19l1)	-promoter-TSS (Cwf19l1)	-422	Cwf19l1	Cwf19l1	NM_001356578			Cwf19l1			NA
Interval_614	chr18	20696932	20697294	+	0	NA	intron (B4galt6, intron 5 of 8)	-intron (B4galt6, intron 5 of 8)	-31853	Gm16090	Gm16090	NR_155534			Gm16090			NA
Interval_4542	chr19	25311727	25312374	+	0	NA	intron (Kank1, intron 2 of 13)	-intron (Kank1, intron 2 of 12)	75075	Kank1	Kank1	NM_181404			Kank1			NA
Interval_12	chr18	3507154	3508400	+	0	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-180	Bambi	Bambi	NM_026505			Bambi			NA
Interval_1071	chr18	34446839	34447097	+	0	NA	intron (Fam13b, intron 17 of 20)	-intron (Fam13b, intron 17 of 20)	37545	Pkd2l2	Pkd2l2	NM_001163004			Pkd2l2			NA
Interval_4750	chr19	30187482	30187870	+	0	NA	Intergenic	Intergenic	-12235	Gldc	Gldc	NM_138595			Gldc			NA
Interval_553	chr18	16547567	16548088	+	0	NA	Intergenic	Intergenic	261419	Cdh2	Cdh2	NM_007664			Cdh2			NA
Interval_4446	chr19	23652640	23653317	+	0	NA	promoter-TSS (1700028P14Rik)	-promoter-TSS (1700028P14Rik)	-166	1700028P14Rik	1700028P14Rik	NM_026188			1700028P14Rik			NA
Interval_5727	chr19	50490701	50491210	+	0	NA	intron (Sorcs1, intron 1 of 25)	-intron (Sorcs1, intron 1 of 25)	187691	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_2796	chr18	75172313	75172549	+	0	NA	intron (Dym, intron 13 of 16)	-intron (Dym, intron 13 of 16)	124886	2010010A06Rik	2010010A06Rik	NR_045393			2010010A06Rik			NA
Interval_3841	chr19	7557179	7558229	+	0	NA	exon (Plaat3, exon 1 of 5)	-exon (Plaat3, exon 1 of 5)	245	Plaat3	Plaat3	NM_139269			Plaat3			NA
Interval_5402	chr19	44669477	44671004	+	0	NA	Intergenic	Intergenic	-86666	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_209	chr18	7614212	7614627	+	0	NA	intron (Mpp7, intron 1 of 12)	-intron (Mpp7, intron 1 of 16)	-6265	Mpp7	Mpp7	NM_001081287			Mpp7			NA
Interval_3508	chr19	4068486	4069236	+	0	NA	Intergenic	Intergenic	-9414	Gstp3	Gstp3	NM_001362043			Gstp3			NA
Interval_3793	chr19	7072211	7072756	+	0	NA	intron (Macrod1, intron 3 of 10)	-intron (Macrod1, intron 3 of 10)	15715	Macrod1	Macrod1	NM_134147			Macrod1			NA
Interval_65	chr18	4709746	4710154	+	0	NA	Intergenic	Intergenic	75021	Jcad	Jcad	NM_001081963			Jcad			NA
Interval_3167	chr18	82509154	82509424	+	0	NA	intron (Mbp, intron 2 of 6)	-intron (Mbp, intron 2 of 3)	34166	Mbp	Mbp	NM_001025245			Mbp			NA
Interval_1327	chr18	38578293	38578958	+	0	NA	Intergenic	Intergenic	22722	Spry4	Spry4	NM_011898			Spry4			NA
Interval_3808	chr19	7178841	7179237	+	0	NA	intron (Macrod1, intron 3 of 10)	-intron (Macrod1, intron 3 of 10)	27245	Otub1	Otub1	NM_134150			Otub1			NA
Interval_1826	chr18	54595265	54596010	+	0	NA	Intergenic	Intergenic	-16107	9330117O12Rik	9330117O12Rik	NR_045400			9330117O12Rik			NA
Interval_4682	chr19	29140770	29141263	+	0	NA	intron (Rcl1, intron 8 of 8)	-intron (Rcl1, intron 8 of 8)	5737	Mir101b	Mir101b	NR_029778			Mir101b			NA
Interval_5302	chr19	43384657	43384912	+	0	NA	exon (Hpse2, exon 2 of 12)	-exon (Hpse2, exon 2 of 12)	3571	Hpse2	Hpse2	NM_001081257			Hpse2			NA
Interval_4704	chr19	29482102	29482617	+	0	NA	Intergenic	Intergenic	39628	A930007I19Rik	A930007I19Rik	NR_015567			A930007I19Rik			NA
Interval_527	chr18	15312513	15313316	+	0	NA	Intergenic	Intergenic	90844	Aqp4	Aqp4	NM_001308645			Aqp4			NA
Interval_4341	chr19	20861662	20862189	+	0	NA	intron (Tmc1, intron 7 of 20)	-intron (Tmc1, intron 7 of 20)	92277	Tmc1	Tmc1	NM_028953			Tmc1			NA
Interval_6240	chr19	60811053	60812304	+	0	NA	intron (Fam45a, intron 1 of 8)	-intron (Fam45a, intron 1 of 8)	123	Fam45a	Fam45a	NM_026437			Fam45a			NA
Interval_4356	chr19	21167091	21167327	+	0	NA	Intergenic	Intergenic	62499	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_443	chr18	13221829	13222637	+	0	NA	Intergenic	Intergenic	215243	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_5631	chr19	47359006	47359402	+	0	NA	intron (Sh3pxd2a, intron 5 of 14)	-intron (Sh3pxd2a, intron 5 of 13)	-85615	Mir6995	Mir6995	NR_105961			Mir6995			NA
Interval_5042	chr19	37537824	37538253	+	0	NA	Intergenic	Intergenic	-12380	Exoc6	Exoc6	NM_175353			Exoc6			NA
Interval_807	chr18	24641032	24641317	+	0	NA	Intergenic	Intergenic	-12517	Mocos	Mocos	NM_026779			Mocos			NA
Interval_5673	chr19	47918564	47920118	+	0	NA	promoter-TSS (Itprip)	-promoter-TSS (Itprip)	-18	Itprip	Itprip	NM_001001738			Itprip			NA
Interval_5155	chr19	40611829	40612655	+	0	NA	promoter-TSS (Entpd1)	-promoter-TSS (Entpd1)	-11	Tctn3	Tctn3	NM_026260			Tctn3			NA
Interval_2124	chr18	61283224	61283532	+	0	NA	intron (Pde6a, intron 19 of 21)	-intron (Pde6a, intron 19 of 21)	62904	Pde6a	Pde6a	NM_146086			Pde6a			NA
Interval_599	chr18	20557786	20558665	+	0	NA	exon (Dsg2, exon 1 of 15)	-exon (Dsg2, exon 1 of 15)	151	Dsg2	Dsg2	NM_007883			Dsg2			NA
Interval_1736	chr18	52185038	52185383	+	0	NA	Intergenic	Intergenic	-61664	Mir28a	Mir28a	NR_029788			Mir28a			NA
Interval_4681	chr19	29135189	29135758	+	0	NA	TTS (Mir101b)	-TTS (Mir101b)	194	Mir101b	Mir101b	NR_029778			Mir101b			NA
Interval_1515	chr18	44555346	44556190	+	0	NA	intron (Mcc, intron 3 of 18)	-intron (Mcc, intron 3 of 18)	-105897	A930012L18Rik	A930012L18Rik	NR_026853			A930012L18Rik			NA
Interval_1006	chr18	33211125	33212405	+	0	NA	intron (Stard4, intron 1 of 5)	-intron (Stard4, intron 1 of 5)	2097	Stard4	Stard4	NM_133774			Stard4			NA
Interval_1392	chr18	39488975	39491942	+	0	NA	promoter-TSS (Nr3c1)	-promoter-TSS (Nr3c1)	-1179	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
Interval_4626	chr19	27884330	27884796	+	0	NA	intron (Rfx3, intron 2 of 16)	-intron (Rfx3, intron 4 of 18)	126603	Rfx3	Rfx3	NM_001360358			Rfx3			NA
