"X.1","Chromosome","Start","End","X","mean.mean.g1","mean.mean.g2","mean.mean.diff","mean.mean.quot.log2","comb.p.val","comb.p.adj.fdr","num.sites","mean.num.na.g1","mean.num.na.g2","mean.mean.covg.g1","mean.mean.covg.g2","mean.nsamples.covg.thresh.g1","mean.nsamples.covg.thresh.g2","combinedRank","Strand","name","value","overlap_kidney_Het","overlap_liver_Het","overlap_any_Het","overlap_both_Het","overlap_kidney_specific_ATAC","overlap_liver_specific_ATAC","overlap_any_differential_ATAC","DMR_direction"
35,"chr18",4095910,4096297,37,0.300861304085616,0.44995253693035,-0.149091232844734,-0.683924822402104,0.00376978671107672,0.0111855815256236,5,0,0,32.7,31.7,4,4,2854,"+","Interval_37",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
37,"chr18",4136907,4138061,40,0.131834286863232,0.40775032617916,-0.275916039315928,-1.60991898417947,0.00277084691240638,0.00898040837380654,8,0,0,27.8125,28.65625,4,4,1896,"+","Interval_40",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
38,"chr18",4176954,4178118,41,0.895777209434498,0.6041168261563,0.291660383278199,0.560643107755264,0.00021935188718923,0.00153871843239477,1,0,0,23,21.75,4,4,2895,"+","Interval_41",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
40,"chr18",4193943,4194767,43,0.188249342235097,0.502593086127069,-0.314343743891972,-1.47684715825013,0.000131827915137086,0.00110065562298559,3,0,0,27.8333333333333,31.3333333333333,4,4,1240,"+","Interval_43",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
42,"chr18",4232799,4233479,45,0.412783517019973,0.604322898480264,-0.191539381460291,-0.559379677537302,0.00319186084252385,0.00991606919985292,8,0,0,34.5,29.9375,4,4,2900,"+","Interval_45",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
43,"chr18",4238952,4239396,46,0.633191854844664,0.281963282388979,0.351228572455685,1.30120918534243,0.000788104085543289,0.00366957338074256,3,0,0,32.75,26.3333333333333,4,4,1319,"+","Interval_46",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
46,"chr18",4276760,4277112,49,0.865144961443687,0.561865690411655,0.303279271032032,0.619357505299557,3.03877177413101e-05,0.000497555582035266,2,0,0,35.375,40.375,4,4,2674,"+","Interval_49",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
49,"chr18",4336508,4337270,52,0.38575428735065,0.176158279308381,0.209596008042269,1.08521690621894,0.00655785830348086,0.0171700209948402,6,0,0,23.0416666666667,23.5833333333333,4,4,2347,"+","Interval_52",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
51,"chr18",4363731,4364252,54,0.27741614505439,0.521830396667124,-0.244414251612734,-1.13312588855206,0.00713062579351331,0.0182878528802752,4,0,0,34.6875,36.5,4,4,2396,"+","Interval_54",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
52,"chr18",4369170,4369872,55,0.363333944814319,0.150700111731879,0.212633833082441,1.41897319095594,0.00263951268585931,0.00865719281647546,6,0,0,38.2916666666667,36.7083333333333,4,4,2108,"+","Interval_55",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
57,"chr18",4549424,4550296,61,0.49443497059034,0.568348740455598,-0.0739137698652579,-0.330367015152102,0.0154533169876402,0.032943467944578,7,0,0,29.0357142857143,28.9642857142857,4,4,3896,"+","Interval_61",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
58,"chr18",4554480,4555584,62,0.645089772596566,0.158880421606731,0.486209350989835,1.9182480964815,6.65320509224952e-05,0.000768495212253258,2,0,0,26,21.875,4,4,532,"+","Interval_62",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
59,"chr18",4558757,4559294,63,0.227719906392265,0.406269380758244,-0.178549474365979,-0.823436988533849,0.00692421653663868,0.0178853764681146,7,0,0,23.8571428571429,27.25,4,4,2489,"+","Interval_63",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
61,"chr18",4595134,4595517,65,0.850508502688735,0.626952495974235,0.2235560067145,0.434003667561188,0.00059729301548269,0.00303554646647749,1,0,0,45.25,38.5,4,4,3393,"+","Interval_65",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
65,"chr18",4709745,4710154,70,0.0765605662480662,0.362787968357821,-0.286227402109755,-2.28868910659139,0.00224084895013056,0.00771861928169971,3,0,0,26.75,30,4,4,1784,"+","Interval_70",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
68,"chr18",4736409,4736718,73,0.558441558441558,0.817954545454545,-0.259512987012987,-0.542539533161339,0.00605431638552603,0.0161334666908315,1,0,0,30,32,4,4,2961,"+","Interval_73",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
69,"chr18",4757697,4758164,74,0.256113157067677,0.45866736838918,-0.202554211321503,-1.15387728238978,0.00293344087603309,0.00930614051792633,6,0,0,22.5,27.6666666666667,4,4,2213,"+","Interval_74",0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
70,"chr18",4775378,4775846,76,0.436952519932433,0.317470356279277,0.119482163653156,0.413962005613658,0.00251859286694963,0.00837486643257874,4,0,0,33.4375,35.375,4,4,3490,"+","Interval_76",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
73,"chr18",4804090,4804343,79,0.400983841980926,0.103716909627762,0.297266932353164,1.90903559367347,0.000834764289179543,0.00381668642634545,2,0,0,29.875,31.5,4,4,1370,"+","Interval_79",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
74,"chr18",4818109,4818351,80,0.440424228021877,0.525006605548444,-0.0845823775265675,-0.274890501195887,0.0128348498717813,0.0287109797750686,4,0,0,26.25,27.4375,4,4,4218,"+","Interval_80",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
75,"chr18",4839971,4840225,81,0.196681480788696,0.580682598382869,-0.384001117594174,-1.5865497128646,0.000424736302758806,0.00239449961509437,4,0,0,20.0625,19.125,4,4,1090,"+","Interval_81",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
78,"chr18",4862365,4862905,85,0.838454223329142,0.310675749670546,0.527778473658596,1.65546144211675,0.000223103675340109,0.00155642928518612,5,0,0,31.7,33.65,4,4,880,"+","Interval_85",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
80,"chr18",4869518,4870317,87,0.152865095293051,0.393484250840663,-0.240619155547612,-1.21616945846678,0.0041446328686461,0.012053369132906,7,0,0,28.6428571428571,29.3571428571429,4,4,2113,"+","Interval_87",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
82,"chr18",4937987,4938670,90,0.888185329249513,0.547180515770431,0.341004813479082,0.875389737121148,0.000346859505915949,0.00212578229613574,5,0,0,36.6,39.55,4,4,2006,"+","Interval_90",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
83,"chr18",4943731,4945163,91,0.694558892578315,0.172764407747078,0.521794484831237,2.26799117094661,5.13572914785089e-05,0.000658852935564587,7,0,0,29.4285714285714,29.5714285714286,4,4,479,"+","Interval_91",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
87,"chr18",4980347,4980980,95,0.232966083374104,0.716185468921067,-0.483219385546963,-1.79107531364222,0.000482559363354075,0.00263350558420141,8,0,0,26.15625,26.75,4,4,1126,"+","Interval_95",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
90,"chr18",4993681,4994947,98,0.306044660491058,0.596180221923582,-0.290135561432524,-1.1415478950872,0.001348134878402,0.00531384786900598,13,0,0,30.7884615384615,30.8461538461538,4,4,1559,"+","Interval_98",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
91,"chr18",5007738,5008272,99,0.294362215184309,0.691230675810272,-0.396868460625963,-1.42442314012212,2.72000180652079e-05,0.000461724063565477,6,0,0,34.7916666666667,39.75,4,4,1075,"+","Interval_99",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
92,"chr18",5014377,5015110,100,0.121065080610549,0.589203664647868,-0.468138584037319,-2.55825978907874,0.000175639598277292,0.0013275588332275,7,0,0,34.6071428571429,34.8928571428571,4,4,813,"+","Interval_100",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
94,"chr18",5020675,5020939,102,0.809689183928535,0.543043079300686,0.266646104627849,0.567685097587888,0.00298043840697342,0.00940184497476986,1,0,0,30.75,32.75,4,4,2866,"+","Interval_102",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
98,"chr18",5098509,5098964,106,0.808551192932913,0.215940231973781,0.592610960959133,2.07464972508693,9.76313493939671e-05,0.00093801586836717,3,0,0,29.5833333333333,30.4166666666667,4,4,639,"+","Interval_106",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
102,"chr18",5133912,5134515,110,0.38049199577892,0.202489886497112,0.178002109281809,0.972432273467936,0.0128702307836364,0.0287277763041937,6,0,0,26.4583333333333,29,4,4,2753,"+","Interval_110",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
107,"chr18",5198648,5198924,115,0.3640625,0.555660298307357,-0.191597798307357,-0.596656574824268,0.0249510541697315,0.0476310120761107,1,0,0,30.75,29.75,4,4,3219,"+","Interval_115",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
110,"chr18",5283775,5284233,118,0.307865892972276,0.534471313418682,-0.226605420446406,-0.776437816091161,0.0033025634577752,0.0101827659046807,1,0,0,36.5,35.5,4,4,2252,"+","Interval_118",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
111,"chr18",5298878,5299609,119,0.461141024611509,0.654335506951537,-0.193194482340028,-0.552420736740621,0.0166563018215813,0.0348257824748612,4,0,0,29.6875,30.5625,4,4,2939,"+","Interval_119",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
114,"chr18",5340713,5341681,122,0.285396118431062,0.598440633003897,-0.313044514572835,-1.14625607685759,0.000195423408253393,0.001412796286726,8,0,0,32.28125,31.46875,4,4,1452,"+","Interval_122",0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
116,"chr18",5349295,5349723,124,0.821290535444947,0.435298370108153,0.385992165336794,0.941003220905719,0.00129896637552831,0.00514977314685255,2,0,0,18.5,22.125,4,4,1846,"+","Interval_124",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
117,"chr18",5364829,5365143,126,0.727381290987189,0.195438025755957,0.531943265231232,1.84644166073342,4.9248289863336e-06,0.000205871252523945,5,0,0,38.6,44.55,4,4,602,"+","Interval_126",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
118,"chr18",5371856,5372308,127,0.224160419740973,0.421291488914898,-0.197131069173925,-1.0996053205873,0.00849182730970743,0.0209483254990575,7,0,0,21.6428571428571,24.3928571428571,3.57142857142857,3.57142857142857,2491,"+","Interval_127",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
119,"chr18",5373084,5374423,128,0.286292964623148,0.603897804204558,-0.317604839581411,-1.06122215102634,0.000287676006976296,0.00184719860278927,8,0,0,27.90625,26.25,4,4,1613,"+","Interval_128",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
120,"chr18",5388481,5389416,129,0.823610189398879,0.363902654250841,0.459707535148038,1.28796105357536,6.60652738925566e-05,0.000765257257905094,7,0,0,26.7142857142857,27.4285714285714,4,4,1243,"+","Interval_129",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
121,"chr18",5389944,5390612,130,0.559811674158903,0.193319990846682,0.366491683312221,1.9452692246554,5.8272721749977e-05,0.000703508595586657,7,0,0,35.9285714285714,36.2857142857143,4,4,931,"+","Interval_130",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
122,"chr18",5395946,5396393,131,0.421030824502476,0.46056932950329,-0.0395385050008133,-0.340769272348613,0.00437496389945194,0.0125758904289111,4,0,0,26.5,27.3125,4,4,4476,"+","Interval_131",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
123,"chr18",5414185,5415023,132,0.256711660690443,0.45617039372867,-0.199458733038227,-0.960902776562559,0.0209733292633299,0.0414408708434605,6,0,0,24.875,24.0416666666667,4,4,3110,"+","Interval_132",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
124,"chr18",5427550,5429286,133,0.13383670545361,0.460260041263067,-0.326423335809457,-2.1898659641399,0.00167206155496514,0.00623093890555538,40,0.025,0,18.88125,20.2625,3.225,3.4,1649,"+","Interval_133",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
125,"chr18",5440324,5441514,134,0.628104528338109,0.377292629685856,0.250811898652252,0.773447193420117,0.00110422936960199,0.00459410255667179,8,0,0,27.5,26.15625,4,4,2259,"+","Interval_134",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
126,"chr18",5536989,5537437,135,0.42519956489153,0.258934050591047,0.166265514300483,0.4691337866258,0.00724617197666164,0.0184992633139118,11,0,0,29.9772727272727,27.5909090909091,4,4,3233,"+","Interval_135",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
127,"chr18",5590676,5590896,136,0.264480212717272,0.649152818507657,-0.384672605790385,-1.26391083049278,9.91820284728613e-05,0.000946387523238715,1,0,0,38.25,39,4,4,1282,"+","Interval_136",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
129,"chr18",5603477,5604375,138,0.663461101051076,0.219692307266391,0.443768793784686,1.58324341850384,2.58870079865396e-05,0.000451919500219563,13,0,0,31.0961538461538,34.9807692307692,4,4,868,"+","Interval_138",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
130,"chr18",5624288,5625589,139,0.823616054935394,0.349569986899856,0.474046068035538,1.39631096390769,3.6299707514054e-06,0.000192782611755491,8,0,0,35.4375,39.84375,4,3.875,1111,"+","Interval_139",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
131,"chr18",5647576,5647924,140,0.933956608689748,0.753070099274447,0.180886509415301,0.326321463113804,0.0103238393963143,0.024167616415372,3,0,0,30.25,28.8333333333333,4,4,3919,"+","Interval_140",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
132,"chr18",5653783,5654002,142,0.920946759597139,0.734991789819376,0.185954969777763,0.321474136654915,0.00158325078643157,0.00595963417247721,1,0,0,28.75,29.75,4,4,3956,"+","Interval_142",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
133,"chr18",5679707,5680734,143,0.796091287695653,0.272027474891115,0.524063812804537,1.92015956791628,2.30179403262788e-05,0.000428379272744152,8,0,0,36.09375,35.6875,4,4,517,"+","Interval_143",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
134,"chr18",5759079,5759563,144,0.869141822669099,0.319105989049555,0.550035833619544,1.55524322523695,6.9909260964414e-06,0.000242933200890567,6,0,0,29.2083333333333,30.0833333333333,4,4,909,"+","Interval_144",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
135,"chr18",5804093,5805109,145,0.72147960635113,0.526805017122046,0.194674589229084,0.497948587627604,0.0112907292967312,0.0258500490046249,4,0,0,28.4375,26.9375,4,4,3127,"+","Interval_145",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
136,"chr18",5808968,5809741,146,0.238810435887642,0.30070429780399,-0.0618938619163478,-0.692994184525356,0.00188553777622992,0.00679932113109803,5,0,0,20.85,20.95,4,4,4081,"+","Interval_146",0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
138,"chr18",5829613,5829996,149,0.535565389228389,0.600255901903137,-0.0646905126747477,-0.396134516571041,0.00633683272126033,0.0167195521992893,4,0,0,27.3125,30.3125,4,4,4027,"+","Interval_149",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
139,"chr18",5832892,5833387,150,0.92401451046724,0.529207354536302,0.394807155930938,0.897859103794381,2.63282990804479e-07,0.000124617339437297,3,0,0,22.3333333333333,23.6666666666667,4,4,1939,"+","Interval_150",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
140,"chr18",5835599,5836211,151,0.499637036192555,0.660450840618505,-0.16081380442595,-0.417348714713564,0.0200103559074327,0.04006635290035,4,0,0,28.9375,28.4375,4,4,3470,"+","Interval_151",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Liver_hypermethylated"
141,"chr18",5860605,5860997,152,0.803070690641848,0.385573055441689,0.417497635200159,1.03943662979108,0.000420103747836491,0.00237969408793136,1,0,0,33.5,33.75,4,4,1648,"+","Interval_152",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
143,"chr18",5908026,5909024,154,0.919470975790147,0.532127984114597,0.38734299167555,1.02769777866576,0.00145049060832503,0.00558475237353215,3,0,0,29.5833333333333,30.6666666666667,4,4,1672,"+","Interval_154",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
144,"chr18",5914612,5915423,155,0.828312881848407,0.438766043100331,0.389546838748077,0.938580760404928,0.000206806281763862,0.00147256616620965,3,0,0,28,31.75,4,4,1850,"+","Interval_155",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
145,"chr18",5920156,5920492,156,0.764421591784397,0.148277837185355,0.616143754599041,2.29175557008912,9.25336881944366e-07,0.000124999888511622,2,0,0,43,41.75,4,4,240,"+","Interval_156",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
146,"chr18",5931961,5932888,157,0.577220043503459,0.366509973831727,0.210710069671733,0.58011712298255,0.0051926832217704,0.0142973753911771,12,0,0,22.3125,25.2291666666667,4,4,2823,"+","Interval_157",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
148,"chr18",5971469,5972181,159,0.254103729305342,0.184607577281576,0.0694961520237664,-0.467078398102699,0.00347721107075484,0.0105443470236943,2,0,0,26.875,27.625,4,4,3949,"+","Interval_159",0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
149,"chr18",5984951,5985375,160,0.910069444444444,0.182109434682964,0.72796000976148,2.26435097972556,0.000117111046092954,0.00102606001872238,2,0,0,14.5,15.75,4,4,700,"+","Interval_160",0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Kidney_hypermethylated"
152,"chr18",6055418,6056056,163,0.489989601901367,0.388131414936379,0.101858186964988,-0.199456827987159,0.0219698050408816,0.0431461974995902,3,0,0,29.5833333333333,33.25,4,4,4670,"+","Interval_163",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
160,"chr18",6411132,6411612,171,0.543912815566544,0.281313576661321,0.262599238905223,1.80646060288742,0.020289965084265,0.040441724113788,3,0,0,39.4166666666667,39.25,4,4,3083,"+","Interval_171",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kidney_hypermethylated"
